target,target_label,target_prefix,subject_count,subject,subject_label
KEGG.DISEASE:05215,,KEGG.DISEASE,2,DOID:10283,prostate cancer
KEGG.DISEASE:05215,,KEGG.DISEASE,2,DOID:10286,prostate carcinoma
KEGG.DISEASE:05321,,KEGG.DISEASE,2,DOID:0050589,inflammatory bowel disease
KEGG.DISEASE:05321,,KEGG.DISEASE,2,DOID:9778,irritable bowel syndrome
MESH:C535289,Rapp-Hodgkin syndrome,MESH,2,DOID:0060330,Rapp-Hodgkin syndrome
MESH:C535289,Rapp-Hodgkin syndrome,MESH,2,DOID:0090119,ankyloblepharon-ectodermal defects-cleft lip/palate syndrome
MESH:C535934,"Cholestasis, progressive familial intrahepatic 2",MESH,2,DOID:0070222,progressive familial intrahepatic cholestasis 2
MESH:C535934,"Cholestasis, progressive familial intrahepatic 2",MESH,2,DOID:0070232,benign recurrent intrahepatic cholestasis 2
MESH:C536141,Megalencephalic leukoencephalopathy with subcortical cysts,MESH,2,DOID:0080315,megalencephalic leukoencephalopathy with subcortical cysts
MESH:C536141,Megalencephalic leukoencephalopathy with subcortical cysts,MESH,2,DOID:0080316,megalencephalic leukoencephalopathy with subcortical cysts 1
MESH:C537743,Oguchi disease,MESH,2,DOID:0050534,congenital stationary night blindness
MESH:C537743,Oguchi disease,MESH,2,DOID:8498,hereditary night blindness
MESH:C538365,Retinitis pigmentosa 1,MESH,2,DOID:0110390,retinitis pigmentosa 1
MESH:C538365,Retinitis pigmentosa 1,MESH,2,DOID:10584,retinitis pigmentosa
MESH:C563003,Pallidopontonigral Degeneration,MESH,2,DOID:0051060,frontotemporal dementia 1
MESH:C563003,Pallidopontonigral Degeneration,MESH,2,DOID:9255,frontotemporal dementia
MESH:C580473,Succinate-Coa Ligase Deficiency,MESH,2,DOID:0080124,mitochondrial DNA depletion syndrome 5
MESH:C580473,Succinate-Coa Ligase Deficiency,MESH,2,DOID:0080128,mitochondrial DNA depletion syndrome 9
MESH:D000070779,Giant Cell Tumor of Tendon Sheath,MESH,2,DOID:2701,nodular tenosynovitis
MESH:D000070779,Giant Cell Tumor of Tendon Sheath,MESH,2,DOID:314,tenosynovial giant cell tumor
MESH:D000071017,Hyperekplexia,MESH,2,DOID:0060695,hyperekplexia
MESH:D000071017,Hyperekplexia,MESH,2,DOID:0060696,hyperekplexia 1
MESH:D000071243,Zika Virus Infection,MESH,2,DOID:0060478,Zika fever
MESH:D000071243,Zika Virus Infection,MESH,2,DOID:0080180,Zika virus congenital syndrome
MESH:D000074009,Tubular Sweat Gland Adenomas,MESH,2,DOID:5439,papillary hidradenoma
MESH:D000074009,Tubular Sweat Gland Adenomas,MESH,2,DOID:5445,syringocystadenoma papilliferum
MESH:D000080203,Hamman-Rich Syndrome,MESH,2,DOID:2797,idiopathic interstitial pneumonia
MESH:D000080203,Hamman-Rich Syndrome,MESH,2,DOID:2800,acute interstitial pneumonia
MESH:D000086002,"Mesothelioma, Malignant",MESH,2,DOID:1790,malignant mesothelioma
MESH:D000086002,"Mesothelioma, Malignant",MESH,2,DOID:7474,malignant pleural mesothelioma
MESH:D000099245,,MESH,2,DOID:0060321,umbilical hernia
MESH:D000099245,,MESH,2,DOID:0060327,omphalocele
MESH:D000130,Achondroplasia,MESH,2,DOID:0111158,SADDAN
MESH:D000130,Achondroplasia,MESH,2,DOID:4480,achondroplasia
MESH:D000381,Agraphia,MESH,2,DOID:0060223,agraphia
MESH:D000381,Agraphia,MESH,2,DOID:4540,dysgraphia
MESH:D000550,Amblyopia,MESH,2,DOID:10375,strabismic amblyopia
MESH:D000550,Amblyopia,MESH,2,DOID:10376,amblyopia
MESH:D000647,Amnesia,MESH,2,DOID:10914,amnestic disorder
MESH:D000647,Amnesia,MESH,2,DOID:11037,dissociative amnesia
MESH:D000690,Amyotrophic Lateral Sclerosis,MESH,2,DOID:0111246,amyotrophic lateral sclerosis-parkinsonism/dementia complex 1
MESH:D000690,Amyotrophic Lateral Sclerosis,MESH,2,DOID:332,amyotrophic lateral sclerosis
MESH:D000848,Anodontia,MESH,2,DOID:0050591,tooth agenesis
MESH:D000848,Anodontia,MESH,2,DOID:13714,anodontia
MESH:D001005,Anus Neoplasms,MESH,2,DOID:4551,anus benign neoplasm
MESH:D001005,Anus Neoplasms,MESH,2,DOID:4908,anal carcinoma
MESH:D001063,Appendiceal Neoplasms,MESH,2,DOID:11239,appendix cancer
MESH:D001063,Appendiceal Neoplasms,MESH,2,DOID:11240,appendiceal neoplasm
MESH:D001650,Bile Duct Neoplasms,MESH,2,DOID:4606,bile duct cancer
MESH:D001650,Bile Duct Neoplasms,MESH,2,DOID:4897,bile duct carcinoma
MESH:D001943,Breast Neoplasms,MESH,2,DOID:1612,breast cancer
MESH:D001943,Breast Neoplasms,MESH,2,DOID:3459,breast carcinoma
MESH:D001948,Brenner Tumor,MESH,2,DOID:2636,ovarian Brenner tumor
MESH:D001948,Brenner Tumor,MESH,2,DOID:4217,malignant ovarian Brenner tumor
MESH:D002062,Bursitis,MESH,2,DOID:14188,frozen shoulder
MESH:D002062,Bursitis,MESH,2,DOID:2965,bursitis
MESH:D002189,Marijuana Abuse,MESH,2,DOID:1849,cannabis dependence
MESH:D002189,Marijuana Abuse,MESH,2,DOID:9505,cannabis abuse
