compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,UMLS:C1455806,Primary malignant neoplasm of central nervous system,biolink:Disease,2,MONDO:0002714,central nervous system cancer,regrouped,Disease.txt,biolink:Disease,18,2,"SNOMEDCT:93744007 """"; UMLS:C1455806 ""Primary malignant neoplasm of central nervous system"""
Disease.txt,UMLS:C1527379,Primary malignant neoplasm of broad ligament,biolink:Disease,2,MONDO:0001108,broad ligament malignant neoplasm,regrouped,Disease.txt,biolink:Disease,10,2,"SNOMEDCT:93728003 """"; UMLS:C1527379 ""Primary malignant neoplasm of broad ligament"""
Disease.txt,UMLS:C1536772,Primary malignant neoplasm of lateral wall of urinary bladder,biolink:Disease,2,MONDO:0001319,bladder lateral wall cancer,regrouped,Disease.txt,biolink:Disease,11,2,"SNOMEDCT:93863000 """"; UMLS:C1536772 ""Primary malignant neoplasm of lateral wall of urinary bladder"""
Disease.txt,UMLS:C1536777,Primary malignant neoplasm of anterior wall of urinary bladder,biolink:Disease,2,MONDO:0001376,urinary bladder anterior wall cancer,regrouped,Disease.txt,biolink:Disease,11,2,"SNOMEDCT:93675008 """"; UMLS:C1536777 ""Primary malignant neoplasm of anterior wall of urinary bladder"""
Disease.txt,UMLS:C1536778,Primary malignant neoplasm of posterior wall of urinary bladder,biolink:Disease,2,MONDO:0001373,urinary bladder posterior wall cancer,regrouped,Disease.txt,biolink:Disease,11,2,"SNOMEDCT:93972009 """"; UMLS:C1536778 ""Primary malignant neoplasm of posterior wall of urinary bladder"""
Disease.txt,UMLS:C1540413,Primary malignant neoplasm of ventral surface of tongue,biolink:Disease,2,MONDO:0004631,tongue cancer,regrouped,Disease.txt,biolink:Disease,59,2,"SNOMEDCT:94134006 """"; UMLS:C1540413 ""Primary malignant neoplasm of ventral surface of tongue"""
Disease.txt,UMLS:C1706010,Hypertensive choroidopathy,biolink:Disease,2,MONDO:0006797,hypertensive retinopathy,regrouped,Disease.txt,biolink:Disease,15,2,"SNOMEDCT:422001004 """"; UMLS:C1706010 ""Hypertensive choroidopathy"""
Disease.txt,UMLS:C1879358,Primary malignant neoplasm of endometrium,biolink:Disease,2,MONDO:0002447,endometrial carcinoma,regrouped,Disease.txt,biolink:Disease,15,2,"SNOMEDCT:93781006 """"; UMLS:C1879358 ""Primary malignant neoplasm of endometrium"""
Disease.txt,UMLS:C2239246,"Endometrial stromal sarcoma, high grade",biolink:Disease,4,MONDO:0006745,endometrioid stromal sarcoma,regrouped,Disease.txt,biolink:Disease,15,4,"NCIT:C126998 ""Uterine Corpus High Grade Endometrial Stromal Sarcoma""; SNOMEDCT:699358009 """"; SNOMEDCT:70555003 """"; UMLS:C2239246 ""Endometrial stromal sarcoma, high grade"""
Disease.txt,UMLS:C5816755,"Neurodevelopmental delay, intellectual disability, ataxia, feeding difficulty syndrome",biolink:Disease,2,MONDO:0060622,neurodevelopmental disorder with severe motor impairment and absent language,regrouped,Disease.txt,biolink:Disease,9,2,"SNOMEDCT:1363573005 """"; UMLS:C5816755 ""Neurodevelopmental delay, intellectual disability, ataxia, feeding difficulty syndrome"""
Disease.txt,UMLS:C6022405,Kummell disease,biolink:Disease,3,MONDO:0003940,Kummell disease,regrouped,Disease.txt,biolink:Disease,12,3,"MEDDRA:10092346 """"; SNOMEDCT:240218006 """"; UMLS:C6022405 ""Kummell disease"""
Disease.txt,UMLS:C6022441,Neoplasm of vertebra,biolink:Disease,2,MONDO:0003544,spinal cord cancer,regrouped,Disease.txt,biolink:Disease,14,2,"SNOMEDCT:709289008 """"; UMLS:C6022441 ""Neoplasm of vertebra"""
Disease.txt,orphanet:100990,OBSOLETE: Autosomal dominant spastic paraplegia type 9,biolink:Disease,1,MONDO:0011006,hereditary spastic paraplegia 9A,regrouped,Disease.txt,biolink:Disease,9,1,"orphanet:100990 ""OBSOLETE: Autosomal dominant spastic paraplegia type 9"""
Disease.txt,orphanet:1052,Mosaic variegated aneuploidy syndrome,biolink:Disease,1,DOID:0080141,mosaic variegated aneuploidy syndrome 1,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:1052 ""Mosaic variegated aneuploidy syndrome"""
Disease.txt,orphanet:106,NON RARE IN EUROPE: Autism,biolink:Disease,1,MONDO:0005260,autism,regrouped,Disease.txt,biolink:Disease,18,1,"orphanet:106 ""NON RARE IN EUROPE: Autism"""
Disease.txt,orphanet:109,Bannayan-Riley-Ruvalcaba syndrome,biolink:Disease,1,MONDO:0016063,Cowden disease,regrouped,Disease.txt,biolink:Disease,30,1,"orphanet:109 ""Bannayan-Riley-Ruvalcaba syndrome"""
Disease.txt,orphanet:116,Beckwith-Wiedemann syndrome,biolink:Disease,1,DOID:5572,Beckwith-Wiedemann syndrome,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:116 ""Beckwith-Wiedemann syndrome"""
Disease.txt,orphanet:1162,NON RARE IN EUROPE: Asperger syndrome,biolink:Disease,1,MONDO:0100610,autism spectrum disorder 1,regrouped,Disease.txt,biolink:Disease,12,1,"orphanet:1162 ""NON RARE IN EUROPE: Asperger syndrome"""
Disease.txt,orphanet:1306,Buschke-Ollendorff syndrome,biolink:Disease,1,MONDO:0008157,Buschke-Ollendorff syndrome,regrouped,Disease.txt,biolink:Disease,11,1,"orphanet:1306 ""Buschke-Ollendorff syndrome"""
