target,target_label,target_prefix,subject_count,subject,subject_label
ICD10:J69.1,Pneumonitis due to oils and essences,ICD10,1,DOID:3241,lipid pneumonia
ICD10:J80,Adult respiratory distress syndrome,ICD10,1,DOID:11394,adult respiratory distress syndrome
ICD10:J81,Pulmonary edema,ICD10,1,DOID:11396,pulmonary edema
ICD10:J82.82,Acute eosinophilic pneumonia,ICD10,1,DOID:9503,Loeffler syndrome
ICD10:J84.01,Alveolar proteinosis,ICD10,1,DOID:12120,pulmonary alveolar proteinosis
ICD10:J84.02,Pulmonary alveolar microlithiasis,ICD10,1,DOID:12117,pulmonary alveolar microlithiasis
ICD10:J84.03,Idiopathic pulmonary hemosiderosis,ICD10,1,DOID:12118,pulmonary hemosiderosis
ICD10:J84.10,"Pulmonary fibrosis, unspecified",ICD10,1,DOID:12123,postinflammatory pulmonary fibrosis
ICD10:J84.112,Idiopathic pulmonary fibrosis,ICD10,1,DOID:0050156,idiopathic pulmonary fibrosis
ICD10:J84.116,Cryptogenic organizing pneumonia,ICD10,1,DOID:0050157,cryptogenic organizing pneumonia
ICD10:J84.117,Desquamative interstitial pneumonia,ICD10,1,DOID:0050158,desquamative interstitial pneumonia
ICD10:J84.9,"Interstitial pulmonary disease, unspecified",ICD10,1,DOID:3082,interstitial lung disease
ICD10:J85.2,Abscess of lung without pneumonia,ICD10,1,DOID:0060317,lung abscess
ICD10:J86,,ICD10,1,DOID:3798,pleural empyema
ICD10:J93.0,Spontaneous tension pneumothorax,ICD10,1,DOID:1672,spontaneous tension pneumothorax
ICD10:J93.1,Other spontaneous pneumothorax,ICD10,1,DOID:1673,pneumothorax
ICD10:J94.2,Hemothorax,ICD10,1,DOID:2718,hemopneumothorax
ICD10:J96.0,Acute respiratory failure,ICD10,1,DOID:11162,respiratory failure
ICD10:J98,,ICD10,1,DOID:1579,respiratory system disease
ICD10:J98.2,Interstitial emphysema,ICD10,1,DOID:10030,pulmonary interstitial emphysema
ICD10:J98.3,Compensatory emphysema,ICD10,1,DOID:10031,compensatory emphysema
ICD10:J98.4,Other disorders of lung,ICD10,1,DOID:850,lung disease
ICD10:J98.51,Mediastinitis,ICD10,1,DOID:819,mediastinitis
ICD10:J98.6,Disorders of diaphragm,ICD10,1,DOID:10481,diaphragm disease
ICD10:K00.3,Mottled teeth,ICD10,1,DOID:13711,dental fluorosis
ICD10:K02.6,,ICD10,1,DOID:216,dental caries
ICD10:K03.2,Erosion of teeth,ICD10,1,DOID:2498,tooth erosion
ICD10:K03.4,Hypercementosis,ICD10,1,DOID:12733,hypercementosis
ICD10:K03.5,Ankylosis of teeth,ICD10,1,DOID:12661,tooth ankylosis
ICD10:K03.8,Other specified diseases of hard tissues of teeth,ICD10,1,DOID:214,teeth hard tissue disease
ICD10:K04.0,Pulpitis,ICD10,1,DOID:11121,pulpitis
ICD10:K04.1,Necrosis of pulp,ICD10,1,DOID:11623,dental pulp necrosis
ICD10:K04.4,Acute apical periodontitis of pulpal origin,ICD10,1,DOID:11693,acute apical periodontitis
ICD10:K04.6,Periapical abscess with sinus,ICD10,1,DOID:0060324,dental abscess
ICD10:K05.0,Acute gingivitis,ICD10,1,DOID:3087,gingivitis
ICD10:K05.1,Chronic gingivitis,ICD10,1,DOID:3087,gingivitis
ICD10:K05.10,"Chronic gingivitis, plaque induced",ICD10,1,DOID:3087,gingivitis
ICD10:K05.2,Acute periodontitis,ICD10,1,DOID:1474,aggressive periodontitis
ICD10:K05.3,Chronic periodontitis,ICD10,1,DOID:824,periodontitis
ICD10:K05.4,Periodontosis,ICD10,1,DOID:9893,periodontosis
ICD10:K05.6,"Periodontal disease, unspecified",ICD10,1,DOID:3388,periodontal disease
ICD10:K06.0,Gingival recession,ICD10,1,DOID:1134,gingival recession
ICD10:K06.01,,ICD10,1,DOID:1134,gingival recession
ICD10:K06.1,Gingival enlargement,ICD10,1,DOID:3086,gingival overgrowth
ICD10:K09.8,"Other cysts of oral region, not elsewhere classified",ICD10,1,DOID:2658,dermoid cyst
ICD10:K11.5,Sialolithiasis,ICD10,1,DOID:12905,sialolithiasis
ICD10:K11.6,Mucocele of salivary gland,ICD10,1,DOID:12904,mucocele of salivary gland
ICD10:K12.2,Cellulitis and abscess of mouth,ICD10,1,DOID:0060310,uvulitis
ICD10:K13.21,"Leukoplakia of oral mucosa, including tongue",ICD10,1,DOID:9655,oral mucosa leukoplakia
ICD10:K13.3,Hairy leukoplakia,ICD10,1,DOID:0060315,oral hairy leukoplakia
ICD10:K13.5,Oral submucous fibrosis,ICD10,1,DOID:5773,oral submucous fibrosis
ICD10:K14,,ICD10,1,DOID:10944,tongue disease
ICD10:K14.0,Glossitis,ICD10,1,DOID:1456,glossitis
ICD10:K14.1,Geographic tongue,ICD10,1,DOID:1455,geographic tongue
ICD10:K14.3,Hypertrophy of tongue papillae,ICD10,1,DOID:13333,hypertrophy of tongue papillae
ICD10:K14.4,Atrophy of tongue papillae,ICD10,1,DOID:1453,atrophic glossitis
ICD10:K14.5,Plicated tongue,ICD10,1,DOID:11514,fissured tongue
ICD10:K20,Esophagitis,ICD10,1,DOID:11963,esophagitis
ICD10:K20.0,Eosinophilic esophagitis,ICD10,1,DOID:13922,eosinophilic esophagitis
ICD10:K21.9,Gastro-esophageal reflux disease without esophagitis,ICD10,1,DOID:8534,gastroesophageal reflux disease
ICD10:K22.0,Achalasia of cardia,ICD10,1,DOID:9164,achalasia
ICD10:K22.4,Dyskinesia of esophagus,ICD10,1,DOID:9192,dyskinesia of esophagus
ICD10:K22.7,Barrett's syndrome,ICD10,1,DOID:9206,Barrett's esophagus
ICD10:K22.9,"Disease of esophagus, unspecified",ICD10,1,DOID:6050,esophageal disease
ICD10:K25,erosion (acute) of stomach,ICD10,1,DOID:10808,gastric ulcer
ICD10:K26,duodenum ulcer (peptic),ICD10,1,DOID:1724,duodenal ulcer
ICD10:K27,peptic ulcer NOS,ICD10,1,DOID:750,peptic ulcer disease
ICD10:K28.0,Acute gastrojejunal ulcer with hemorrhage,ICD10,1,DOID:10927,gastrojejunal ulcer
ICD10:K29.2,Alcoholic gastritis,ICD10,1,DOID:8680,alcoholic gastritis
ICD10:K29.4,Chronic atrophic gastritis,ICD10,1,DOID:8929,atrophic gastritis
ICD10:K29.7,"Gastritis, unspecified",ICD10,1,DOID:4029,gastritis
ICD10:K29.8,Duodenitis,ICD10,1,DOID:8643,duodenitis
ICD10:K31.1,Adult hypertrophic pyloric stenosis,ICD10,1,DOID:12639,pyloric stenosis
ICD10:K31.2,Hourglass stricture and stenosis of stomach,ICD10,1,DOID:12234,cascade stomach
ICD10:K31.82,Angiodysplasia of stomach and duodenum with haemorrhage,ICD10,1,DOID:12070,Dieulafoy lesion
ICD10:K31.84,Gastroparesis,ICD10,1,DOID:11914,gastroparesis
ICD10:K37,Unspecified appendicitis,ICD10,1,DOID:8337,appendicitis
ICD10:K40,inguinal hernia NOS,ICD10,1,DOID:0060320,inguinal hernia
ICD10:K46,hernia NOS,ICD10,1,DOID:1283,enterocele
ICD10:K51,,ICD10,1,DOID:8577,ulcerative colitis
ICD10:K52.83,,ICD10,1,DOID:0060182,microscopic colitis
ICD10:K52.831,Collagenous colitis,ICD10,1,DOID:0060183,collagenous colitis
ICD10:K52.832,Lymphocytic colitis,ICD10,1,DOID:0060184,lymphocytic colitis
ICD10:K55.3,,ICD10,1,DOID:8677,perinatal necrotizing enterocolitis
ICD10:K55.9,"Vascular disorder of intestine, unspecified",ICD10,1,DOID:0060181,ischemic colitis
ICD10:K56.0,Paralytic ileus,ICD10,1,DOID:8442,paralytic ileus
ICD10:K56.1,Intussusception,ICD10,1,DOID:8446,intussusception
ICD10:K56.2,Volvulus,ICD10,1,DOID:8445,intestinal volvulus
ICD10:K56.4,Other impaction of intestine,ICD10,1,DOID:8448,intestinal impaction
ICD10:K56.609,"Unspecified intestinal obstruction, unspecified as to partial versus complete obstruction",ICD10,1,DOID:8437,intestinal obstruction
ICD10:K58,irritable colon,ICD10,1,DOID:9778,irritable bowel syndrome
ICD10:K59.1,Functional diarrhea,ICD10,1,DOID:11371,functional diarrhea
ICD10:K59.31,Toxic megacolon,ICD10,1,DOID:1770,toxic megacolon
ICD10:K59.39,Other megacolon,ICD10,1,DOID:11372,megacolon
ICD10:K59.4,Anal spasm,ICD10,1,DOID:11374,anal spasm
ICD10:K59.9,"Functional intestinal disorder, unspecified",ICD10,1,DOID:9779,bowel dysfunction
ICD10:K60.3,Anal fistula,ICD10,1,DOID:0060328,anal fistula
ICD10:K62.3,Rectal prolapse,ICD10,1,DOID:9307,rectal prolapse
ICD10:K62.6,Ulcer of anus and rectum,ICD10,1,DOID:13662,ulcer of anus and rectum
ICD10:K62.89,Other specified diseases of anus and rectum,ICD10,1,DOID:3127,proctitis
ICD10:K63.9,"Disease of intestine, unspecified",ICD10,1,DOID:5295,intestinal disease
ICD10:K64,piles,ICD10,1,DOID:9746,hemorrhoid
ICD10:K64.5,Perianal venous thrombosis,ICD10,1,DOID:9745,perianal hematoma
ICD10:K70,,ICD10,1,DOID:0070658,alcohol-associated liver disease
ICD10:K70.0,Alcoholic fatty liver,ICD10,1,DOID:9452,steatotic liver disease
ICD10:K70.3,Alcoholic cirrhosis of liver,ICD10,1,DOID:14018,alcoholic liver cirrhosis
ICD10:K72.91,"Hepatic failure, unspecified with coma",ICD10,1,DOID:12550,hepatic coma
ICD10:K73.9,"Chronic hepatitis, unspecified",ICD10,1,DOID:2237,hepatitis
ICD10:K74.3,Primary biliary cirrhosis,ICD10,1,DOID:12236,primary biliary cholangitis
ICD10:K74.5,"Biliary cirrhosis, unspecified",ICD10,1,DOID:12236,primary biliary cholangitis
ICD10:K74.60,Unspecified cirrhosis of liver,ICD10,1,DOID:5082,liver cirrhosis
ICD10:K76.1,Chronic passive congestion of liver,ICD10,1,DOID:13739,nutmeg liver
ICD10:K76.3,Infarction of liver,ICD10,1,DOID:13738,hepatic infarction
ICD10:K76.4,Peliosis hepatis,ICD10,1,DOID:914,peliosis hepatis
ICD10:K76.5,Hepatic veno-occlusive disease,ICD10,1,DOID:0080177,hepatic veno-occlusive disease
ICD10:K76.6,Portal hypertension,ICD10,1,DOID:10762,portal hypertension
ICD10:K76.7,Hepatorenal syndrome,ICD10,1,DOID:11823,hepatorenal syndrome
ICD10:K76.8,Other specified diseases of liver,ICD10,1,DOID:0050674,congenital bile acid synthesis defect
ICD10:K76.81,Hepatopulmonary syndrome,ICD10,1,DOID:900,hepatopulmonary syndrome
ICD10:K76.82,Hepatic encephalopathy,ICD10,1,DOID:13413,hepatic encephalopathy
ICD10:K76.9,"Liver disease, unspecified",ICD10,1,DOID:409,liver disease
