compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,OMIM:242850,,biolink:Disease,3,MONDO:0003778,inborn error of immunity,regrouped,Disease.txt,biolink:Disease,18,3,"MESH:C565469 ""Immune Deficiency Disease""; OMIM:242850 """"; UMLS:C1855771 ""Immune Deficiency Disease"""
Disease.txt,OMIM:300455,,biolink:Disease,3,DOID:0112124,X-linked retinitis pigmentosa and sinorespiratory infections,regrouped,Disease.txt,biolink:Disease,5,3,"MESH:C567595 ""Retinitis Pigmentosa, X-Linked, And Sinorespiratory Infections, With Or Without Deafness""; OMIM:300455 """"; UMLS:C2749137 ""Retinitis Pigmentosa, X-Linked, And Sinorespiratory Infections, With Or Without Deafness"""
Disease.txt,OMIM:601228,,biolink:Disease,3,DOID:0111685,hereditary mixed polyposis syndrome 1,regrouped,Disease.txt,biolink:Disease,4,3,"MESH:C563365 ""Polyposis Syndrome, Hereditary Mixed, 1""; OMIM:601228 """"; UMLS:C1832587 ""POLYPOSIS SYNDROME, HEREDITARY MIXED, 1"""
Disease.txt,OMIM:601650,,biolink:Disease,3,DOID:0061217,pheochromocytoma/paraganglioma syndrome 2,regrouped,Disease.txt,biolink:Disease,4,3,"MESH:C566646 ""Paragangliomas 2""; OMIM:601650 """"; UMLS:C1866552 ""Paragangliomas 2"""
Disease.txt,OMIM:602429,,biolink:Disease,3,MONDO:0005338,open-angle glaucoma,regrouped,Disease.txt,biolink:Disease,40,3,"MESH:C566551 ""Glaucoma 1, Open Angle, D""; OMIM:602429 """"; UMLS:C1865427 ""Glaucoma 1, Open Angle, D"""
Disease.txt,OMIM:603383,,biolink:Disease,3,MONDO:0005338,open-angle glaucoma,regrouped,Disease.txt,biolink:Disease,40,3,"MESH:C566383 ""Glaucoma 1, Open Angle, F""; OMIM:603383 """"; UMLS:C1863926 ""Glaucoma 1, Open Angle, F"""
Disease.txt,OMIM:605373,,biolink:Disease,3,DOID:0061218,pheochromocytoma/paraganglioma syndrome 3,regrouped,Disease.txt,biolink:Disease,4,3,"MESH:C565335 ""Paragangliomas 3""; OMIM:605373 """"; UMLS:C1854336 ""PARAGANGLIOMAS 3"""
Disease.txt,OMIM:609745,,biolink:Disease,3,MONDO:0005338,open-angle glaucoma,regrouped,Disease.txt,biolink:Disease,40,3,"MESH:C565724 ""Glaucoma 1, Open Angle, I""; OMIM:609745 """"; UMLS:C1857852 ""GLAUCOMA 1, OPEN ANGLE, I"""
Disease.txt,OMIM:609887,,biolink:Disease,3,MONDO:0005338,open-angle glaucoma,regrouped,Disease.txt,biolink:Disease,40,3,"MESH:C563692 ""Glaucoma 1, Open Angle, G""; OMIM:609887 """"; UMLS:C1835933 ""Glaucoma 1, Open Angle, G"""
Disease.txt,OMIM:610069,,biolink:Disease,3,DOID:0111686,hereditary mixed polyposis syndrome 2,regrouped,Disease.txt,biolink:Disease,4,3,"MESH:C566451 ""Polyposis Syndrome, Hereditary Mixed, 2""; OMIM:610069 """"; UMLS:C1864730 ""Polyposis Syndrome, Hereditary Mixed, 2"""
