semantic_type	subject	subject_label	predicate	object	object_label	asserted_by	status
anatomy	UBERON:0015246	septal organ of Masera	xref	EMAPA:35766	septal organ of Masera	UBERON	made_real
anatomy	UBERON:0015247	bifurcation of trachea	xref	EMAPA:37555	tracheal bifurcation	UBERON	made_real
anatomy	UBERON:0015249	digit skin	xref	EMAPA:32615	digit skin	UBERON	made_real
anatomy	UBERON:0015250	inferior olivary commissure	xref	EMAPA:37610	inferior olivary commissure	UBERON	made_real
anatomy	UBERON:0015251	modified sebaceous gland	xref	EMAPA:37680	modified sebaceous gland	UBERON	made_real
anatomy	UBERON:0015252	coat hair follicle	xref	EMAPA:35246	coat hair follicle	UBERON	made_real
anatomy	UBERON:0015280	pancreas left lobe	xref	EMAPA:37711	pancreas left lobe	UBERON	made_real
anatomy	UBERON:0015281	pancreas right lobe	xref	EMAPA:37712	pancreas right lobe	UBERON	made_real
anatomy	UBERON:0015329	respiratory system basement membrane	xref	EMAPA:37570	respiratory system basement membrane	UBERON	made_real
anatomy	UBERON:0015350	saphenous artery	xref	EMAPA:37220	saphenous artery	UBERON	made_real
anatomy	UBERON:0015410	heart plus pericardium	xref	EMAPA:37597	heart and pericardium	UBERON	made_real
anatomy	UBERON:0015418	urethra mesenchymal layer	xref	EMAPA:37786	urethra mesenchyme	UBERON	made_real
anatomy	UBERON:0015420	ureteral valve	xref	EMAPA:37781	ureteral valve	UBERON	made_real
anatomy	UBERON:0015423	hilar portion of hepatic duct	xref	EMAPA:37599	hilar part of hepatic duct	UBERON	made_real
anatomy	UBERON:0015430	levator auris longus muscle	xref	EMAPA:36627	levator auris longus	UBERON	made_real
anatomy	UBERON:0015432	accessory olfactory bulb mitral cell layer	xref	EMAPA:35111	accessory olfactory bulb mitral cell layer	UBERON	made_real
anatomy	UBERON:0015433	blood vessel external elastic membrane	xref	EMAPA:36302	external elastic lamina	UBERON	made_real
anatomy	UBERON:0015445	anterior lingual gland duct	xref	EMAPA:37641	lingual gland duct	UBERON	made_real
anatomy	UBERON:0015455	accessory hepatic vein	xref	EMAPA:37065	accessory hepatic vein	UBERON	made_real
anatomy	UBERON:0015474	axilla skin	xref	EMAPA:37349	axilla skin	UBERON	made_real
anatomy	UBERON:0015476	nose skin	xref	EMAPA:37684	nose skin	UBERON	made_real
anatomy	UBERON:0015479	scrotum skin	xref	EMAPA:36411	scrotum skin	UBERON	made_real
anatomy	UBERON:0015480	proper hepatic artery	xref	EMAPA:37217	proper hepatic artery	UBERON	made_real
anatomy	UBERON:0015481	left hepatic artery	xref	EMAPA:37096	left hepatic artery	UBERON	made_real
anatomy	UBERON:0015482	right hepatic artery	xref	EMAPA:37376	right hepatic artery	UBERON	made_real
anatomy	UBERON:0015484	epidermis of metapodial pad	xref	EMAPA:37355	metapodial pad epidermis	UBERON	made_real
anatomy	UBERON:0015485	choledocho-duodenal junction	xref	EMAPA:37478	choledochoduodenal junction	UBERON	made_real
anatomy	UBERON:0015488	sural nerve	xref	EMAPA:37757	sural nerve	UBERON	made_real
anatomy	UBERON:0015716	anal canal epithelium	xref	EMAPA:18835	anal canal epithelium	UBERON	made_real
anatomy	UBERON:0015717	smooth muscle tissue layer of ejaculatory duct	xref	EMAPA:32289	muscle of ejaculatory duct	UBERON	made_real
anatomy	UBERON:0015789	cranial or facial muscle	xref	EMAPA:25133	facial muscle	UBERON	made_real
anatomy	UBERON:0015790	autopod skin	xref	EMAPA:32723	autopod skin	UBERON	made_real
anatomy	UBERON:0015791	digit connective tissue	xref	EMAPA:37290	digit connective tissue	UBERON	made_real
anatomy	UBERON:0015792	prostate gland dorsal lobe	xref	EMAPA:29808	dorsal prostate gland	UBERON	made_real
anatomy	UBERON:0015793	induseum griseum	xref	EMAPA:35430	indusium griseum	UBERON	made_real
anatomy	UBERON:0015794	left lung lobar bronchus epithelium	xref	EMAPA:17658	left lung lobar bronchus epithelium	UBERON	made_real
anatomy	UBERON:0015795	right lung lobar bronchus epitheium	xref	EMAPA:17666	right lung lobar bronchus epithelium	UBERON	made_real
anatomy	UBERON:0015796	liver blood vessel	xref	EMAPA:35498	liver vasculature	UBERON	made_real
anatomy	UBERON:0015800	taenia tectum of brain	xref	EMAPA:35847	taenia tecta	UBERON	made_real
anatomy	UBERON:0015807	ear epithelium	xref	EMAPA:32800	ear epithelium	UBERON	made_real
anatomy	UBERON:0015808	eye epithelium	xref	EMAPA:35957	eye epithelium	UBERON	made_real
anatomy	UBERON:0015813	middle ear epithelium	xref	EMAPA:35673	middle ear epithelium	UBERON	made_real
anatomy	UBERON:0015814	outer ear epithelium	xref	EMAPA:35956	outer ear epithelium	UBERON	made_real
anatomy	UBERON:0015828	cerebellum ventricular layer	xref	EMAPA:17790	cerebellum ventricular layer	UBERON	made_real
anatomy	UBERON:0015829	forebrain ventricular layer	xref	EMAPA:32921	forebrain ventricular layer	UBERON	made_real
anatomy	UBERON:0015833	foregut epithelium	xref	EMAPA:32922	foregut epithelium	UBERON	made_real
anatomy	UBERON:0015834	duodenum lamina propria	xref	EMAPA:27255	duodenum lamina propria	UBERON	made_real
anatomy	UBERON:0015837	incisor dental pulp	xref	EMAPA:35429	incisor dental pulp	UBERON	made_real
anatomy	UBERON:0015838	molar dental pulp	xref	EMAPA:35576	molar dental pulp	UBERON	made_real
anatomy	UBERON:0015839	molar epithelium	xref	EMAPA:32878	molar epithelium	UBERON	made_real
anatomy	UBERON:0015840	incisor dental lamina	xref	EMAPA:32896	incisor dental lamina	UBERON	made_real
anatomy	UBERON:0015841	molar dental lamina	xref	EMAPA:32879	molar dental lamina	UBERON	made_real
anatomy	UBERON:0015842	incisor enamel organ	xref	EMAPA:32895	incisor enamel organ	UBERON	made_real
anatomy	UBERON:0015843	molar enamel organ	xref	EMAPA:32880	molar enamel organ	UBERON	made_real
anatomy	UBERON:0015844	molar dental papilla	xref	EMAPA:32882	molar dental papilla	UBERON	made_real
anatomy	UBERON:0015846	incisor mesenchyme	xref	EMAPA:32894	incisor mesenchyme	UBERON	made_real
anatomy	UBERON:0015855	ventral ectodermal ridge	xref	EMAPA:36491	ventral ectodermal ridge	UBERON	made_real
anatomy	UBERON:0015869	retropharyngeal lymph node	xref	EMAPA:37724	retropharyngeal lymph node	UBERON	made_real
anatomy	UBERON:0015873	heel skin	xref	EMAPA:37354	heel skin	UBERON	made_real
anatomy	UBERON:0016382	prescapular lymph node	xref	EMAPA:37723	prescapular lymph node	UBERON	made_real
anatomy	UBERON:0016435	chest wall	xref	EMAPA:37233	chest wall	UBERON	made_real
anatomy	UBERON:0016462	periorbital skin	xref	EMAPA:37937	periorbital skin	UBERON	made_real
anatomy	UBERON:0016475	skin of forehead	xref	EMAPA:37952	forehead skin	UBERON	made_real
anatomy	UBERON:0016490	auditory system	xref	EMAPA:36002	auditory system	UBERON	made_real
anatomy	UBERON:0016493	palmaris longus muscle	xref	EMAPA:36205	palmaris longus	UBERON	made_real
anatomy	UBERON:0016501	muscularis mucosae of fundus of stomach	xref	EMAPA:27165	stomach fundus muscularis mucosa	UBERON	made_real
anatomy	UBERON:0016502	stomach fundus lumen	xref	EMAPA:18382	stomach fundus lumen	UBERON	made_real
anatomy	UBERON:0016504	umbilical ring	xref	EMAPA:31868	umbilical ring	UBERON	made_real
anatomy	UBERON:0016505	Mullerian tubercle	xref	EMAPA:18328	Mullerian tubercle	UBERON	made_real
anatomy	UBERON:0016508	pelvic ganglion	xref	EMAPA:31527	pelvic ganglion	UBERON	made_real
anatomy	UBERON:0016509	cavity of right ventricle	xref	EMAPA:26047	right ventricle lumen	UBERON	made_real
anatomy	UBERON:0016510	epithelium of male urethra	xref	EMAPA:30467	epithelium of phallic urethra of male	UBERON	made_real
anatomy	UBERON:0016511	lamina propria of fundus of stomach	xref	EMAPA:27163	stomach fundus lamina propria	UBERON	made_real
anatomy	UBERON:0016512	lumen of duodenum	xref	EMAPA:19080	duodenum lumen	UBERON	made_real
anatomy	UBERON:0016513	cavity of left atrium	xref	EMAPA:26011	left atrium lumen	UBERON	made_real
anatomy	UBERON:0016514	cavity of left ventricle	xref	EMAPA:26038	left ventricle lumen	UBERON	made_real
anatomy	UBERON:0016515	muscular layer of prostatic urethra	xref	EMAPA:30956	muscle layer of prostatic urethra	UBERON	made_real
anatomy	UBERON:0016516	lamina propria of prostatic urethra	xref	EMAPA:32303	lamina propria of prostatic urethra	UBERON	made_real
anatomy	UBERON:0016517	lumen of jejunum	xref	EMAPA:18729	jejunum lumen	UBERON	made_real
anatomy	UBERON:0016519	muscularis mucosae of jejunum	xref	EMAPA:27121	jejunum muscularis mucosa	UBERON	made_real
anatomy	UBERON:0016520	epithelium of female urethra	xref	EMAPA:30470	epithelium of phallic urethra of female	UBERON	made_real
anatomy	UBERON:0016522	cavity of right atrium	xref	EMAPA:26020	right atrium lumen	UBERON	made_real
anatomy	UBERON:0016530	parietal cortex	xref	EMAPA:35667	parietal cortex	UBERON	made_real
anatomy	UBERON:0016540	occipital cortex	xref	EMAPA:35604	occipital cortex	UBERON	made_real
anatomy	UBERON:0016577	lamina VI of gray matter of spinal cord	xref	EMAPA:37632	spinal cord basal nucleus	UBERON	made_real
anatomy	UBERON:0016881	craniopharyngeal canal	xref	EMAPA:19194	craniopharyngeal canal	UBERON	made_real
anatomy	UBERON:0016887	entire extraembryonic component	xref	EMAPA:16042	extraembryonic component	UBERON	made_real
anatomy	UBERON:0017618	extensor pollicis brevis muscle	xref	EMAPA:36195	extensor pollicis brevis	UBERON	made_real
anatomy	UBERON:0017643	external thoracic vein	xref	EMAPA:37145	external thoracic vein	UBERON	made_real
anatomy	UBERON:0017646	internal mammary vein	xref	EMAPA:37159	internal mammary vein	UBERON	made_real
anatomy	UBERON:0017647	prevertebral muscle of neck	xref	EMAPA:25130	pre-vertebral muscle of neck	UBERON	made_real
anatomy	UBERON:0017648	ventral body wall	xref	EMAPA:37984	ventral body wall	UBERON	made_real
anatomy	UBERON:0018144	cervical rib	xref	EMAPA:37825	cervical rib	UBERON	made_real
anatomy	UBERON:0018231	labyrinthine artery	xref	EMAPA:37093	labyrinthine artery	UBERON	made_real
anatomy	UBERON:0018240	panniculus carnosus muscle	xref	EMAPA:18189	panniculus carnosus group	UBERON	made_real
anatomy	UBERON:0018242	palatine bone horizontal plate	xref	EMAPA:37931	palatine bone horizontal plate	UBERON	made_real
anatomy	UBERON:0018246	thyroid vein	xref	EMAPA:18648	thyroid vein	UBERON	made_real
anatomy	UBERON:0018254	skeletal musculature	xref	EMAPA:35578	skeletal musculature	UBERON	made_real
anatomy	UBERON:0018529	female inguinal ring	xref	EMAPA:19172	female inguinal ring	UBERON	made_real
anatomy	UBERON:0018530	male inguinal ring	xref	EMAPA:29307	male inguinal ring	UBERON	made_real
anatomy	UBERON:0018531	female superficial inguinal ring	xref	EMAPA:19174	female external inguinal ring	UBERON	made_real
anatomy	UBERON:0018532	female deep inguinal ring	xref	EMAPA:19173	female internal inguinal ring	UBERON	made_real
anatomy	UBERON:0018673	neck of fibula	xref	EMAPA:37891	neck of fibula	UBERON	made_real
anatomy	UBERON:0019201	gemellus muscle	xref	EMAPA:36227	gemellus muscle	UBERON	made_real
anatomy	UBERON:0019202	inferior gemellus muscle	xref	EMAPA:36228	gemellus inferior	UBERON	made_real
anatomy	UBERON:0019203	superior gemellus muscle	xref	EMAPA:36229	gemellus superior	UBERON	made_real
anatomy	UBERON:0019206	tongue papilla epithelium	xref	EMAPA:35869	tongue papilla epithelium	UBERON	made_real
anatomy	UBERON:0019248	early embryo	xref	EMAPA:36032	early embryo	UBERON	made_real
anatomy	UBERON:0019249	2-cell stage embryo	xref	EMAPA:16036	2-cell stage embryo	UBERON	made_real
anatomy	UBERON:0019250	4-8 cell stage embryo	xref	EMAPA:16037	4-8 cell stage embryo	UBERON	made_real
anatomy	UBERON:0019251	4-cell stage embryo	xref	EMAPA:31864	4-cell stage embryo	UBERON	made_real
anatomy	UBERON:0019252	8-cell stage embryo	xref	EMAPA:31865	8-cell stage embryo	UBERON	made_real
anatomy	UBERON:0019289	accessory olfactory bulb external plexiform layer	xref	EMAPA:35107	accessory olfactory bulb external plexiform layer	UBERON	made_real
