semantic_type,clique_preferred_id,clique_preferred_label,clique_biolink_type,change_kind,added_kind,added_id,added_id_label,added_id_biolink_type,equivalent_ids
anatomy,UBERON:0002476,lateral globus pallidus,biolink:AnatomicalEntity,expanded,promoted,EMAPA:37638,lateral globus pallidus,biolink:AnatomicalEntity,UBERON:0002476|UMLS:C0262267|EMAPA:37638|FMA:61839|BIRNLEX:1610|EHDAA2:0004462|HBA:12897|MA:0002767|MBA:1022|PBA:10099|SCTID:361560008|SNOMEDCT:8057002|Wikipedia:Lateral_globus_pallidus|neuronames:232
anatomy,UBERON:0002477,medial globus pallidus,biolink:AnatomicalEntity,expanded,promoted,EMAPA:37639,medial globus pallidus,biolink:AnatomicalEntity,UBERON:0002477|UMLS:C0262283|EMAPA:37639|BIRNLEX:1555|DHBA:10344|DMBA:15830|HBA:12898|MA:0002768|MBA:1031|PBA:10098|SCTID:361562000|Wikipedia:Medial_globus_pallidus|neuronames:233
anatomy,UBERON:0002478,orbitosphenoid,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:18719,orbito-sphenoid,biolink:AnatomicalEntity,UBERON:0002478|AAO:0000345|EMAPA:18719|MA:0002773|SCTID:361737003|TAO:0000253|VHOG:0001153|Wikipedia:Lesser_wing_of_sphenoid_bone|ZFA:0000253
anatomy,UBERON:0002479,dorsal lateral geniculate nucleus,biolink:AnatomicalEntity,expanded,promoted,EMAPA:35290,dorsal lateral geniculate nucleus,biolink:AnatomicalEntity,UBERON:0002479|UMLS:C0175292|EMAPA:35290|FMA:62214|BIRNLEX:1595|BM:GLd|DHBA:10430|DMBA:16436|HBA:4440|MA:0002775|MBA:170|PBA:128013074|neuronames:353
anatomy,UBERON:0002480,ventral lateral geniculate nucleus,biolink:AnatomicalEntity,expanded,promoted,EMAPA:35908,ventral lateral geniculate nucleus,biolink:AnatomicalEntity,UBERON:0002480|UMLS:C0175293|EMAPA:35908|FMA:62215|BIRNLEX:1597|BM:LGv|DHBA:13042|DMBA:16341|MA:0002776|MBA:178|neuronames:354
anatomy,UBERON:0002481,bone tissue,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35179,bone tissue,biolink:AnatomicalEntity,UBERON:0002481|UMLS:C0005931|UMLS:C0391978|UMLS:C4520924|MESH:D001842|NCIT:C13076|EMAPA:35179|FMA:224804|MA:0002780|SNOMEDCT:3138006|VSAO:0000047|Wikipedia:Bone_tissue|XAO:0004040|ZFA:0005621|galen:BoneTissue
anatomy,UBERON:0002482,lamellar bone,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:37625,lamellar bone,biolink:AnatomicalEntity,UBERON:0002482|EMAPA:37625|MA:0002781|Wikipedia:Bone#Woven_or_lamellar|galen:LamellarBone
anatomy,UBERON:0002483,trabecular bone tissue,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35873,trabecular bone,biolink:AnatomicalEntity,UBERON:0002483|EMAPA:35873|MA:0002782|Wikipedia:Trabecular_bone
anatomy,UBERON:0002485,prostate duct,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:36568,prostate duct,biolink:AnatomicalEntity,UBERON:0002485|UMLS:C0227965|NCIT:C13102|EMAPA:36568|FMA:19580|FMA:71651|MA:0002785|SCTID:362276000|SNOMEDCT:34133003|Wikipedia:Prostatic_ducts
anatomy,UBERON:0002489,coronal suture,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:19225,coronal suture,biolink:AnatomicalEntity,UBERON:0002489|EMAPA:19225|MA:0002795|SCTID:244510008|Wikipedia:Coronal_suture
anatomy,UBERON:0002491,lambdoid suture,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:19227,lambdoid suture,biolink:AnatomicalEntity,UBERON:0002491|EMAPA:19227|MA:0002797|SCTID:361830007|Wikipedia:Lambdoid_suture
anatomy,UBERON:0002492,sagittal suture,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:19224,sagittal suture,biolink:AnatomicalEntity,UBERON:0002492|EMAPA:19224|MA:0002798|SCTID:244511007|Wikipedia:Sagittal_suture
anatomy,UBERON:0002495,long bone,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35503,long bone,biolink:AnatomicalEntity,UBERON:0002495|UMLS:C0222647|NCIT:C33003|EMAPA:35503|FMA:7474|MA:0002802|SCTID:332709000|SNOMEDCT:113193004|Wikipedia:Long_bone|galen:LongBone
anatomy,UBERON:0002497,acromion,biolink:AnatomicalEntity,expanded,promoted,EMAPA:25119,acromion,biolink:AnatomicalEntity,UBERON:0002497|UMLS:C0001209|MESH:D000174|NCIT:C32048|EMAPA:25119|FMA:23260|AAO:0000826|GAID:187|MA:0002805|SCTID:181911000|SNOMEDCT:31934006|VSAO:0005067|Wikipedia:Acromion
