semantic_type,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids
anatomy,EMAPA:16447,somite 15 myocoele,biolink:AnatomicalEntity,1,EMAPA:16447
anatomy,EMAPA:16448,somite 15 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16448
anatomy,EMAPA:16449,somite 16,biolink:AnatomicalEntity,1,EMAPA:16449
anatomy,EMAPA:16450,somite 16 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16450
anatomy,EMAPA:16451,somite 16 myocoele,biolink:AnatomicalEntity,1,EMAPA:16451
anatomy,EMAPA:16452,somite 16 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16452
anatomy,EMAPA:16453,somite 17,biolink:AnatomicalEntity,1,EMAPA:16453
anatomy,EMAPA:16454,somite 17 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16454
anatomy,EMAPA:16455,somite 17 myocoele,biolink:AnatomicalEntity,1,EMAPA:16455
anatomy,EMAPA:16456,somite 17 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16456
anatomy,EMAPA:16457,somite 18,biolink:AnatomicalEntity,1,EMAPA:16457
anatomy,EMAPA:16458,somite 18 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16458
anatomy,EMAPA:16459,somite 18 myocoele,biolink:AnatomicalEntity,1,EMAPA:16459
anatomy,EMAPA:16460,somite 18 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16460
anatomy,EMAPA:16461,somite 19,biolink:AnatomicalEntity,1,EMAPA:16461
anatomy,EMAPA:16462,somite 19 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16462
anatomy,EMAPA:16463,somite 19 myocoele,biolink:AnatomicalEntity,1,EMAPA:16463
anatomy,EMAPA:16464,somite 19 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16464
anatomy,EMAPA:16465,somite 20,biolink:AnatomicalEntity,1,EMAPA:16465
anatomy,EMAPA:16466,somite 20 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16466
anatomy,EMAPA:16467,somite 20 myocoele,biolink:AnatomicalEntity,1,EMAPA:16467
anatomy,EMAPA:16468,somite 20 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16468
anatomy,EMAPA:16474,future midbrain lateral wall,biolink:AnatomicalEntity,1,EMAPA:16474
anatomy,EMAPA:16512,prosencephalon,biolink:AnatomicalEntity,1,EMAPA:16512
anatomy,EMAPA:16513,prosencephalon floor plate,biolink:AnatomicalEntity,1,EMAPA:16513
anatomy,EMAPA:16516,future diencephalon floor plate,biolink:AnatomicalEntity,1,EMAPA:16516
anatomy,EMAPA:16517,future diencephalon lateral wall,biolink:AnatomicalEntity,1,EMAPA:16517
anatomy,EMAPA:16519,future diencephalon roof plate,biolink:AnatomicalEntity,1,EMAPA:16519
anatomy,EMAPA:16520,prosencephalon lateral wall,biolink:AnatomicalEntity,1,EMAPA:16520
anatomy,EMAPA:16522,prosencephalon roof plate,biolink:AnatomicalEntity,1,EMAPA:16522
anatomy,EMAPA:16524,prosencephalon neural crest,biolink:AnatomicalEntity,1,EMAPA:16524
anatomy,EMAPA:16537,otic pit mesenchyme,biolink:AnatomicalEntity,1,EMAPA:16537
anatomy,EMAPA:16538,otic pit epithelium,biolink:AnatomicalEntity,1,EMAPA:16538
anatomy,EMAPA:16541,optic vesicle neural ectoderm,biolink:AnatomicalEntity,1,EMAPA:16541
anatomy,EMAPA:16547,vessels connecting internal carotid artery to primary head veins,biolink:AnatomicalEntity,1,EMAPA:16547
anatomy,EMAPA:16551,pharyngeal region epithelium,biolink:AnatomicalEntity,1,EMAPA:16551
anatomy,EMAPA:16552,pharyngeal region vascular element,biolink:AnatomicalEntity,1,EMAPA:16552
anatomy,EMAPA:16556,foregut vascular element,biolink:AnatomicalEntity,1,EMAPA:16556
anatomy,EMAPA:16566,foregut-midgut junction vascular element,biolink:AnatomicalEntity,1,EMAPA:16566
anatomy,EMAPA:16567,hindgut diverticulum epithelium,biolink:AnatomicalEntity,1,EMAPA:16567
anatomy,EMAPA:16568,hindgut diverticulum vascular element,biolink:AnatomicalEntity,1,EMAPA:16568
anatomy,EMAPA:16570,midgut vascular element,biolink:AnatomicalEntity,1,EMAPA:16570
anatomy,EMAPA:16575,stomatodeum ectoderm,biolink:AnatomicalEntity,1,EMAPA:16575
anatomy,EMAPA:16576,genitourinary system mesenchyme,biolink:AnatomicalEntity,1,EMAPA:16576
anatomy,EMAPA:16578,primordial germ cell of gonad,biolink:AnatomicalEntity,1,EMAPA:16578
anatomy,EMAPA:16582,3rd branchial groove ectoderm,biolink:AnatomicalEntity,1,EMAPA:16582
anatomy,EMAPA:16585,3rd branchial membrane endoderm,biolink:AnatomicalEntity,1,EMAPA:16585
anatomy,EMAPA:16587,3rd branchial pouch endoderm,biolink:AnatomicalEntity,1,EMAPA:16587
anatomy,EMAPA:16593,hindlimb ridge,biolink:AnatomicalEntity,1,EMAPA:16593
anatomy,EMAPA:16594,hindlimb ridge ectoderm,biolink:AnatomicalEntity,1,EMAPA:16594
anatomy,EMAPA:16595,hindlimb ridge mesenchyme,biolink:AnatomicalEntity,1,EMAPA:16595
anatomy,EMAPA:16600,somite 21,biolink:AnatomicalEntity,1,EMAPA:16600
anatomy,EMAPA:16601,somite 21 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16601
anatomy,EMAPA:16602,somite 21 myocoele,biolink:AnatomicalEntity,1,EMAPA:16602
anatomy,EMAPA:16603,somite 21 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16603
anatomy,EMAPA:16604,somite 22,biolink:AnatomicalEntity,1,EMAPA:16604
anatomy,EMAPA:16605,somite 22 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16605
anatomy,EMAPA:16606,somite 22 myocoele,biolink:AnatomicalEntity,1,EMAPA:16606
