compendium,before_leader,before_size,destination,destination_kind,after_size,member_count,example_members
Disease.txt,MONDO:0006950,12,MONDO:0006950,kept,11,11,DOID:11563;EFO:1001156;HP:0025188;ICD10:H35.06;ICD9:362.18
Disease.txt,MONDO:0006951,15,(dropped),dropped,0,1,MEDDRA:10038907
Disease.txt,MONDO:0006951,15,MONDO:0006951,kept,14,14,DOID:1727;EFO:1001157;HP:0012636;MEDDRA:10030009;MEDDRA:10038908
Disease.txt,MONDO:0006952,14,(dropped),dropped,0,1,MEDDRA:10038933
Disease.txt,MONDO:0006952,14,MONDO:0006952,kept,13,13,DOID:13025;EFO:1001158;HP:0500049;ICD10:H35.1;ICD9:362.21
Disease.txt,MONDO:0006953,12,(dropped),dropped,0,1,MEDDRA:10039016
Disease.txt,MONDO:0006953,12,MONDO:0006953,kept,11,11,DOID:4175;EFO:1001159;MEDDRA:10039038;MEDDRA:10056231;MEDDRA:10056232
Disease.txt,MONDO:0006955,12,(dropped),dropped,0,1,MEDDRA:10062110
Disease.txt,MONDO:0006955,12,MONDO:0006955,kept,11,11,DOID:0050827;EFO:1001161;MEDDRA:10039059;MEDDRA:10039061;MEDDRA:10046148
Disease.txt,MONDO:0006956,14,(dropped),dropped,0,1,MEDDRA:10061495
Disease.txt,MONDO:0006956,14,MONDO:0006956,kept,13,13,EFO:1001162;MEDDRA:10039135;MEDDRA:10039139;MEDDRA:10039140;MESH:D012282
Disease.txt,MONDO:0006960,8,(dropped),dropped,0,1,MEDDRA:10048950
Disease.txt,MONDO:0006960,8,MONDO:0006960,kept,7,7,DOID:11446;EFO:1001166;MESH:D020426;MONDO:0006960;SNOMEDCT:52585001
Disease.txt,MONDO:0006964,10,(dropped),dropped,0,1,MEDDRA:10020708
Disease.txt,MONDO:0006964,10,MONDO:0006964,kept,9,9,DOID:12466;EFO:1001173;HP:0000867;MESH:D006962;MONDO:0006964
Disease.txt,MONDO:0006968,14,(dropped),dropped,0,1,MEDDRA:10049039
Disease.txt,MONDO:0006968,14,MONDO:0006968,kept,13,13,DOID:14276;EFO:1001178;HP:0030881;ICD10:M75.4;MEDDRA:10092246
Disease.txt,MONDO:0006969,15,(dropped),dropped,0,1,MEDDRA:10040627
Disease.txt,MONDO:0006969,15,MONDO:0006969,kept,14,14,DOID:10303;EFO:1001179;HP:0031281;ICD9:527.2;MEDDRA:10040628
Disease.txt,MONDO:0006970,12,(dropped),dropped,0,1,MEDDRA:10040631
Disease.txt,MONDO:0006970,12,MONDO:0006970,kept,11,11,DOID:12905;EFO:1001180;ICD10:K11.5;ICD9:527.5;MEDDRA:10007023
Disease.txt,MONDO:0006976,10,(dropped),dropped,0,1,MEDDRA:10041329
Disease.txt,MONDO:0006976,10,MONDO:0006976,kept,9,9,DOID:4430;EFO:1001187;MESH:D013005;MONDO:0006976;NCIT:C3379
Disease.txt,MONDO:0006977,16,(dropped),dropped,0,1,MEDDRA:10041490
Disease.txt,MONDO:0006977,16,MONDO:0006977,kept,15,15,DOID:11997;EFO:1001189;HP:0030424;ICD10:N43.4;ICD9:608.1
Disease.txt,MONDO:0006978,10,(dropped),dropped,0,1,MEDDRA:10041648
Disease.txt,MONDO:0006978,10,MONDO:0006978,kept,9,9,DOID:2533;EFO:1001190;HP:0034336;ICD10:D73.5;MESH:D013159
Disease.txt,MONDO:0006981,9,(dropped),dropped,0,1,MEDDRA:10042271
Disease.txt,MONDO:0006981,9,MONDO:0006981,kept,8,8,DOID:4562;EFO:1001193;MESH:D004698;MONDO:0006981;NCIT:C34583
Disease.txt,MONDO:0006982,16,(dropped),dropped,0,1,MEDDRA:10042298
Disease.txt,MONDO:0006982,16,MONDO:0006982,kept,15,15,DOID:7165;EFO:1001194;ICD10:E06.1;ICD9:245.1;MEDDRA:10012410
Disease.txt,MONDO:0006983,12,(dropped),dropped,0,1,MEDDRA:10042335
Disease.txt,MONDO:0006983,12,MONDO:0006983,kept,11,11,DOID:13002;HP:6000038;ICD9:435.2;MEDDRA:10050180;MESH:D013349
Disease.txt,MONDO:0006984,11,(dropped),dropped,0,1,MEDDRA:10042360
Disease.txt,MONDO:0006984,11,MONDO:0006984,kept,10,10,DOID:11389;EFO:1001196;MEDDRA:10083083;MESH:D013354;MONDO:0006984
Disease.txt,MONDO:0006987,10,(dropped),dropped,0,1,MEDDRA:10042431
