dropped_curie,dropped_label,dropped_from_clique_leader,clique_leader_label
MEDDRA:10019308,,MONDO:0006664,atrial septal defect
MEDDRA:10003685,,MONDO:0006665,chronic atrophic gastritis
MEDDRA:10043693,,MONDO:0006666,atrophy of thyroid
MEDDRA:10061784,,MONDO:0006668,bacterial conjunctivitis
MEDDRA:10004019,,MONDO:0006669,bacterial endocarditis
MEDDRA:10004049,,MONDO:0006670,bacterial meningitis
MEDDRA:10004073,,MONDO:0006672,balanitis
MEDDRA:10004482,,MONDO:0006676,beriberi
MEDDRA:10005001,,MONDO:0006678,bladder calculus
MEDDRA:10005053,,MONDO:0006679,bladder neck obstruction
MEDDRA:10062788,,MONDO:0006680,blue nevus
MEDDRA:10061591,,MONDO:0006681,Borrelia infectious disease
MEDDRA:10073002,,MONDO:0006682,brachial plexus neuritis
MEDDRA:10006121,,MONDO:0006684,brain edema
MEDDRA:10068065,,MONDO:0006687,burning mouth syndrome
MEDDRA:10006822,,MONDO:0006688,byssinosis
MEDDRA:10007688,,MONDO:0006690,carotid artery thrombosis
MEDDRA:10007968,,MONDO:0006692,central pontine myelinolysis
MEDDRA:10015128,,MONDO:0006696,cervix erosion
MEDDRA:10049890,,MONDO:0006698,cholecystolithiasis
MEDDRA:10049891,,MONDO:0006699,choledocholithiasis
MEDDRA:10057645,,MONDO:0006702,chronic inflammatory demyelinating polyradiculoneuropathy
MEDDRA:10010783,,MONDO:0006711,constrictive pericarditis
MEDDRA:10011007,,MONDO:0006712,corneal edema
MEDDRA:10011031,,MONDO:0006713,corneal neovascularization
MEDDRA:10002348,,MONDO:0006714,coronary aneurysm
MEDDRA:10011089,,MONDO:0006715,coronary stenosis
MEDDRA:10011108,,MONDO:0006716,coronary thrombosis
MEDDRA:10016819,,MONDO:0006722,dental fluorosis
MEDDRA:10069211,,MONDO:0006727,diastolic heart failure
MEDDRA:10013777,,MONDO:0006733,dry eye syndrome
MEDDRA:10004251,,MONDO:0006734,benign duodenal neoplasm
MEDDRA:10060865,,MONDO:0006735,duodenogastric reflux
MEDDRA:10013957,,MONDO:0006736,dysplasia of cervix
MEDDRA:10014567,,MONDO:0006740,empty sella syndrome
MEDDRA:10051818,,MONDO:0006741,encephalomalacia
MEDDRA:10068848,,MONDO:0006742,endemic goiter
MEDDRA:10049934,,MONDO:0006744,endolymphatic hydrops
MEDDRA:10048397,,MONDO:0006745,endometrioid stromal sarcoma
MEDDRA:10014800,,MONDO:0006746,endomyocardial fibrosis
MEDDRA:10015549,,MONDO:0006755,euthyroid sick syndrome
MEDDRA:10008637,,MONDO:0006757,extrahepatic cholestasis
MEDDRA:10061150,,MONDO:0006758,female genital tuberculosis
MEDDRA:10054794,,MONDO:0006761,fibromuscular dysplasia
MEDDRA:10017391,,MONDO:0006763,frozen shoulder
MEDDRA:10017538,,MONDO:0006764,fungal meningitis
MEDDRA:10070635,,MONDO:0006766,gait apraxia
MEDDRA:10051585,,MONDO:0006767,gastric antral vascular ectasia
MEDDRA:10018043,,MONDO:0006769,gastroparesis
MEDDRA:10018386,,MONDO:0006771,glossitis
MEDDRA:10062935,,MONDO:0006774,habitual spontaneous abortion
MEDDRA:10043960,,MONDO:0006777,hairy tongue
MEDDRA:10062794,,MONDO:0006778,halo nevus
MEDDRA:10002350,,MONDO:0006779,heart aneurysm
MEDDRA:10060632,,MONDO:0006783,hemopneumothorax
MEDDRA:10019601,,MONDO:0006784,hemorrhagic disease of newborn
MEDDRA:10019713,,MONDO:0006786,hepatic vein thrombosis
MEDDRA:10059019,,MONDO:0006787,hidrocystoma
MEDDRA:10062777,,MONDO:0006789,hyperamylasemia
MEDDRA:10020596,,MONDO:0006790,hypercementosis
MEDDRA:10020614,,MONDO:0006791,hyperemesis gravidarum
MEDDRA:10020716,,MONDO:0006793,hyperpituitarism
MEDDRA:10020769,,MONDO:0006795,hypersplenism
MEDDRA:10020803,,MONDO:0006796,hypertensive encephalopathy
MEDDRA:10020839,,MONDO:0006797,hypertensive retinopathy
MEDDRA:10020916,,MONDO:0006798,hypervitaminosis A
MEDDRA:10021216,,MONDO:0006800,ideomotor apraxia
MEDDRA:10042818,,MONDO:0006802,inappropriate ADH syndrome
MEDDRA:10057546,,MONDO:0006803,inferior myocardial infarction
MEDDRA:10006205,,MONDO:0006804,inflammatory breast carcinoma
MEDDRA:10022554,,MONDO:0006805,intermediate coronary syndrome
MEDDRA:10022557,,MONDO:0006806,intermediate uveitis
MEDDRA:10022694,,MONDO:0006807,intestinal perforation
MEDDRA:10049977,,MONDO:0006811,intracranial hypotension
MEDDRA:10058537,,MONDO:0006813,intradermal nevus
MEDDRA:10022955,,MONDO:0006814,iritis
MEDDRA:10023166,,MONDO:0006815,jejunal cancer
MEDDRA:10003285,,MONDO:0006816,arthropathy
MEDDRA:10023414,,MONDO:0006820,kidney cortex necrosis
MEDDRA:10028865,,MONDO:0006821,kidney papillary necrosis
MEDDRA:10023463,,MONDO:0006823,Klinefelter syndrome
MEDDRA:10023497,,MONDO:0006825,kuru
MEDDRA:10023504,,MONDO:0006826,kwashiorkor
MEDDRA:10024033,,MONDO:0006827,lateral medullary syndrome
MEDDRA:10024255,,MONDO:0006828,nasal cavity and paranasal sinus lethal midline granuloma
MEDDRA:10024373,,MONDO:0006829,leukemoid reaction
MEDDRA:10024394,,MONDO:0006830,leukoplakia of penis
MEDDRA:10024404,,MONDO:0006831,leukostasis
MEDDRA:10007089,,MONDO:0006834,lip cancer
MEDDRA:10058325,,MONDO:0006835,minimal change disease
MEDDRA:10024931,,MONDO:0006837,low tension glaucoma
MEDDRA:10025143,,MONDO:0006838,lupus vulgaris
MEDDRA:10025433,,MONDO:0006844,magnesium deficiency
MEDDRA:10061234,,MONDO:0006845,male genital tuberculosis
MEDDRA:10025600,,MONDO:0006846,malignant hypertension
MEDDRA:10026820,,MONDO:0006848,marasmus
MEDDRA:10026883,,MONDO:0006849,mastitis
MEDDRA:10027057,,MONDO:0006851,meconium aspiration syndrome
MEDDRA:10027389,,MONDO:0006853,mesenchymal chondrosarcoma
MEDDRA:10074583,,MONDO:0006855,mesenteric vascular occlusion
MEDDRA:10028562,,MONDO:0006861,myeloid sarcoma
MEDDRA:10048780,,MONDO:0006862,myofascial pain syndrome
MEDDRA:10072176,,MONDO:0006864,necrotizing sialometaplasia
MEDDRA:10028963,,MONDO:0006866,neonatal myasthenia gravis
MEDDRA:10048657,,MONDO:0006868,neurogenic bowel
MEDDRA:10018495,,MONDO:0006869,nodular goiter
MEDDRA:10046058,,MONDO:0006873,nutritional deficiency disease
MEDDRA:10029982,,MONDO:0006874,obstructive jaundice
MEDDRA:10030043,,MONDO:0006875,ocular hypertension
MEDDRA:10030345,,MONDO:0006877,oophoritis
MEDDRA:10030948,,MONDO:0006879,optic papillitis
MEDDRA:10057365,,MONDO:0006880,oral leukoedema
MEDDRA:10031036,,MONDO:0006881,orbital cellulitis
MEDDRA:10031064,,MONDO:0006882,orchitis
MEDDRA:10033683,,MONDO:0006884,panophthalmitis
MEDDRA:10062289,,MONDO:0006888,paraneoplastic polyneuropathy
MEDDRA:10033890,,MONDO:0006889,paraphimosis
MEDDRA:10033940,,MONDO:0006890,parathyroid gland adenoma
MEDDRA:10049143,,MONDO:0006894,patellofemoral pain syndrome
MEDDRA:10061913,,MONDO:0006895,penile neoplasm
MEDDRA:10060985,,MONDO:0006897,periapical granuloma
MEDDRA:10034464,,MONDO:0006898,periarthritis
MEDDRA:10034504,,MONDO:0006899,pericoronitis
MEDDRA:10072058,,MONDO:0006900,perinephritis
MEDDRA:10061344,,MONDO:0006901,peritoneal neoplasm
MEDDRA:10033828,,MONDO:0006903,peroneal nerve paralysis
MEDDRA:10034878,,MONDO:0006904,phimosis
MEDDRA:10056447,,MONDO:0006908,pituitary apoplexy
MEDDRA:10035083,,MONDO:0006909,pituitary dwarfism
MEDDRA:10049732,,MONDO:0006912,pneumatosis cystoides intestinalis
MEDDRA:10027253,,MONDO:0006913,pneumococcal meningitis
MEDDRA:10035645,,MONDO:0006913,pneumococcal meningitis
MEDDRA:10036370,,MONDO:0006918,posterior uveitis
MEDDRA:10036445,,MONDO:0006919,potassium deficiency
MEDDRA:10065542,,MONDO:0006920,prediabetes syndrome
MEDDRA:10037114,,MONDO:0006930,pseudobulbar palsy
MEDDRA:10037375,,MONDO:0006932,pulmonary edema
MEDDRA:10037450,,MONDO:0006936,pulmonary valve stenosis
MEDDRA:10037463,,MONDO:0006937,pulpitis
MEDDRA:10037584,,MONDO:0006938,pyelitis
MEDDRA:10037596,,MONDO:0006939,pyelonephritis
MEDDRA:10061477,,MONDO:0006940,radial nerve lesion
MEDDRA:10037904,,MONDO:0006941,rat-bite fever
MEDDRA:10001939,,MONDO:0006944,renal aminoaciduria
MEDDRA:10038489,,MONDO:0006946,renal osteodystrophy
MEDDRA:10038827,,MONDO:0006948,retinal artery occlusion
MEDDRA:10062776,,MONDO:0006949,retinal drusen
MEDDRA:10038905,,MONDO:0006950,retinal vasculitis
MEDDRA:10038907,,MONDO:0006951,retinal vein occlusion
MEDDRA:10038933,,MONDO:0006952,retinopathy of prematurity
MEDDRA:10039016,,MONDO:0006953,Rh isoimmunization
MEDDRA:10062110,,MONDO:0006955,rheumatic heart disease
MEDDRA:10061495,,MONDO:0006956,Rickettsiosis
MEDDRA:10048950,,MONDO:0006960,sciatic neuropathy
MEDDRA:10020708,,MONDO:0006964,secondary hyperparathyroidism
MEDDRA:10049039,,MONDO:0006968,shoulder impingement syndrome
MEDDRA:10040627,,MONDO:0006969,sialadenitis
MEDDRA:10040631,,MONDO:0006970,sialolithiasis
MEDDRA:10041329,,MONDO:0006976,somatostatinoma
MEDDRA:10041490,,MONDO:0006977,spermatocele
MEDDRA:10041648,,MONDO:0006978,splenic infarction
MEDDRA:10042271,,MONDO:0006981,subacute bacterial endocarditis
MEDDRA:10042298,,MONDO:0006982,subacute thyroiditis
MEDDRA:10042335,,MONDO:0006983,subclavian steal syndrome
MEDDRA:10042360,,MONDO:0006984,subdural empyema
MEDDRA:10042431,,MONDO:0006987,subvalvular aortic stenosis
MEDDRA:10042481,,MONDO:0006988,sulfhemoglobinemia
MEDDRA:10042900,,MONDO:0006992,syphilitic aortitis
MEDDRA:10074631,,MONDO:0006993,systolic heart failure
MEDDRA:10043121,,MONDO:0006994,tarsal tunnel syndrome
MEDDRA:10043705,,MONDO:0006996,thyroid crisis
MEDDRA:10044002,,MONDO:0006998,tonsil cancer
MEDDRA:10066862,,MONDO:0007001,tricuspid valve prolapse
MEDDRA:10074765,,MONDO:0007002,trochlear nerve disorder
MEDDRA:10045265,,MONDO:0007004,type III hypersensitivity disease
MEDDRA:10046369,,MONDO:0007008,uremia
MEDDRA:10064199,,MONDO:0007012,variant Creutzfeldt-Jakob disease
MEDDRA:10047469,,MONDO:0007015,viral meningitis
MEDDRA:10047586,,MONDO:0007016,vitamin A deficiency
MEDDRA:10047650,,MONDO:0007017,vitreous detachment
MEDDRA:10047780,,MONDO:0007018,vulvitis
MEDDRA:10047794,,MONDO:0007019,vulvovaginitis
MEDDRA:10074389,,MONDO:0007022,xanthogranulomatous pyelonephritis
MEDDRA:10053219,,MONDO:0007027,metabolic dysfunction-associated steatohepatitis
MEDDRA:10071135,,MONDO:0007029,branchio-oto-renal syndrome
MEDDRA:10051025,,MONDO:0007032,prune belly syndrome
MEDDRA:10000452,,MONDO:0007037,achondroplasia
MEDDRA:10002943,,MONDO:0007041,Apert syndrome
MEDDRA:10069445,,MONDO:0007048,acrokeratosis verruciformis
MEDDRA:10001294,,MONDO:0007070,adiposis dolorosa
MEDDRA:10049004,,MONDO:0007113,Angelman syndrome
MEDDRA:10066017,,MONDO:0007114,Angel-shaped phalango-epiphyseal dysplasia
MEDDRA:10003082,,MONDO:0007150,arcus senilis
MEDDRA:10024984,,MONDO:0007174,Lown-Ganong-Levine syndrome
MEDDRA:10004213,,MONDO:0007191,Behcet disease
MEDDRA:10006595,,MONDO:0007243,Burkitt lymphoma
MEDDRA:10049010,,MONDO:0007256,hepatocellular carcinoma
MEDDRA:10008301,,MONDO:0007303,cervical rib disease
MEDDRA:10056944,,MONDO:0007316,Chiari malformation type I
MEDDRA:10053870,,MONDO:0007318,Alagille syndrome
MEDDRA:10009807,,MONDO:0007345,aorta coarctation
MEDDRA:10019866,,MONDO:0007369,hereditary coproporphyria
MEDDRA:10011385,,MONDO:0007404,Cri-du-chat syndrome
MEDDRA:10071283,,MONDO:0007414,Gorham-Stout disease
MEDDRA:10023369,,MONDO:0007417,Darier disease
MEDDRA:10013799,,MONDO:0007473,Duane retraction syndrome
MEDDRA:10014338,,MONDO:0007529,elastosis perforans serpiginosa
MEDDRA:10010456,,MONDO:0007536,congenital lobar emphysema
MEDDRA:10035040,,MONDO:0007564,pilomatrixoma
MEDDRA:10016386,,MONDO:0007603,Felty syndrome
MEDDRA:10068715,,MONDO:0007606,fibrodysplasia ossificans progressiva
MEDDRA:10060707,,MONDO:0007650,MALT lymphoma
