dropped_curie,dropped_label,dropped_from_clique_leader,clique_leader_label
MEDDRA:10065148,,MONDO:0017771,Mayer-Rokitansky-Kuster-Hauser syndrome
MEDDRA:10065156,,MONDO:0017773,hypoalphalipoproteinemia
MEDDRA:10069748,,MONDO:0017775,melioidosis
MEDDRA:10029444,,MONDO:0017776,nocardiosis
MEDDRA:10023686,,MONDO:0017778,lamellar ichthyosis
MEDDRA:10066796,,MONDO:0017795,ameloblastoma
MEDDRA:10027139,,MONDO:0017799,Meigs syndrome
MEDDRA:10029236,,MONDO:0017827,malignant peripheral nerve sheath tumor
MEDDRA:10040493,,MONDO:0017844,Sezary syndrome
MEDDRA:10040500,,MONDO:0017844,Sezary syndrome
MEDDRA:10049048,,MONDO:0017851,erythrokeratodermia variabilis
MEDDRA:10001890,,MONDO:0017853,hypersensitivity pneumonitis
MEDDRA:10037451,,MONDO:0017865,congenital pulmonary valve stenosis
MEDDRA:10005932,,MONDO:0017875,Bolivian hemorrhagic fever
MEDDRA:10019143,,MONDO:0017879,hantavirus pulmonary syndrome
MEDDRA:10039143,,MONDO:0017880,Rift valley fever
MEDDRA:10023505,,MONDO:0017881,Kyasanur forest disease
MEDDRA:10030310,,MONDO:0017882,Omsk hemorrhagic fever
MEDDRA:10042928,,MONDO:0017987,syringomyelia
MEDDRA:10043097,,MONDO:0017991,Takayasu arteritis
MEDDRA:10071249,,MONDO:0018034,thalidomide embryopathy
MEDDRA:10062506,,MONDO:0018048,heparin-induced thrombocytopenia
MEDDRA:10044628,,MONDO:0018053,trichothiodystrophy
MEDDRA:10056960,,MONDO:0018056,bullous lichen planus
MEDDRA:10027249,,MONDO:0018059,meningococcal meningitis
MEDDRA:10027276,,MONDO:0018059,meningococcal meningitis
MEDDRA:10047883,,MONDO:0018063,nodular non-suppurative panniculitis
MEDDRA:10044686,,MONDO:0018068,trisomy 13
MEDDRA:10053884,,MONDO:0018071,trisomy 18
MEDDRA:10044755,,MONDO:0018076,tuberculosis
MEDDRA:10045146,,MONDO:0018077,tularemia
MEDDRA:10023484,,MONDO:0018081,hemorrhagic fever-renal syndrome
MEDDRA:10048951,,MONDO:0018084,Uhl anomaly
MEDDRA:10016207,,MONDO:0018088,familial Mediterranean fever
MEDDRA:10013611,,MONDO:0018089,double outlet right ventricle
MEDDRA:10069203,,MONDO:0018094,Waardenburg syndrome
MEDDRA:10064963,,MONDO:0018096,Weill-Marchesani syndrome
MEDDRA:10021750,,MONDO:0018097,infantile spasms
MEDDRA:10011005,,MONDO:0018102,corneal dystrophy
MEDDRA:10017604,,MONDO:0018116,galactosemia
MEDDRA:10018048,,MONDO:0018150,Gaucher disease
MEDDRA:10060801,,MONDO:0018153,Erdheim-Chester disease
MEDDRA:10007700,,MONDO:0018154,Madelung deformity
MEDDRA:10036704,,MONDO:0018155,lateral sclerosis
MEDDRA:10059396,,MONDO:0018158,mitochondrial DNA depletion syndrome
MEDDRA:10027974,,MONDO:0018169,morning glory syndrome
MEDDRA:10018336,,MONDO:0018177,glioblastoma
MEDDRA:10018337,,MONDO:0018177,glioblastoma
MEDDRA:10025213,,MONDO:0018178,intestinal lymphangiectasia
MEDDRA:10041929,,MONDO:0018181,staphylococcal scalded skin syndrome
MEDDRA:10006563,,MONDO:0018182,bullous impetigo
MEDDRA:10042033,,MONDO:0018229,Stevens-Johnson syndrome
MEDDRA:10011796,,MONDO:0018301,interstitial cystitis
MEDDRA:10062908,,MONDO:0018304,Schnitzler syndrome
MEDDRA:10008906,,MONDO:0018305,chronic granulomatous disease
MEDDRA:10010539,,MONDO:0018309,Hirschsprung disease
MEDDRA:10069698,,MONDO:0018310,Langerhans cell histiocytosis
MEDDRA:10020141,,MONDO:0018312,histoplasmosis
MEDDRA:10057429,,MONDO:0018460,Eales disease
MEDDRA:10060751,,MONDO:0018473,hyperlipoproteinemia type 3
MEDDRA:10023376,,MONDO:0018477,bilirubin encephalopathy
MEDDRA:10010323,,MONDO:0018479,congenital adrenal hyperplasia
MEDDRA:10020844,,MONDO:0018493,malignant hyperthermia of anesthesia
MEDDRA:10052210,,MONDO:0018542,severe congenital neutropenia
MEDDRA:10051260,,MONDO:0018544,adrenoleukodystrophy
MEDDRA:10040108,,MONDO:0018546,serotonin syndrome
MEDDRA:10067685,,MONDO:0018556,Lambert-Eaton myasthenic syndrome
MEDDRA:10049933,,MONDO:0018570,hypophosphatasia
MEDDRA:10010510,,MONDO:0018612,congenital hypothyroidism
MEDDRA:10061992,,MONDO:0018660,hemophilia
MEDDRA:10062001,,MONDO:0018666,hepatoblastoma
MEDDRA:10059119,,MONDO:0018677,visceral heterotaxy
MEDDRA:10067265,,MONDO:0018677,visceral heterotaxy
MEDDRA:10057052,,MONDO:0018746,mucous membrane pemphigoid
MEDDRA:10056508,,MONDO:0018747,acquired epidermolysis bullosa
MEDDRA:10024515,,MONDO:0018748,linear IgA Dermatosis
MEDDRA:10064570,,MONDO:0018768,familial cold autoinflammatory syndrome
MEDDRA:10023076,,MONDO:0018769,isosporiasis
MEDDRA:10057621,,MONDO:0018770,Jeune syndrome
MEDDRA:10048786,,MONDO:0018781,KID syndrome
MEDDRA:10053142,,MONDO:0018800,Kallmann syndrome
MEDDRA:10037635,,MONDO:0018824,pyoderma gangrenosum
MEDDRA:10065580,,MONDO:0018826,Lewis-Sumner syndrome
MEDDRA:10048640,,MONDO:0018830,Kimura disease
MEDDRA:10048911,,MONDO:0018838,lissencephaly spectrum disorders
MEDDRA:10065857,,MONDO:0018842,primary effusion lymphoma
MEDDRA:10065375,,MONDO:0018844,urachal cyst
MEDDRA:10038979,,MONDO:0018848,IgG4-related retroperitoneal fibrosis
MEDDRA:10054013,,MONDO:0018849,dentinogenesis imperfecta
MEDDRA:10000454,,MONDO:0018852,achromatopsia
MEDDRA:10067609,,MONDO:0018868,metachromatic leukodystrophy
MEDDRA:10000890,,MONDO:0018871,acute myelomonocytic leukemia M4
MEDDRA:10060556,,MONDO:0018872,acute megakaryoblastic leukemia
MEDDRA:10000880,,MONDO:0018874,acute myeloid leukemia
MEDDRA:10061275,,MONDO:0018876,mantle cell lymphoma
MEDDRA:10028532,,MONDO:0018881,myelodysplastic syndrome
MEDDRA:10047115,,MONDO:0018882,vasculitis
MEDDRA:10059364,,MONDO:0018891,familial tumoral calcinosis
MEDDRA:10048661,,MONDO:0018892,Wyburn-Mason syndrome
MEDDRA:10040664,,MONDO:0018895,Plummer-Vinson syndrome
MEDDRA:10043648,,MONDO:0018896,thrombotic thrombocytopenic purpura
MEDDRA:10019827,,MONDO:0018902,hepatocellular adenoma
MEDDRA:10039483,,MONDO:0018903,sarcocystosis
MEDDRA:10012818,,MONDO:0018905,diffuse large B-cell lymphoma
MEDDRA:10011318,,MONDO:0018907,craniopharyngioma
MEDDRA:10029547,,MONDO:0018908,non-Hodgkin lymphoma
MEDDRA:10011652,,MONDO:0018912,Cushing syndrome
MEDDRA:10049430,,MONDO:0018920,peripartum cardiomyopathy
MEDDRA:10061981,,MONDO:0018927,SUNCT syndrome
MEDDRA:10019053,,MONDO:0018935,hairy cell leukemia
MEDDRA:10019055,,MONDO:0018935,hairy cell leukemia
MEDDRA:10004430,,MONDO:0018936,osteoblastoma
MEDDRA:10056890,,MONDO:0018937,mucopolysaccharidosis type 3
MEDDRA:10028095,,MONDO:0018938,mucopolysaccharidosis type 4
MEDDRA:10061988,,MONDO:0018944,gestational trophoblastic neoplasm
MEDDRA:10059314,,MONDO:0018955,recurrent respiratory papillomatosis
MEDDRA:10001843,,MONDO:0018965,Alport syndrome
MEDDRA:10022034,,MONDO:0018968,iniencephaly
MEDDRA:10011321,,MONDO:0018969,craniorachischisis
MEDDRA:10057056,,MONDO:0018974,paraneoplastic pemphigus
MEDDRA:10027074,,MONDO:0018978,IgG4-related mediastinitis
MEDDRA:10051526,,MONDO:0018983,Tolosa-Hunt syndrome
MEDDRA:10053678,,MONDO:0018988,iridocorneal endothelial syndrome
MEDDRA:10039142,,MONDO:0018992,IgG4-related thyroid disease
MEDDRA:10029748,,MONDO:0018997,Noonan syndrome
MEDDRA:10070667,,MONDO:0018998,Leber congenital amaurosis
MEDDRA:10029145,,MONDO:0019004,kidney Wilms tumor
MEDDRA:10046879,,MONDO:0019007,vaginal atresia
MEDDRA:10030308,,MONDO:0019015,omphalocele
MEDDRA:10031243,,MONDO:0019019,osteogenesis imperfecta
MEDDRA:10036813,,MONDO:0019037,progressive supranuclear palsy
MEDDRA:10024381,,MONDO:0019046,leukodystrophy
MEDDRA:10062018,,MONDO:0019052,inborn errors of metabolism
MEDDRA:10029323,,MONDO:0019056,neuromuscular disease
MEDDRA:10019903,,MONDO:0019064,hereditary spastic paraplegia
MEDDRA:10002022,,MONDO:0019065,amyloidosis
MEDDRA:10068856,,MONDO:0019077,warty dyskeratoma
MEDDRA:10001766,,MONDO:0019080,alopecia totalis
MEDDRA:10037766,,MONDO:0019084,radiation proctitis
MEDDRA:10030155,,MONDO:0019086,carcinoma of esophagus
MEDDRA:10008593,,MONDO:0019087,cholangiocarcinoma
MEDDRA:10051358,,MONDO:0019088,post-transplant lymphoproliferative disease
MEDDRA:10006475,,MONDO:0019091,bronchopulmonary dysplasia
MEDDRA:10035148,,MONDO:0019095,plague
MEDDRA:10050245,,MONDO:0019098,autoimmune thrombocytopenia
MEDDRA:10029322,,MONDO:0019100,neuromyelitis optica
MEDDRA:10066142,,MONDO:0019104,Sandifer syndrome
MEDDRA:10072376,,MONDO:0019114,psychogenic movement disorders
MEDDRA:10038857,,MONDO:0019118,inherited retinal dystrophy
MEDDRA:10063344,,MONDO:0019124,microscopic polyangiitis
MEDDRA:10038304,,MONDO:0019125,relapsing polychondritis
MEDDRA:10036102,,MONDO:0019127,polymyositis
MEDDRA:10061418,,MONDO:0019136,Zygomycosis
MEDDRA:10053745,,MONDO:0019139,acquired hemophilia
MEDDRA:10069517,,MONDO:0019143,angiostrongyliasis
MEDDRA:10028586,,MONDO:0019147,myiasis
MEDDRA:10053687,,MONDO:0019148,Wolman disease
MEDDRA:10056292,,MONDO:0019154,androgen insensitivity syndrome
MEDDRA:10024406,,MONDO:0019155,Leydig cell hypoplasia
MEDDRA:10052841,,MONDO:0019159,Loeffler endocarditis
MEDDRA:10036024,,MONDO:0019170,polyarteritis nodosa
MEDDRA:10057926,,MONDO:0019171,familial long QT syndrome
MEDDRA:10002532,,MONDO:0019172,aniridia
MEDDRA:10037742,,MONDO:0019173,rabies
MEDDRA:10019883,,MONDO:0019180,hereditary hemorrhagic telangiectasia
MEDDRA:10037688,,MONDO:0019186,Q fever
MEDDRA:10059255,,MONDO:0019187,Axenfeld-Rieger syndrome
MEDDRA:10039281,,MONDO:0019188,Rubinstein-Taybi syndrome
MEDDRA:10051457,,MONDO:0019191,IgG4-related dacryoadenitis and sialadenitis
MEDDRA:10052317,,MONDO:0019191,IgG4-related dacryoadenitis and sialadenitis
MEDDRA:10042742,,MONDO:0019198,sympathetic ophthalmia
MEDDRA:10038914,,MONDO:0019200,retinitis pigmentosa
MEDDRA:10043788,,MONDO:0019201,thyrotoxic periodic paralysis
MEDDRA:10066948,,MONDO:0019202,myxofibrosarcoma
MEDDRA:10066728,,MONDO:0019203,acute interstitial pneumonia
MEDDRA:10014596,,MONDO:0019209,Japanese encephalitis
MEDDRA:10070969,,MONDO:0019238,inborn disorder of pyrimidine metabolism
MEDDRA:10028093,,MONDO:0019249,mucopolysaccharidosis
MEDDRA:10037546,,MONDO:0019254,inborn disorder of purine or pyrimidine metabolism
MEDDRA:10034875,,MONDO:0019259,classic phenylketonuria
MEDDRA:10051316,,MONDO:0019266,SAPHO syndrome
MEDDRA:10015280,,MONDO:0019270,erythrokeratoderma
MEDDRA:10020864,,MONDO:0019280,hypertrichosis
MEDDRA:10010452,,MONDO:0019287,ectodermal dysplasia syndrome
MEDDRA:10040868,,MONDO:0019290,hypopigmentation of the skin
MEDDRA:10062171,,MONDO:0019293,skin vascular disease
MEDDRA:10025282,,MONDO:0019297,lymphedema
MEDDRA:10063493,,MONDO:0019303,premature aging syndrome
MEDDRA:10071775,,MONDO:0019312,Hermansky-Pudlak syndrome
MEDDRA:10012812,,MONDO:0019315,diffuse cutaneous mastocytosis
MEDDRA:10046752,,MONDO:0019316,maculopapular cutaneous mastocytosis
MEDDRA:10057053,,MONDO:0019322,pemphigus vegetans
MEDDRA:10058917,,MONDO:0019323,pemphigus erythematosus
MEDDRA:10057069,,MONDO:0019324,pemphigus foliaceus
MEDDRA:10039486,,MONDO:0019338,sarcoidosis
MEDDRA:10056894,,MONDO:0019339,"47,XYY syndrome"
MEDDRA:10039710,,MONDO:0019340,scleroderma
MEDDRA:10068801,,MONDO:0019344,antisynthetase syndrome
MEDDRA:10017915,,MONDO:0019345,shigellosis
MEDDRA:10054178,,MONDO:0019345,shigellosis
MEDDRA:10064387,,MONDO:0019349,Sotos syndrome
MEDDRA:10019904,,MONDO:0019350,hereditary spherocytosis
MEDDRA:10062766,,MONDO:0019353,Stargardt disease
MEDDRA:10063402,,MONDO:0019354,Stickler syndrome
MEDDRA:10064056,,MONDO:0019355,adult-onset Still disease
MEDDRA:10039207,,MONDO:0019359,Rocky mountain spotted fever
MEDDRA:10039137,,MONDO:0019360,rickettsialpox
MEDDRA:10014979,,MONDO:0019362,epidemic louse-borne typhus
MEDDRA:10039766,,MONDO:0019365,scrub typhus
MEDDRA:10064332,,MONDO:0019369,complex regional pain syndrome
MEDDRA:10064581,,MONDO:0019373,desmoplastic small round cell tumor
MEDDRA:10064587,,MONDO:0019373,desmoplastic small round cell tumor
MEDDRA:10014584,,MONDO:0019378,la Crosse encephalitis
MEDDRA:10014614,,MONDO:0019380,western equine encephalitis
MEDDRA:10052369,,MONDO:0019384,encephalitis lethargica
MEDDRA:10071573,,MONDO:0019390,Susac syndrome
MEDDRA:10055206,,MONDO:0019391,Fanconi anemia
MEDDRA:10042926,,MONDO:0019392,syringocystadenoma papilliferum
MEDDRA:10043391,,MONDO:0019402,beta thalassemia
MEDDRA:10036673,,MONDO:0019438,AL amyloidosis
MEDDRA:10039811,,MONDO:0019439,AA amyloidosis
MEDDRA:10044608,,MONDO:0019444,trichinellosis
MEDDRA:10044611,,MONDO:0019445,trichofolliculoma
MEDDRA:10067959,,MONDO:0019453,myelodysplastic syndrome with multilineage dysplasia
MEDDRA:10038270,,MONDO:0019454,myelodysplastic syndrome with excess blasts
MEDDRA:10000879,,MONDO:0019455,acute panmyelosis with myelofibrosis
MEDDRA:10062113,,MONDO:0019462,splenic marginal zone lymphoma
MEDDRA:10019350,,MONDO:0019464,heavy chain disease
MEDDRA:10029460,,MONDO:0019465,nodal marginal zone B-cell lymphoma
MEDDRA:10025325,,MONDO:0019466,lymphomatoid granulomatosis
MEDDRA:10042985,,MONDO:0019468,T-cell prolymphocytic leukemia
MEDDRA:10065862,,MONDO:0019469,T-cell large granular lymphocyte leukemia
MEDDRA:10028811,,MONDO:0019470,aggressive NK-cell leukemia
MEDDRA:10001413,,MONDO:0019471,adult T-cell leukemia/lymphoma
MEDDRA:10065855,,MONDO:0019472,extranodal nasal NK/T cell lymphoma
MEDDRA:10066957,,MONDO:0019474,hepatosplenic T-cell lymphoma
MEDDRA:10034623,,MONDO:0019476,primary cutaneous peripheral T-cell lymphoma not otherwise specified
MEDDRA:10045181,,MONDO:0019499,Turner syndrome
MEDDRA:10047216,,MONDO:0019514,hepatic veno-occlusive disease
MEDDRA:10056968,,MONDO:0019526,erythema elevatum diutinum
MEDDRA:10071575,,MONDO:0019527,undifferentiated connective tissue syndrome
MEDDRA:10047822,,MONDO:0019532,"autoimmune hemolytic anemia, warm type"
MEDDRA:10055019,,MONDO:0019537,hemoglobin D disease
MEDDRA:10042217,,MONDO:0019538,Gaisbock syndrome
MEDDRA:10053885,,MONDO:0019538,Gaisbock syndrome
MEDDRA:10000804,,MONDO:0019542,acute liver failure
MEDDRA:10025141,,MONDO:0019557,chilblain lupus
MEDDRA:10013072,,MONDO:0019558,discoid lupus erythematosus
MEDDRA:10039712,,MONDO:0019562,localized scleroderma
MEDDRA:10011380,,MONDO:0019563,CREST syndrome
MEDDRA:10043192,,MONDO:0019576,telangiectasia macularis eruptiva perstans
MEDDRA:10033662,,MONDO:0019591,panhypopituitarism
MEDDRA:10048220,,MONDO:0019600,xeroderma pigmentosum
MEDDRA:10036297,,MONDO:0019618,Sheehan syndrome
MEDDRA:10019860,,MONDO:0019623,hereditary angioedema
MEDDRA:10059198,,MONDO:0019628,Rieger anomaly
MEDDRA:10025169,,MONDO:0019632,Lyme disease
MEDDRA:10038300,,MONDO:0019633,relapsing fever
MEDDRA:10036669,,MONDO:0019635,idiopathic achalasia
MEDDRA:10053624,,MONDO:0019636,"renal agenesis, unilateral"
MEDDRA:10049102,,MONDO:0019637,renal hypoplasia
MEDDRA:10036369,,MONDO:0019640,posterior urethral valve
MEDDRA:10066122,,MONDO:0019648,achondrogenesis
MEDDRA:10058902,,MONDO:0019668,adenoma of pancreas
MEDDRA:10043645,,MONDO:0019737,thrombotic microangiopathy
MEDDRA:10072220,,MONDO:0019751,autoinflammatory syndrome
MEDDRA:10015088,,MONDO:0019759,epispadias
MEDDRA:10002654,,MONDO:0019780,anotia
MEDDRA:10062891,,MONDO:0019783,neovascular glaucoma
MEDDRA:10029282,,MONDO:0019790,neuroleptic malignant syndrome
MEDDRA:10000590,,MONDO:0019796,acrocephalosyndactyly
MEDDRA:10010654,,MONDO:0019804,congenital tracheomalacia
MEDDRA:10058328,,MONDO:0019805,twin to twin transfusion syndrome
MEDDRA:10066801,,MONDO:0019808,aortic valve atresia
MEDDRA:10010370,,MONDO:0019809,congenital aortic valve insufficiency
MEDDRA:10044223,,MONDO:0019810,toxic epidermal necrolysis
MEDDRA:10010656,,MONDO:0019813,congenital tricuspid stenosis
MEDDRA:10065938,,MONDO:0019861,thyroid hypoplasia
MEDDRA:10071015,,MONDO:0019862,levocardia
MEDDRA:10053916,,MONDO:0019867,mosaic trisomy 8
MEDDRA:10048228,,MONDO:0019928,"48,XXXY syndrome"
MEDDRA:10000599,,MONDO:0019933,acromegaly
MEDDRA:10058554,,MONDO:0019944,Eisenmenger syndrome
MEDDRA:10041307,,MONDO:0019945,solar urticaria
MEDDRA:10062547,,MONDO:0019952,congenital myopathy
MEDDRA:10014581,,MONDO:0019956,encephalitis
MEDDRA:10018404,,MONDO:0019959,glucagonoma
MEDDRA:10047430,,MONDO:0019960,VIPoma
MEDDRA:10064242,,MONDO:0019967,Kienbock disease
MEDDRA:10063585,,MONDO:0019970,Sinding-Larsen-Johansson disease
MEDDRA:10029400,,MONDO:0019975,pellagra
MEDDRA:10037126,,MONDO:0019992,pseudohypoparathyroidism
MEDDRA:10014316,,MONDO:0020066,Ehlers-Danlos syndrome
MEDDRA:10057235,,MONDO:0020068,postinfectious encephalitis
MEDDRA:10028576,,MONDO:0020076,myeloproliferative neoplasm
MEDDRA:10049287,,MONDO:0020089,acquired lipodystrophy
MEDDRA:10002046,,MONDO:0020108,autoimmune hemolytic anemia
MEDDRA:10037322,,MONDO:0020110,pulmonary agenesis
MEDDRA:10028356,,MONDO:0020121,muscular dystrophy
MEDDRA:10068836,,MONDO:0020123,metabolic myopathy
MEDDRA:10028003,,MONDO:0020128,motor neuron disorder
MEDDRA:10014923,,MONDO:0020159,congenital entropion
MEDDRA:10046851,,MONDO:0020283,uveitis
MEDDRA:10050053,,MONDO:0020291,hypoplastic right heart syndrome
MEDDRA:10064962,,MONDO:0020291,hypoplastic right heart syndrome
MEDDRA:10061080,,MONDO:0020292,congenital anomaly of the great arteries
MEDDRA:10009018,,MONDO:0020311,chronic myelomonocytic leukemia
MEDDRA:10067399,,MONDO:0020322,acute biphenotypic leukemia
MEDDRA:10036710,,MONDO:0020323,primary mediastinal large B-cell lymphoma
MEDDRA:10069643,,MONDO:0020324,intravascular large B-cell lymphoma
MEDDRA:10056670,,MONDO:0020326,lymphomatoid papulosis
MEDDRA:10056452,,MONDO:0020331,indolent systemic mastocytosis
MEDDRA:10056453,,MONDO:0020333,aggressive systemic mastocytosis
MEDDRA:10056450,,MONDO:0020334,mast cell leukemia
MEDDRA:10066854,,MONDO:0020341,periventricular nodular heterotopia
MEDDRA:10064032,,MONDO:0020367,juvenile open angle glaucoma
MEDDRA:10058653,,MONDO:0020368,Axenfeld anomaly
MEDDRA:10057487,,MONDO:0020369,Chandler syndrome
MEDDRA:10059200,,MONDO:0020370,Cogan-Reese syndrome
MEDDRA:10066802,,MONDO:0020404,shone complex
MEDDRA:10067407,,MONDO:0020417,right aortic arch
MEDDRA:10031302,,MONDO:0020434,"atrial septal defect, ostium secundum type"
MEDDRA:10031303,,MONDO:0020434,"atrial septal defect, ostium secundum type"
MEDDRA:10016982,,MONDO:0020439,patent foramen ovale
MEDDRA:10069495,,MONDO:0020460,acquired von willebrand syndrome
MEDDRA:10018265,,MONDO:0020479,pituitary gigantism
MEDDRA:10054161,,MONDO:0020487,Pontiac fever
MEDDRA:10026822,,MONDO:0020500,Marburg hemorrhagic fever
MEDDRA:10048240,,MONDO:0020502,yellow fever
MEDDRA:10014956,,MONDO:0020517,eosinophilic granuloma
MEDDRA:10044251,,MONDO:0020544,streptococcal toxic-shock syndrome
MEDDRA:10044250,,MONDO:0020545,staphylococcal toxic-shock syndrome
MEDDRA:10066260,,MONDO:0020546,acute graft versus host disease
MEDDRA:10066261,,MONDO:0020547,chronic graft versus host disease
MEDDRA:10069682,,MONDO:0020559,O'Sullivan-McLeod syndrome
MEDDRA:10007825,,MONDO:0020572,complex regional pain syndrome type 2
MEDDRA:10064335,,MONDO:0020572,complex regional pain syndrome type 2
MEDDRA:10042778,,MONDO:0021002,syndactyly
MEDDRA:10036063,,MONDO:0021003,polydactyly
MEDDRA:10057034,,MONDO:0021020,Crigler-Najjar syndrome type 1
MEDDRA:10006007,,MONDO:0021054,bone sarcoma
MEDDRA:10006045,,MONDO:0024472,boutonneuse fever
MEDDRA:10022498,,MONDO:0024677,pancreatic insulinoma
MEDDRA:10068842,,MONDO:0031421,Olmsted syndrome
MEDDRA:10072036,,MONDO:0044792,large congenital melanocytic nevus
MEDDRA:10034042,,MONDO:0100244,paroxysmal nocturnal hemoglobinuria
MEDDRA:10047801,,MONDO:0100280,Waldenstrom macroglobulinemia
MEDDRA:10039211,,MONDO:0100316,long QT syndrome 1
MEDDRA:10017374,,MONDO:0100339,Friedreich ataxia
MEDDRA:10007270,,MONDO:0100347,carcinoid syndrome
MEDDRA:10064062,,MONDO:0700092,neurodevelopmental disorder
MEDDRA:10007982,,MONDO:0800026,"central hypoventilation syndrome, congenital, 1, with or without Hirschsprung disease"
MEDDRA:10007625,,MONDO:0800175,cardiogenic shock
MEDDRA:10071545,,MONDO:0800491,early-infantile DEE
