drugbank_curie,label,unii,ncit,ncit_label,biolink_type,future_biolink_type,signal
DRUGBANK:DB14326,Amber,UNII:70J9Z0J26P,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14327,Purslane,UNII:M6S840WXG5,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14328,Chamaemelum nobile flower,UNII:O2T154T6OG,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14329,Sunflower oil,UNII:3W1JG795YI,NCIT:C1241,Sunflower Oil,biolink:Food,,ncit-food
DRUGBANK:DB14330,Macadamia oil,UNII:515610SU8C,,,biolink:Food,,botanical-flag
DRUGBANK:DB14331,Heterotheca inuloides flower,UNII:W9NZ9OZF68,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14333,Nelumbo nucifera flower,UNII:61W322NLDV,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14335,Bergamot oil,UNII:39W1PKE3JI,NCIT:C107291,Citrus bergamia Extract,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14336,Angelica sinensis root,UNII:697D19QDBN,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14337,Salvia miltiorrhiza root,UNII:1693AM5SBN,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14338,Atractylodes lancea root oil,UNII:EC228KGY00,,,biolink:Food,,botanical-flag
DRUGBANK:DB14339,Scutellaria lateriflora,UNII:7BP4DH5PDC,NCIT:C73980,Scutellaria lateriflora,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14340,Prunus armeniaca seed,UNII:75356789IW,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14341,Chamaecyparis obtusa wood oil,UNII:P2OMP71Y62,NCIT:C107284,Chamaecyparis obtusa Wood Oil,biolink:Food,,botanical-flag
DRUGBANK:DB14342,Taraxacum officinale leaf,UNII:0022LFJ74Y,NCIT:C71842,Taraxacum officinale Leaf,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14343,Arnica montana flower,UNII:OZ0E5Y15PZ,NCIT:C72490,Arnica montana Flower,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14344,Lonicera confusa flower,UNII:3JV904IJ0V,,,biolink:Food,,botanical-flag
DRUGBANK:DB14345,Forsythia suspensa fruit,UNII:P4793M1ES5,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
