drugbank_curie,label,unii,unii_preferred_name,ncbitaxon,ncbitaxon_label,unii_ncit,unii_ncit_label,unii_ncit_parents,unii_ncit_semantic_types,has_extract_marker
DRUGBANK:DB14249,Pearl (hyriopsis cumingii),UNII:A75L5FZ40U,PEARL (HYRIOPSIS CUMINGII),NCBITaxon:165450,Sinohyriopsis cumingii,,,,,False
DRUGBANK:DB14250,Royal jelly,UNII:L497I37F0C,ROYAL JELLY,NCBITaxon:7460,Apis mellifera (honey bee),NCIT:C87569,Royal Jelly,NCIT:C106128 (Animal-based Natural Product),T109=Organic Chemical|T121=Pharmacologic Substance,False
DRUGBANK:DB14251,Ostrea edulis shell,UNII:49OY13BE7Z,OSTREA EDULIS SHELL,NCBITaxon:37623,Ostrea edulis (European flat oyster),,,,,True
DRUGBANK:DB14260,Stypocaulon scoparium,UNII:C4AD0HDH4I,STYPOCAULON SCOPARIUM,NCBITaxon:117525,,,,,,True
DRUGBANK:DB14282,Phellinus linteus mycelium,UNII:40K19XJV3C,PHELLINUS LINTEUS MYCELIUM,NCBITaxon:79320,,,,,,True
DRUGBANK:DB14287,Trametes versicolor fruiting body,UNII:4C900477MT,TRAMETES VERSICOLOR FRUITING BODY,NCBITaxon:5325,Trametes versicolor (turkey-tail fungus),,,,,True
DRUGBANK:DB14332,Inonotus obliquus fruiting body,UNII:MRO1FS760M,INONOTUS OBLIQUUS FRUITING BODY,NCBITaxon:167356,Inonotus obliquus (chaga),,,,,True
DRUGBANK:DB14348,Citrus junos fruit,UNII:53KHW58C1V,CITRUS JUNOS FRUIT,NCBITaxon:135197,Citrus junos (yuzu),,,,,True
DRUGBANK:DB14351,Usnea barbata,UNII:D6DVA9TCAP,USNEA BARBATA,NCBITaxon:192174,Usnea barbata,,,,,True
DRUGBANK:DB14359,Tremella fuciformis whole,UNII:4938BNS0GU,TREMELLA FUCIFORMIS WHOLE,NCBITaxon:64657,Tremella fuciformis (snow fungus),,,,,False
DRUGBANK:DB14367,Chondrus crispus,UNII:OQS23HUA1X,CHONDRUS CRISPUS,NCBITaxon:2769,Chondrus crispus (carragheen),NCIT:C180534,Chondrus crispus,NCIT:C75667 (Seaweed),T002=Plant,False
DRUGBANK:DB14388,Bordetella pertussis toxoid antigen (formaldehyde inactivated),UNII:N51SPD4A45,BORDETELLA PERTUSSIS TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED),NCBITaxon:520,Bordetella pertussis,NCIT:C77703,Bordetella pertussis Toxoid Antigen (Formaldehyde Inactivated),NCIT:C75948 (Bordetella Pertussis Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB14410,Human adenovirus b serotype 7,UNII:K7O6S79496,HUMAN ADENOVIRUS B SEROTYPE 7,NCBITaxon:10519,Human adenovirus 7,,,,,False
DRUGBANK:DB14427,Neisseria meningitidis group a capsular oligosaccharide diphtheria crm197 protein conjugate antigen,UNII:3O44U6XYQK,NEISSERIA MENINGITIDIS GROUP A CAPSULAR OLIGOSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:65699,Neisseria meningitidis serogroup A,,,,,False
DRUGBANK:DB14429,Neisseria meningitidis group w-135 capsular oligosaccharide diphtheria crm197 protein conjugate antigen,UNII:5JT3N61JSP,NEISSERIA MENINGITIDIS GROUP W-135 CAPSULAR OLIGOSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:487,Neisseria meningitidis,,,,,False
DRUGBANK:DB14430,Neisseria meningitidis group y capsular oligosaccharide diphtheria crm197 protein conjugate antigen,UNII:2W566Z2PEJ,NEISSERIA MENINGITIDIS GROUP Y CAPSULAR OLIGOSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:487,Neisseria meningitidis,,,,,False
DRUGBANK:DB14443,Vibrio cholerae CVD 103-HgR strain live antigen,UNII:V9G528E9E0,VIBRIO CHOLERAE CVD 103-HGR STRAIN LIVE ANTIGEN,NCBITaxon:666,Vibrio cholerae,,,,,False
DRUGBANK:DB14564,Kale,UNII:0Y3L4J38H1,KALE,NCBITaxon:3713,Brassica oleracea var. viridis (kale),,,,,False
DRUGBANK:DB14613,"Serum, horse",UNII:QHD0E51VON,"SERUM, HORSE",NCBITaxon:9796,Equus caballus (horse),NCIT:C29772,"Serum, Horse",NCIT:C802 (Reagent),"T116=Amino Acid, Peptide, or Protein|T130=Indicator, Reagent, or Diagnostic Aid",False
DRUGBANK:DB14710,Camponotus pennsylvanicus,UNII:9J6GJ0890E,CAMPONOTUS PENNSYLVANICUS,NCBITaxon:104422,Camponotus pennsylvanicus,,,,,False
DRUGBANK:DB14744,Spirulina platensis,UNII:9K7IG15M0Q,ARTHROSPIRA MAXIMA,NCBITaxon:129910,Limnospira maxima,,,,,False
DRUGBANK:DB15274,Pertussis vaccine,UNII:2QNL82089R,BORDETELLA PERTUSSIS,NCBITaxon:520,Bordetella pertussis,NCIT:C76205,Bordetella pertussis,NCIT:C86202 (Bordetella),T007=Bacterium,False
DRUGBANK:DB15461,Yersinia pestis 195/p antigen (formaldehyde inactivated),UNII:G10832YT0L,YERSINIA PESTIS 195/P ANTIGEN (FORMALDEHYDE INACTIVATED),NCBITaxon:632,Yersinia pestis,NCIT:C75860,Yersinia pestis 195/P Antigen (Formaldehyde Inactivated),NCIT:C75859 (Yersinia Pestis Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB15511,Gibberella fujikuroi,UNII:815V716OR2,GIBBERELLA FUJIKUROI,NCBITaxon:5127,Fusarium fujikuroi,,,,,False
DRUGBANK:DB15512,Mucor circinelloides f. circinelloides,UNII:48Z8OUT98B,MUCOR CIRCINELLOIDES F. CIRCINELLOIDES,NCBITaxon:70416,,,,,,False
DRUGBANK:DB15521,Cyd dengue virus serotype 1 live (attenuated) antigen,UNII:75KB2HPX5H,DENGUE-YELLOW FEVER CHIMERIC VIRUS SEROTYPE 1 LIVE (ATTENUATED) ANTIGEN,NCBITaxon:11089,Yellow fever virus,,,,,False
DRUGBANK:DB15522,Cyd dengue virus serotype 2 live (attenuated) antigen,UNII:FH5SVG7GLC,DENGUE-YELLOW FEVER CHIMERIC VIRUS SEROTYPE 2 LIVE (ATTENUATED) ANTIGEN,NCBITaxon:11089,Yellow fever virus,,,,,False
DRUGBANK:DB15523,Cyd dengue virus serotype 3 live (attenuated) antigen,UNII:RHT2Q37FYG,DENGUE-YELLOW FEVER CHIMERIC VIRUS SEROTYPE 3 LIVE (ATTENUATED) ANTIGEN,NCBITaxon:11089,Yellow fever virus,,,,,False
DRUGBANK:DB15524,Cyd dengue virus serotype 4 live (attenuated) antigen,UNII:RS26HP5ND2,DENGUE-YELLOW FEVER CHIMERIC VIRUS SEROTYPE 4 LIVE (ATTENUATED) ANTIGEN,NCBITaxon:11089,Yellow fever virus,,,,,False
DRUGBANK:DB15525,Mucor circinelloides f. lusitanicus,UNII:0J0X819B3C,MUCOR CIRCINELLOIDES F. LUSITANICUS,NCBITaxon:29924,Mucor lusitanicus,,,,,False
DRUGBANK:DB15526,Eurotium amstelodami,UNII:D932NLL87Z,EUROTIUM AMSTELODAMI,NCBITaxon:5054,Aspergillus amstelodami,,,,,False
DRUGBANK:DB15538,Sea scallop,UNII:BY65V9YV1I,SEA SCALLOP,NCBITaxon:6577,Placopecten magellanicus (sea scallop),,,,,False
DRUGBANK:DB15539,Northern brown shrimp,UNII:TJH4LL437H,NORTHERN BROWN SHRIMP,NCBITaxon:6690,Penaeus aztecus (brown shrimp),,,,,False
DRUGBANK:DB15540,Rainbow trout,UNII:P4M52SZ8L6,RAINBOW TROUT,NCBITaxon:8022,Oncorhynchus mykiss (rainbow trout),,,,,False
DRUGBANK:DB15541,Yellowfin tuna,UNII:12ZC3K09X7,YELLOWFIN TUNA,NCBITaxon:8236,Thunnus albacares (yellowfin tuna),,,,,False
DRUGBANK:DB15542,Atlantic mackerel,UNII:HO615U86UJ,ATLANTIC MACKEREL,NCBITaxon:13677,Scomber scombrus (Atlantic mackerel),,,,,True
DRUGBANK:DB15543,Pacific ocean perch,UNII:81369ZC3RW,PACIFIC OCEAN PERCH,NCBITaxon:72055,Sebastes alutus (Pacific ocean perch),,,,,False
DRUGBANK:DB15546,Skim milk,UNII:6A001Y4M5A,SKIM MILK,NCBITaxon:9913,Bos taurus (domestic cattle),,,,,False
DRUGBANK:DB15547,Black sea bass,UNII:0YJW8KYT51,BLACK SEA BASS,NCBITaxon:184440,Centropristis striata (black sea bass),,,,,False
DRUGBANK:DB15548,Channel catfish,UNII:FIX499R7DR,CHANNEL CATFISH,NCBITaxon:7998,Ictalurus punctatus (channel catfish),,,,,False
DRUGBANK:DB15549,Atlantic halibut,UNII:7E34E106BO,ATLANTIC HALIBUT,NCBITaxon:8267,Hippoglossus hippoglossus (Atlantic halibut),,,,,False
DRUGBANK:DB15572,Exagamglogene autotemcel,UNII:S53L777GM8,EXAGAMGLOGENE AUTOTEMCEL,NCBITaxon:9606,Homo sapiens (human),NCIT:C169042,Exagamglogene Autotemcel,NCIT:C119988 (Genetically Engineered Hematopoietic Stem Progenitor Cells)|NCIT:C203001 (Therapeutic Autologous Hematopoietic Stem Cells),T025=Cell|T121=Pharmacologic Substance,False
DRUGBANK:DB15605,Field mushroom,UNII:19988ORO24,FIELD MUSHROOM,NCBITaxon:56157,Agaricus campestris,,,,,False
DRUGBANK:DB15667,Bacillus amyloliquefaciens,UNII:1M5Y26M37U,BACILLUS AMYLOLIQUEFACIENS,NCBITaxon:1390,Bacillus amyloliquefaciens,,,,,False
DRUGBANK:DB15680,Neisseria meningitidis group A capsular polysaccharide tetanus toxoid conjugate antigen,UNII:T4GYX3110D,NEISSERIA MENINGITIDIS GROUP A CAPSULAR POLYSACCHARIDE TETANUS TOXOID CONJUGATE ANTIGEN,NCBITaxon:65699,Neisseria meningitidis serogroup A,,,,,False
DRUGBANK:DB15682,Neisseria meningitidis group Y capsular polysaccharide tetanus toxoid conjugate antigen,UNII:4WAN8PQK15,NEISSERIA MENINGITIDIS GROUP Y CAPSULAR POLYSACCHARIDE TETANUS TOXOID CONJUGATE ANTIGEN,NCBITaxon:487,Neisseria meningitidis,,,,,False
DRUGBANK:DB15683,Neisseria meningitidis group W-135 capsular polysaccharide tetanus toxoid conjugate antigen,UNII:L77OK410KW,NEISSERIA MENINGITIDIS GROUP W-135 CAPSULAR POLYSACCHARIDE TETANUS TOXOID CONJUGATE ANTIGEN,NCBITaxon:487,Neisseria meningitidis,,,,,False
DRUGBANK:DB15692,COVID-19 convalescent plasma,UNII:YM6LN8TU2V,COVID-19 CONVALESCENT PLASMA,NCBITaxon:9606,Homo sapiens (human),,,,,False
DRUGBANK:DB15699,Brexucabtagene autoleucel,UNII:4MD2J2T8SJ,BREXUCABTAGENE AUTOLEUCEL,NCBITaxon:9606,Homo sapiens (human),NCIT:C170439,Brexucabtagene Autoleucel,NCIT:C176018 (Anti-CD19 CAR T Cells Preparation)|NCIT:C200766 (Autologous CAR-T Cells),T025=Cell,False
DRUGBANK:DB15721,Natural Killer Cell,UNII:IZR558KO53,TROCULEUCEL,NCBITaxon:9606,Homo sapiens (human),NCIT:C178330,Autologous Natural Killer Cells SNK01,NCIT:C201545 (Therapeutic Natural Killer Cells Preparation)|NCIT:C28681 (Therapeutic Autologous Lymphocytes),T025=Cell,False
DRUGBANK:DB15729,Adipose-Derived Mesenchymal Stem Cells: Autologous or Allogeneic Origins,UNII:3ME9TTI5QB,RILDINADSTROCEL,NCBITaxon:9606,Homo sapiens (human),NCIT:C190749,Rildinadstrocel,NCIT:C201556 (Therapeutic Mesenchymal Stem Cells),T025=Cell,False
DRUGBANK:DB15742,MultiStem,UNII:WNR9FH307P,MULTIPOTENT ADULT PROGENITOR CELLS (BONE MARROW DERIVED),NCBITaxon:9606,Homo sapiens (human),NCIT:C77874,Allogeneic Multipotent Adult Progenitor Cells,NCIT:C62712 (Non-Tumor Cell Derivative Vaccine),T025=Cell,False
DRUGBANK:DB15744,Allogeneic Cardiosphere-Derived Cells,UNII:ZM7OCV7H6H,DERAMIOCEL,NCBITaxon:9606,Homo sapiens (human),NCIT:C220985,Deramiocel,NCIT:C142078 (Adoptive Cell Therapy Agent),T121=Pharmacologic Substance,False
DRUGBANK:DB15823,Lactobacillus acidophilus,UNII:1PRR1V42V5,LACTOBACILLUS ACIDOPHILUS,NCBITaxon:1579,Lactobacillus acidophilus,NCIT:C79797,Probiotic Acidophilus,NCIT:C93144 (Probiotic),T007=Bacterium,False
DRUGBANK:DB15840,Pine tar,UNII:YFH4WC535J,PINE TAR,NCBITaxon:3337,Pinus,,,,,False
DRUGBANK:DB15850,IMM-101,UNII:IZT740JY57,IMM-101,NCBITaxon:1807,Mycolicibacterium obuense,NCIT:C173535,Heat-treated bacterium Mycobacterium obuense IMM-101,NCIT:C200760 (Oncolytic Bacterium),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB15857,Janssen COVID-19 Vaccine,UNII:JT2NS6183B,AD26.COV2.S,NCBITaxon:28278,Human adenovirus 19,NCIT:C176055,COVID-19 Vaccine Ad26.COV2.S,NCIT:C173023 (COVID-19 Vaccine),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB15866,CK0802,UNII:H7DFT9JF6M,CK-0802,NCBITaxon:9606,Homo sapiens (human),NCIT:C158084,Umbilical Cord Blood-derived CD4+/CD25+ T-regulatory Cells CK0801,NCIT:C28676 (Therapeutic Allogeneic Lymphocytes),T025=Cell,False
DRUGBANK:DB15869,Platelet Lysate,UNII:A2WX2UCW6F,HUMAN PLATELET LYSATE,NCBITaxon:9606,Homo sapiens (human),,,,,False
DRUGBANK:DB15871,Human Amniotic Fluid,UNII:6SQ06FQ2GH,AMNIOTIC FLUID (HUMAN),NCBITaxon:9606,Homo sapiens (human),,,,,False
DRUGBANK:DB15879,Polygeline,UNII:CEI2QJ2WAR,POLYGELINE,NCBITaxon:9913,Bos taurus (domestic cattle),NCIT:C174655,Polygeline,NCIT:C314 (Blood Substitute),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance",False
