drugbank_curie,label,unii,unii_preferred_name,ncbitaxon,ncbitaxon_label,unii_ncit,unii_ncit_label,unii_ncit_parents,unii_ncit_semantic_types,has_extract_marker
DRUGBANK:DB10769,Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated),UNII:DZ854I04ZE,JAPANESE ENCEPHALITIS VIRUS STRAIN SA 14-14-2 ANTIGEN (FORMALDEHYDE INACTIVATED),NCBITaxon:11072,Japanese encephalitis virus,NCIT:C75796,Japanese Encephalitis Virus Strain SA 14-14-2 Antigen (Formaldehyde Inactivated),NCIT:C268 (Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10770,Foreskin fibroblast (neonatal),UNII:T34C307W5N,FORESKIN FIBROBLAST (NEONATAL),NCBITaxon:9606,Homo sapiens (human),,,,,False
DRUGBANK:DB10772,Foreskin keratinocyte (neonatal),UNII:ZJO8CP3Q2A,FORESKIN KERATINOCYTE (NEONATAL),NCBITaxon:9606,Homo sapiens (human),,,,,False
DRUGBANK:DB10787,Bordetella pertussis toxoid antigen (glutaraldehyde inactivated),UNII:F4TN0IPY37,BORDETELLA PERTUSSIS TOXOID ANTIGEN (GLUTARALDEHYDE INACTIVATED),NCBITaxon:520,Bordetella pertussis,NCIT:C77701,Bordetella pertussis Toxoid Antigen (Glutaraldehyde Inactivated),NCIT:C75948 (Bordetella Pertussis Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10790,Bordetella pertussis fimbriae 2/3 antigen,UNII:1O0600285A,BORDETELLA PERTUSSIS FIMBRIAE 2/3 ANTIGEN,NCBITaxon:520,Bordetella pertussis,NCIT:C77698,Bordetella pertussis Fimbriae 2/3 Antigen,NCIT:C75948 (Bordetella Pertussis Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10795,Poliovirus type 1 antigen (formaldehyde inactivated),UNII:0LVY784C09,POLIOVIRUS TYPE 1 ANTIGEN (FORMALDEHYDE INACTIVATED),NCBITaxon:12080,Poliovirus 1,NCIT:C80616,Poliovirus Type 1 Antigen (Formaldehyde Inactivated),NCIT:C75716 (Poliovirus Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10796,Poliovirus type 2 antigen (formaldehyde inactivated),UNII:23JE9KDF4R,POLIOVIRUS TYPE 2 ANTIGEN (FORMALDEHYDE INACTIVATED),NCBITaxon:12083,Poliovirus 2,NCIT:C80617,Poliovirus Type 2 Antigen (Formaldehyde Inactivated),NCIT:C75716 (Poliovirus Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10797,Poliovirus type 3 antigen (formaldehyde inactivated),UNII:459ROM8M9M,POLIOVIRUS TYPE 3 ANTIGEN (FORMALDEHYDE INACTIVATED),NCBITaxon:12086,Poliovirus 3,NCIT:C80618,Poliovirus Type 3 Antigen (Formaldehyde Inactivated),NCIT:C75716 (Poliovirus Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB10798,Neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen,UNII:RE9A0H8OAB,NEISSERIA MENINGITIDIS GROUP A CAPSULAR POLYSACCHARIDE DIPHTHERIA TOXOID CONJUGATE ANTIGEN,NCBITaxon:65699,Neisseria meningitidis serogroup A,NCIT:C77757,Neisseria meningitidis Group A Capsular Polysaccharide Diphtheria Toxoid Conjugate Antigen,NCIT:C75802 (Neisseria meningitidis Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10800,Neisseria meningitidis group y capsular polysaccharide diphtheria toxoid conjugate antigen,UNII:MI340WV90B,NEISSERIA MENINGITIDIS GROUP Y CAPSULAR POLYSACCHARIDE DIPHTHERIA TOXOID CONJUGATE ANTIGEN,NCBITaxon:487,Neisseria meningitidis,NCIT:C77763,Neisseria meningitidis Group Y Capsular Polysaccharide Diphtheria Toxoid Conjugate Antigen,NCIT:C75802 (Neisseria meningitidis Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10801,Neisseria meningitidis group w-135 capsular polysaccharide diphtheria toxoid conjugate antigen,UNII:Z6R9D1D3KJ,NEISSERIA MENINGITIDIS GROUP W-135 CAPSULAR POLYSACCHARIDE DIPHTHERIA TOXOID CONJUGATE ANTIGEN,NCBITaxon:487,Neisseria meningitidis,NCIT:C77761,Neisseria meningitidis Group W-135 Capsular Polysaccharide Diphtheria Toxoid Conjugate Antigen,NCIT:C75802 (Neisseria meningitidis Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10804,Bacillus calmette-guerin substrain connaught live antigen,UNII:5H5854UBMZ,BACILLUS CALMETTE-GUERIN SUBSTRAIN CONNAUGHT LIVE ANTIGEN,NCBITaxon:33892,Mycobacterium tuberculosis variant bovis BCG,NCIT:C77694,Bacillus Calmette-Guerin Substrain Connaught Live Antigen,NCIT:C77178 (Bacillus Calmette-Guerin Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10805,Yellow fever vaccine,UNII:PY4EET359T,YELLOW FEVER VIRUS STRAIN 17D-204 LIVE ANTIGEN,NCBITaxon:11089,Yellow fever virus,NCIT:C77800,Yellow Fever Virus Strain 17D-204 Live Antigen,NCIT:C75857 (Yellow Fever Virus Antigen),"T109=Organic Chemical|T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10806,Fusarium oxysporum,UNII:5398RXP8KU,FUSARIUM OXYSPORUM,NCBITaxon:5507,Fusarium oxysporum,,,,,False
DRUGBANK:DB10807,Candida tropicalis,UNII:Q222J2186W,CANDIDA TROPICALIS,NCBITaxon:5482,Candida tropicalis,NCIT:C77177,Candida tropicalis,NCIT:C77163 (Candida),T004=Fungus,False
DRUGBANK:DB10808,Mucor racemosus,UNII:17RH99LQ7G,MUCOR RACEMOSUS,NCBITaxon:4841,Mucor racemosus,,,,,True
DRUGBANK:DB10809,Penicillium camemberti,UNII:T069R9OPVG,PENICILLIUM CAMEMBERTI,NCBITaxon:5075,Penicillium camemberti,,,,,False
DRUGBANK:DB10810,Penicillium expansum,UNII:1XSC3BB35Z,PENICILLIUM EXPANSUM,NCBITaxon:27334,Penicillium expansum,,,,,False
DRUGBANK:DB10811,Penicillium italicum,UNII:AZJ5XKM7W3,PENICILLIUM ITALICUM,NCBITaxon:40296,Penicillium italicum,,,,,False
DRUGBANK:DB10812,Penicillium roqueforti,UNII:7ORP6R724L,PENICILLIUM ROQUEFORTI,NCBITaxon:5082,Penicillium roqueforti,,,,,True
DRUGBANK:DB10813,Phoma destructiva,UNII:A17SE577FM,PHOMA DESTRUCTIVA,NCBITaxon:134531,Remotididymella destructiva,,,,,False
DRUGBANK:DB10814,Rhizopus stolonifer,UNII:FEE198DK4Q,RHIZOPUS STOLONIFER,NCBITaxon:4846,Rhizopus stolonifer,,,,,False
DRUGBANK:DB10817,Passalora fulva,UNII:HR6H5057CO,PASSALORA FULVA,NCBITaxon:5499,Fulvia fulva,,,,,False
DRUGBANK:DB10818,Cochliobolus spicifer,UNII:91M9RWP3TD,COCHLIOBOLUS SPICIFER,NCBITaxon:145392,Curvularia spicifera,,,,,False
DRUGBANK:DB10819,Myrothecium verrucaria,UNII:8Z8C642TPL,GLIOCLADIUM VIRIDE,NCBITaxon:73577,Gliocladium viride,,,,,True
DRUGBANK:DB10820,Hypomyces perniciosus,UNII:6K41G30A6U,HYPOMYCES PERNICIOSUS,NCBITaxon:494059,Mycogone perniciosa,,,,,False
DRUGBANK:DB10821,Neurospora crassa,UNII:1X92VM01YP,NEUROSPORA CRASSA,NCBITaxon:5141,Neurospora crassa,,,,,False
DRUGBANK:DB10822,Paecilomyces variotii,UNII:KO7V58BY40,PAECILOMYCES VARIOTII,NCBITaxon:264951,Paecilomyces variotii,,,,,False
DRUGBANK:DB10823,Microascus brevicaulis,UNII:DHI513VXU7,MICROASCUS BREVICAULIS,NCBITaxon:561152,Scopulariopsis brevicaulis (arsenic fungus),,,,,False
DRUGBANK:DB10824,Colletotrichum coccodes,UNII:Y0M7LGE3Z8,COLLETOTRICHUM COCCODES,NCBITaxon:27358,Colletotrichum coccodes,,,,,False
DRUGBANK:DB10825,Pleospora herbarum,UNII:0N3Z1P4B2W,PLEOSPORA HERBARUM,NCBITaxon:33177,,,,,,False
DRUGBANK:DB10826,Streptomyces griseus,UNII:G0O5980Z7W,STREPTOMYCES GRISEUS,NCBITaxon:1911,Streptomyces griseus,NCIT:C86813,Streptomyces griseus,NCIT:C14278 (Streptomyces),T007=Bacterium,False
DRUGBANK:DB10827,Trichoderma viride,UNII:T8678F0P0Q,TRICHODERMA VIRIDE,NCBITaxon:5547,Trichoderma viride,,,,,False
DRUGBANK:DB10828,Trichophyton schoenleinii,UNII:Z4MD1809H1,TRICHOPHYTON SCHOENLEINII,NCBITaxon:34386,Trichophyton schoenleinii,,,,,False
DRUGBANK:DB10834,Ustilago cynodontis,UNII:0V3J4YEX2W,USTILAGO CYNODONTIS,NCBITaxon:63396,Ustilago cynodontis,NCIT:C87522,Ustilago cynodontis,NCIT:C125979 (Ustilago),T004=Fungus,True
DRUGBANK:DB10835,Ustilago nuda hordei,UNII:9Y53ZS6I82,USTILAGO NUDA,NCBITaxon:86802,Ustilago nuda,NCIT:C87524,Ustilago nuda hordei,NCIT:C125979 (Ustilago),T121=Pharmacologic Substance|T129=Immunologic Factor,True
DRUGBANK:DB10839,Mycocladus corymbiferus,UNII:1M4E76V32I,LICHTHEIMIA CORYMBIFERA,NCBITaxon:42458,Lichtheimia corymbifera,,,,,False
DRUGBANK:DB10841,Humicola grisea,UNII:RZ55S3AQOJ,HUMICOLA GRISEA,NCBITaxon:5527,,,,,,False
DRUGBANK:DB10842,Microsporum audouinii,UNII:B7B86Y84R8,MICROSPORUM AUDOUINII,NCBITaxon:34393,Microsporum audouinii,,,,,False
DRUGBANK:DB10843,Microsporum canis,UNII:N4F4RQ7BY7,MICROSPORUM CANIS,NCBITaxon:82078,,,,,,False
DRUGBANK:DB10844,Apiospora montagnei,UNII:49VI1ZSO06,APIOSPORA MONTAGNEI,NCBITaxon:255776,Apiospora montagnei,,,,,False
DRUGBANK:DB10845,Phycomyces blakesleeanus,UNII:41Y752Y34M,PHYCOMYCES BLAKESLEEANUS,NCBITaxon:4837,Phycomyces blakesleeanus,,,,,True
DRUGBANK:DB10846,Sporotrichum pruinosum,UNII:H20KU95UBG,PHANERODONTIA CHRYSOSPORIUM,NCBITaxon:5306,,NCIT:C87519,Sporotrichum pruinosum,NCIT:C77169 (Basidiomycota),T004=Fungus,True
DRUGBANK:DB10847,Stachybotrys chartarum,UNII:HJ4L70T1ZP,STACHYBOTRYS CHARTARUM,NCBITaxon:74722,Stachybotrys chartarum,,,,,False
DRUGBANK:DB10848,Syncephalastrum racemosum,UNII:2VWV12V9WR,SYNCEPHALASTRUM RACEMOSUM,NCBITaxon:13706,Syncephalastrum racemosum,,,,,False
DRUGBANK:DB10850,Verticillium albo-atrum,UNII:X92O101CS2,VERTICILLIUM ALBO-ATRUM,NCBITaxon:27335,Verticillium albo-atrum,,,,,False
DRUGBANK:DB10851,White catfish,UNII:UVP9UR815M,WHITE CATFISH,NCBITaxon:66911,Ameiurus catus (white catfish),,,,,False
DRUGBANK:DB10855,Opilio crab,UNII:PQD7ZSO3DU,OPILIO CRAB,NCBITaxon:41210,Chionoecetes opilio (snow crab),,,,,False
DRUGBANK:DB10856,Bos taurus hair,UNII:TOQ97Z8644,BOS TAURUS HAIR,NCBITaxon:9913,Bos taurus (domestic cattle),,,,,False
DRUGBANK:DB10857,Serinus canaria feather,UNII:9EL3384IQY,SERINUS CANARIA FEATHER,NCBITaxon:9135,Serinus canaria (Common canary),,,,,True
DRUGBANK:DB10861,Atlantic cod,UNII:RPX7J99EXW,ATLANTIC COD,NCBITaxon:8049,Gadus morhua (Atlantic cod),,,,,False
DRUGBANK:DB10865,Cladosporium herbarum,UNII:O64JF11198,CLADOSPORIUM HERBARUM,NCBITaxon:29918,Cladosporium herbarum,,,,,False
DRUGBANK:DB10866,Acheta domesticus,UNII:P9S201X6LH,ACHETA DOMESTICUS,NCBITaxon:6997,Acheta domesticus (house cricket),,,,,True
DRUGBANK:DB10867,Canis lupus familiaris hair,UNII:05S7L91ZTR,CANIS LUPUS FAMILIARIS HAIR,NCBITaxon:9615,Canis lupus familiaris (dog),,,,,True
DRUGBANK:DB10868,Odocoileus virginianus hair,UNII:C27W02JU62,ODOCOILEUS VIRGINIANUS HAIR,NCBITaxon:9874,Odocoileus virginianus (white-tailed deer),,,,,True
DRUGBANK:DB10870,Epidermophyton floccosum,UNII:6JR6JTN25S,EPIDERMOPHYTON FLOCCOSUM,NCBITaxon:34391,Epidermophyton floccosum,,,,,False
DRUGBANK:DB10873,Sporisorium cruentum,UNII:GQM6LVU5V8,SPORISORIUM CRUENTUM,NCBITaxon:185361,Sporisorium cruentum,NCIT:C87518,Sporisorium cruentum,NCIT:C77169 (Basidiomycota),T004=Fungus,True
DRUGBANK:DB10874,Goose,UNII:83DC4O5TD3,GOOSE,NCBITaxon:8843,Anser anser (Domestic goose),,,,,False
DRUGBANK:DB10876,Capra hircus hair,UNII:16M9MK8C4W,CAPRA HIRCUS HAIR,NCBITaxon:9925,Capra hircus (goat),,,,,True
DRUGBANK:DB10877,Cavia porcellus hair,UNII:KBA5Y6X57N,CAVIA PORCELLUS HAIR,NCBITaxon:10141,Cavia porcellus (domestic guinea pig),,,,,False
DRUGBANK:DB10880,Equus caballus hair,UNII:4F35XG0149,EQUUS CABALLUS HAIR,NCBITaxon:9796,Equus caballus (horse),,,,,True
DRUGBANK:DB10881,Sus scrofa hair,UNII:7Q7T9Z7QUW,SUS SCROFA HAIR,NCBITaxon:9823,Sus scrofa (pig),,,,,False
DRUGBANK:DB10893,Melopsittacus undulatus feather,UNII:1XY644QKWG,MELOPSITTACUS UNDULATUS FEATHER,NCBITaxon:13146,Melopsittacus undulatus (budgerigar),,,,,True
DRUGBANK:DB10898,Oryctolagus cuniculus hair,UNII:09N62XQ70Y,ORYCTOLAGUS CUNICULUS HAIR,NCBITaxon:9986,Oryctolagus cuniculus (rabbit),,,,,True
DRUGBANK:DB10903,Sitotroga cerealella,UNII:9T28I7BPNO,SITOTROGA CEREALELLA,NCBITaxon:347735,Sitotroga cerealella,,,,,True
DRUGBANK:DB10904,English sole,UNII:00CR8124AS,ENGLISH SOLE,NCBITaxon:172659,Parophrys vetulus (English sole),,,,,False
DRUGBANK:DB10908,Platanus hybrida pollen,UNII:77X11O684J,PLATANUS X ACERIFOLIA POLLEN,NCBITaxon:140101,Platanus x hispanica (London plane tree),NCIT:C85316,Platanus X Acerifolia Pollen,NCIT:C79660 (Pollen),T121=Pharmacologic Substance|T129=Immunologic Factor,True
DRUGBANK:DB10915,Trichophyton rubrum,UNII:2ZAU32517N,TRICHOPHYTON RUBRUM,NCBITaxon:5551,Trichophyton rubrum,,,,,False
DRUGBANK:DB10933,Cochliobolus lunatus,UNII:4T82EA86AJ,COCHLIOBOLUS LUNATUS,NCBITaxon:5503,Curvularia lunata,,,,,True
DRUGBANK:DB10934,Haematonectria haematococca,UNII:7TLR512M4A,HAEMATONECTRIA HAEMATOCOCCA,NCBITaxon:140110,,,,,,True
DRUGBANK:DB10935,Chrysonilia sitophila,UNII:296FK85FY6,CHRYSONILIA SITOPHILA,NCBITaxon:40126,Neurospora sitophila,,,,,True
DRUGBANK:DB10937,Puccinia striiformis var. striiformis,UNII:9NLW29GJAX,PUCCINIA STRIIFORMIS,NCBITaxon:27350,Puccinia striiformis,NCIT:C87515,Puccinia striiformis var. striiformis,NCIT:C77169 (Basidiomycota),T004=Fungus,True
DRUGBANK:DB10939,Pleospora tarda,UNII:TPL549N9R8,PLEOSPORA TARDA,NCBITaxon:120510,Stemphylium botryosum,,,,,False
DRUGBANK:DB10955,Apis mellifera venom,UNII:76013O881M,APIS MELLIFERA VENOM,NCBITaxon:7460,Apis mellifera (honey bee),,,,,False
DRUGBANK:DB10956,Vespula maculifrons venom protein,UNII:V34908RT03,VESPULA MACULIFRONS VENOM PROTEIN,NCBITaxon:7453,Vespula maculifrons (eastern yellowjacket),,,,,False
DRUGBANK:DB10957,Dolichovespula arenaria venom protein,UNII:7PI26E943G,DOLICHOVESPULA ARENARIA VENOM PROTEIN,NCBITaxon:7442,Dolichovespula arenaria,,,,,True
DRUGBANK:DB10958,Dolichovespula maculata venom protein,UNII:J8DAZ3T66L,DOLICHOVESPULA MACULATA VENOM PROTEIN,NCBITaxon:7441,Dolichovespula maculata (bald-faced hornet),,,,,False
DRUGBANK:DB10959,Polistes fuscatus venom protein,UNII:AKT0E6058K,POLISTES FUSCATUS VENOM PROTEIN,NCBITaxon:30207,Polistes fuscatus (common paper wasp),,,,,False
DRUGBANK:DB10966,Sorghum bicolor subsp. drummondii pollen,UNII:B43R30VP73,SORGHUM X DRUMMONDII POLLEN,NCBITaxon:171959,Sorghum x drummondii (Sudan grass),,,,,True
DRUGBANK:DB10969,Neurospora sitophila,UNII:I9D9Z5GCW5,NEUROSPORA SITOPHILA,NCBITaxon:40126,Neurospora sitophila,,,,,False
DRUGBANK:DB10970,Trichophyton tonsurans,UNII:JY1BE33I3Y,TRICHOPHYTON TONSURANS,NCBITaxon:34387,Trichophyton tonsurans,,,,,False
DRUGBANK:DB10973,Thermomyces lanuginosus,UNII:YI3WT83KTW,THERMOMYCES LANUGINOSUS,NCBITaxon:5541,Thermomyces lanuginosus,,,,,False
DRUGBANK:DB10974,Trichosporon cutaneum,UNII:5EUI19VT92,TRICHOSPORON CUTANEUM,NCBITaxon:5554,Cutaneotrichosporon cutaneum,,,,,False
DRUGBANK:DB10976,Largemouth bass,UNII:XC209ITL3J,LARGEMOUTH BASS,NCBITaxon:27706,Micropterus salmoides (largemouth bass),,,,,False
DRUGBANK:DB10979,Blue crab,UNII:8J18RFO4A8,BLUE CRAB,NCBITaxon:6763,Callinectes sapidus (blue crab),,,,,False
DRUGBANK:DB10991,"Bordetella pertussis toxoid antigen (formaldehyde, glutaraldehyde inactivated)",UNII:QSN5XO8ZSU,"BORDETELLA PERTUSSIS TOXOID ANTIGEN (FORMALDEHYDE, GLUTARALDEHYDE INACTIVATED)",NCBITaxon:520,Bordetella pertussis,NCIT:C77702,"Bordetella pertussis Toxoid Antigen (Formaldehyde, Glutaraldehyde Inactivated)",NCIT:C75948 (Bordetella Pertussis Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10992,Bordetella pertussis pertactin antigen (formaldehyde inactivated),UNII:I05O535NV6,BORDETELLA PERTUSSIS PERTACTIN ANTIGEN (FORMALDEHYDE INACTIVATED),NCBITaxon:520,Bordetella pertussis,NCIT:C77700,Bordetella pertussis Pertactin Antigen (Formaldehyde Inactivated),NCIT:C75948 (Bordetella Pertussis Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10997,Autologous cultured chondrocytes,UNII:D5P3K3V822,AUTOLOGOUS CULTURED CHONDROCYTES,NCBITaxon:9606,Homo sapiens (human),NCIT:C87436,Autologous Cultured Chondrocytes,NCIT:C62712 (Non-Tumor Cell Derivative Vaccine),T025=Cell|T121=Pharmacologic Substance,False
DRUGBANK:DB11018,Canis lupus familiaris dander,UNII:11JCK302I4,CANIS LUPUS FAMILIARIS DANDER,NCBITaxon:9615,Canis lupus familiaris (dog),,,,,False
DRUGBANK:DB11019,Cavia porcellus dander,UNII:84Q71TU5SU,CAVIA PORCELLUS DANDER,NCBITaxon:10141,Cavia porcellus (domestic guinea pig),,,,,False
DRUGBANK:DB11020,Bos taurus dander,UNII:C8VYS726O8,BOS TAURUS DANDER,NCBITaxon:9913,Bos taurus (domestic cattle),,,,,False
DRUGBANK:DB11021,Equus caballus dander,UNII:J81SZ18495,EQUUS CABALLUS DANDER,NCBITaxon:9796,Equus caballus (horse),,,,,False
DRUGBANK:DB11022,Aspergillus nidulans,UNII:242A53RB80,ASPERGILLUS NIDULANS,NCBITaxon:162425,Aspergillus nidulans,,,,,False
DRUGBANK:DB11023,Penicillium digitatum,UNII:1SB49SV239,PENICILLIUM DIGITATUM,NCBITaxon:36651,Penicillium digitatum,,,,,False
DRUGBANK:DB11025,Dendryphiella vinosa,UNII:7S6NW5FH8X,DENDRYPHIELLA VINOSA,NCBITaxon:361444,Dendryphiella vinosa,,,,,False
DRUGBANK:DB11026,Solenopsis richteri,UNII:739684T11W,SOLENOPSIS RICHTERI,NCBITaxon:30203,Solenopsis richteri (black fire ant),,,,,True
DRUGBANK:DB11027,Polistes annularis venom protein,UNII:987GS3GJZX,POLISTES ANNULARIS VENOM PROTEIN,NCBITaxon:27505,Polistes annularis,,,,,False
DRUGBANK:DB11028,Polistes exclamans venom protein,UNII:L0L5D5D9BQ,POLISTES EXCLAMANS VENOM PROTEIN,NCBITaxon:27506,Polistes exclamans (Guinea paper wasp),,,,,False
DRUGBANK:DB11029,Polistes metricus venom protein,UNII:ZN217W5Y50,POLISTES METRICUS VENOM PROTEIN,NCBITaxon:91422,Polistes metricus,,,,,False
DRUGBANK:DB11030,Vespula germanica venom protein,UNII:8SH7583MUK,VESPULA GERMANICA VENOM PROTEIN,NCBITaxon:30212,Vespula germanica,,,,,False
DRUGBANK:DB11031,Vespula pensylvanica venom protein,UNII:Q79PS8P34R,VESPULA PENSYLVANICA VENOM PROTEIN,NCBITaxon:30213,Vespula pensylvanica (western yellowjacket),,,,,False
DRUGBANK:DB11032,Vespula squamosa venom protein,UNII:D7974DM2EJ,VESPULA SQUAMOSA VENOM PROTEIN,NCBITaxon:30214,Vespula squamosa,,,,,False
DRUGBANK:DB11033,Vespula vulgaris venom protein,UNII:S125N1F5X5,VESPULA VULGARIS VENOM PROTEIN,NCBITaxon:7454,Vespula vulgaris,,,,,False
DRUGBANK:DB11050,Typhoid Vaccine Live,UNII:0MZI008M96,SALMONELLA TYPHI TY21A LIVE ANTIGEN,NCBITaxon:90370,Salmonella enterica subsp. enterica serovar Typhi,NCIT:C77766,Salmonella typhi Ty21a Live Antigen,NCIT:C75819 (Salmonella Typhi Antigen),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB11051,Azficel-T,UNII:022461SR75,AZFICEL-T,NCBITaxon:9606,Homo sapiens (human),NCIT:C142945,Azficel-T,NCIT:C208191 (Cell Therapy Agent),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance",False
DRUGBANK:DB11054,Human cord blood hematopoietic progenitor cell,UNII:XU53VK93MC,HUMAN CORD BLOOD HEMATOPOIETIC PROGENITOR CELL,NCBITaxon:9606,Homo sapiens (human),NCIT:C200602,Allogeneic Human Cord Blood-derived Hematopoietic Progenitor Cells,NCIT:C203000 (Therapeutic Allogeneic Hematopoietic Stem Cells),T025=Cell,False
DRUGBANK:DB11066,Pancrelipase protease,UNII:3560D81V50,PANCRELIPASE PROTEASE,NCBITaxon:9823,Sus scrofa (pig),NCIT:C84041,Pancrelipase Protease,NCIT:C29726 (Enzyme Replacement or Supplement Agent),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T126=Enzyme",False
DRUGBANK:DB11067,Heme iron polypeptide,UNII:31VDO12CJY,HEME IRON POLYPEPTIDE,NCBITaxon:9913,Bos taurus (domestic cattle),,,,,False
DRUGBANK:DB11112,Lanolin,UNII:7EV65EAW6H,LANOLIN,NCBITaxon:9940,Ovis aries (sheep),NCIT:C94238,Lanolin,NCIT:C106128 (Animal-based Natural Product),T109=Organic Chemical|T121=Pharmacologic Substance,False
DRUGBANK:DB11120,Turpentine,UNII:XJ6RUH0O4G,TURPENTINE,NCBITaxon:3337,Pinus,NCIT:C84233,Turpentine,NCIT:C45678 (Industrial Aid),"T109=Organic Chemical|T130=Indicator, Reagent, or Diagnostic Aid",False
DRUGBANK:DB11209,Iron protein succinylate,UNII:VBJ9L90P4L,IRON PROTEIN SUCCINYLATE,NCBITaxon:9913,Bos taurus (domestic cattle),,,,,False
DRUGBANK:DB11294,Coccidioides immitis spherule,UNII:ITY7G7Q744,COCCIDIOIDES IMMITIS SPHERULE,NCBITaxon:5501,Coccidioides immitis,,,,,False
DRUGBANK:DB11295,Trichophyton verrucosum,UNII:JA74887EHM,TRICHOPHYTON VERRUCOSUM,NCBITaxon:63417,Trichophyton verrucosum,,,,,False
DRUGBANK:DB11321,Cod liver oil,UNII:BBL281NWFG,COD LIVER OIL,NCBITaxon:8049,Gadus morhua (Atlantic cod),NCIT:C65348,Cod Liver Oil,NCIT:C497 (Fish Oil),T109=Organic Chemical|T121=Pharmacologic Substance|T168=Food,False
DRUGBANK:DB11347,Bacillus subtilis,UNII:8CF93KW41W,BACILLUS SUBTILIS,NCBITaxon:1423,Bacillus subtilis,NCIT:C86167,Bacillus subtilis,NCIT:C76202 (Bacillus),T007=Bacterium,False
DRUGBANK:DB11360,Lactobacillus plantarum,UNII:QFC21096ON,LACTIPLANTIBACILLUS PLANTARUM,NCBITaxon:1590,Lactiplantibacillus plantarum,,,,,False
DRUGBANK:DB11597,Human Rho(D) immune globulin,UNII:48W7181FLP,HUMAN RHO(D) IMMUNE GLOBULIN,NCBITaxon:9606,Homo sapiens (human),NCIT:C80832,Human Rho(D) Immune Globulin,NCIT:C2701 (Therapeutic Immune Globulin),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB11600,Beeswax,UNII:2ZA36H0S2V,YELLOW WAX,NCBITaxon:7460,Apis mellifera (honey bee),NCIT:C84241,Yellow Wax,NCIT:C106128 (Animal-based Natural Product),T122=Biomedical or Dental Material,False
DRUGBANK:DB11601,Tuberculin purified protein derivative,UNII:I7L8FKN87J,TUBERCULIN PURIFIED PROTEIN DERIVATIVE,NCBITaxon:1773,Mycobacterium tuberculosis,,,,,False
DRUGBANK:DB11603,"Rabies immune globulin, human",UNII:95F619ATQ2,HUMAN RABIES VIRUS IMMUNE GLOBULIN,NCBITaxon:9606,Homo sapiens (human),NCIT:C80831,Human Rabies Virus Immune Globulin,NCIT:C2701 (Therapeutic Immune Globulin),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB11604,"Tetanus immune globulin, human",UNII:V4SWI4RF4J,HUMAN CLOSTRIDIUM TETANI TOXOID IMMUNE GLOBULIN,NCBITaxon:9606,Homo sapiens (human),,,,,False
DRUGBANK:DB11621,Human varicella-zoster immune globulin,UNII:33T61IWL27,HUMAN VARICELLA-ZOSTER IMMUNE GLOBULIN,NCBITaxon:9606,Homo sapiens (human),NCIT:C123431,Human Varicella Zoster Immune Globulin,NCIT:C2701 (Therapeutic Immune Globulin),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
