target,target_prefix,doid_subject_count,doid_subjects
MESH:D003117,MESH,6,DOID:11661|DOID:13399|DOID:13909|DOID:13910|DOID:13911|DOID:13912
NCIT:C75000,NCIT,6,DOID:0090020|DOID:0090022|DOID:0090023|DOID:0090025|DOID:0090026|DOID:0090027
SNOMEDCT_US_2025_09_01:81208006,SNOMEDCT_US_2025_09_01,6,DOID:0090020|DOID:0090022|DOID:0090023|DOID:0090025|DOID:0090026|DOID:0090027
UMLS:C0265554,UMLS,6,DOID:0090020|DOID:0090022|DOID:0090023|DOID:0090025|DOID:0090026|DOID:0090027
ICD10:D69.1,ICD10,5,DOID:0111044|DOID:0111049|DOID:0111051|DOID:11125|DOID:2219
ICD10:D69.4,ICD10,5,DOID:0060651|DOID:0060691|DOID:0090102|DOID:0111048|DOID:8925
ICD10:D75.1,ICD10,5,DOID:0060474|DOID:2834|DOID:2838|DOID:2839|DOID:8432
ICD10:D84.8,ICD10,5,DOID:0090007|DOID:0090008|DOID:0090009|DOID:0090010|DOID:0090011
ICD10:E71.1,ICD10,5,DOID:0060740|DOID:0060741|DOID:0060742|DOID:0060743|DOID:0090126
ICD10:E83.1,ICD10,5,DOID:0111029|DOID:0111031|DOID:0111033|DOID:0111034|DOID:2351
ICD10:E83.5,ICD10,5,DOID:0060699|DOID:0060700|DOID:0060701|DOID:0060702|DOID:10575
ICD10:G12.2,ICD10,5,DOID:0060193|DOID:0060194|DOID:0060196|DOID:0111064|DOID:231
MESH:D000236,MESH,5,DOID:3172|DOID:5403|DOID:6203|DOID:6204|DOID:657
MESH:D006689,MESH,5,DOID:8543|DOID:8567|DOID:8628|DOID:8642|DOID:8654
MESH:D008527,MESH,5,DOID:0050902|DOID:3861|DOID:3864|DOID:3868|DOID:3869
MESH:D009084,MESH,5,DOID:0111393|DOID:0111394|DOID:0111395|DOID:0111402|DOID:12801
ORDO:169150,ORDO,5,DOID:0060299|DOID:0060301|DOID:0060302|DOID:0060303|DOID:8158
ORDO:2524,ORDO,5,DOID:0060267|DOID:0060268|DOID:0060269|DOID:0060270|DOID:0112328
ICD0:9385/3,ICD0,4,DOID:0080684|DOID:0080880|DOID:0081277|DOID:0081278
ICD0:9391/3,ICD0,4,DOID:0080889|DOID:0080890|DOID:5074|DOID:5503
ICD10:C92.0,ICD10,4,DOID:0081085|DOID:0081086|DOID:0081087|DOID:9119
ICD10:C96.4,ICD10,4,DOID:6262|DOID:7146|DOID:7848|DOID:7849
ICD10:D47.01,ICD10,4,DOID:12309|DOID:3663|DOID:3665|DOID:3666
ICD10:D47.09,ICD10,4,DOID:350|DOID:3664|DOID:4658|DOID:4659
ICD10:D47.9,ICD10,4,DOID:0060707|DOID:0060708|DOID:0110115|DOID:0110116
ICD10:D56.0,ICD10,4,DOID:0110029|DOID:0110030|DOID:0110031|DOID:1099
ICD10:D58.2,ICD10,4,DOID:2859|DOID:2860|DOID:5378|DOID:5379
ICD10:D68.59,ICD10,4,DOID:2451|DOID:2452|DOID:3755|DOID:3756
