drugbank_curie,label,unii,unii_ncit,organism_flags,current_ncit_retype
DRUGBANK:DB10415,Rabbit,UNII:O5V0F26RUW,NCIT:C14264,NCBI,
DRUGBANK:DB10416,Cavia porcellus skin,UNII:GM3H4U6QS8,,NCBI,
DRUGBANK:DB10417,Periplaneta americana,UNII:2RQ1L9N089,,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10418,Blatella germanica,UNII:G9O67I0A8Q,NCIT:C87504,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10419,Solenopsis invicta,UNII:5O7CR4P444,,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10420,Gallus gallus feather,UNII:1FCM16V0FV,,NCBI,
DRUGBANK:DB10421,Anas platyrhynchos feather,UNII:83B65P4796,,NCBI,
DRUGBANK:DB10422,Anser anser feather,UNII:15XI414745,,NCBI,
DRUGBANK:DB10424,Alternaria alternata,UNII:52B29REC7H,NCIT:C87529,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10425,Aspergillus fumigatus,UNII:X88DF51T48,NCIT:C77182,NCBI,
DRUGBANK:DB10426,Aspergillus niger var. niger,UNII:9IOA40ANG6,,NCBI,
DRUGBANK:DB10427,Aureobasidium pullulans var. pullutans,UNII:D1A2NG69CK,,NCBI,
DRUGBANK:DB10428,Botrytis cinerea,UNII:TBW53313S7,,NCBI,
DRUGBANK:DB10429,Candida albicans,UNII:4D7G21HDBC,NCIT:C77170,NCBI,
DRUGBANK:DB10430,Chaetomium globosum,UNII:5016WB8B8A,,NCBI,
DRUGBANK:DB10431,Cladosporium cladosporioides,UNII:4ZWY20GTGO,,NCBI,
DRUGBANK:DB10432,Cladosporium sphaerospermum,UNII:P87YCA1U8R,,NCBI,
DRUGBANK:DB10433,Cochliobolus sativus,UNII:3LN5B70U4W,,NCBI,
DRUGBANK:DB10434,Epicoccum nigrum,UNII:87U156LEN7,,NCBI,
DRUGBANK:DB10435,Fusarium oxysporum vasinfectum,UNII:6M98DC08TZ,,NCBI,
DRUGBANK:DB10436,Helminthosporium solani,UNII:U6Z259H815,,NCBI,
DRUGBANK:DB10437,Mucor plumbeus,UNII:D7401PWY6E,,NCBI,
DRUGBANK:DB10438,Neurospora intermedia,UNII:2072U60DUI,,NCBI,
DRUGBANK:DB10439,Penicillium chrysogenum var. chrysogenum,UNII:3Y1PE1GCIG,,NCBI,
DRUGBANK:DB10440,Phoma exigua var. exigua,UNII:8JAG41IE4M,,NCBI,
DRUGBANK:DB10441,Rhizopus arrhizus var. arrhizus,UNII:8476849N1Y,,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10442,Rhodotorula rubra,UNII:15W81V867R,NCIT:C87517,NCBI,
DRUGBANK:DB10443,Ustilago maydis,UNII:4K7Z7K7SWG,NCIT:C87523,NCBI,biolink:ComplexMolecularMixture
DRUGBANK:DB10444,Ustilago tritici,UNII:BV82OL2IZ8,NCIT:C87525,NCBI,
DRUGBANK:DB10445,Stemphylium solani,UNII:1IEK4UDP5M,,NCBI,
DRUGBANK:DB10446,Trichophyton mentagrophytes,UNII:199I7J3JIV,,NCBI,
DRUGBANK:DB10447,Saccharomyces cerevisiae,UNII:978D8U419H,NCIT:C14271,NCBI,
DRUGBANK:DB10448,Aspergillus oryzae,UNII:Q6Z8UK5R3G,NCIT:C87507,NCBI,
DRUGBANK:DB10449,Aspergillus repens,UNII:SQ89E6LOME,NCIT:C87509,NCBI,
DRUGBANK:DB10450,Aspergillus terreus,UNII:QBN8K7055X,NCIT:C87511,NCBI,
DRUGBANK:DB10451,Acacia,UNII:5C5403N26O,NCIT:C80123,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10452,Ailanthus altissima pollen,UNII:2A64U81OQ3,NCIT:C85091,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10453,Alnus incana subsp. rugosa pollen,UNII:605T96G8Y5,,NCBI|PLANTS,
DRUGBANK:DB10454,Medicago sativa pollen,UNII:G515RAI9FY,NCIT:C85285,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10455,Fraxinus velutina pollen,UNII:LJT6I6Z8FD,,NCBI|PLANTS|GRIN,
DRUGBANK:DB10456,Populus tremuloides pollen,UNII:928OC2TJDA,NCIT:C85330,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10457,Morella cerifera pollen,UNII:LC8MEV9S89,NCIT:C85289,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10458,Betula nigra pollen,UNII:93963RFO1P,NCIT:C85132,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10459,Amaranthus palmeri pollen,UNII:1GH3WV23KH,NCIT:C85097,NCBI|PLANTS|GRIN,
DRUGBANK:DB10460,Juniperus ashei pollen,UNII:544F8MEY0Y,NCIT:C85266,PLANTS|GRIN,
