drugbank_curie,label,unii,unii_ncit
DRUGBANK:DB11031,Vespula pensylvanica venom protein,UNII:Q79PS8P34R,
DRUGBANK:DB11032,Vespula squamosa venom protein,UNII:D7974DM2EJ,
DRUGBANK:DB11033,Vespula vulgaris venom protein,UNII:S125N1F5X5,
DRUGBANK:DB11050,Typhoid Vaccine Live,UNII:0MZI008M96,NCIT:C77766
DRUGBANK:DB11051,Azficel-T,UNII:022461SR75,NCIT:C142945
DRUGBANK:DB11054,Human cord blood hematopoietic progenitor cell,UNII:XU53VK93MC,NCIT:C200602
DRUGBANK:DB11066,Pancrelipase protease,UNII:3560D81V50,NCIT:C84041
DRUGBANK:DB11067,Heme iron polypeptide,UNII:31VDO12CJY,
DRUGBANK:DB11112,Lanolin,UNII:7EV65EAW6H,NCIT:C94238
DRUGBANK:DB11120,Turpentine,UNII:XJ6RUH0O4G,NCIT:C84233
DRUGBANK:DB11209,Iron protein succinylate,UNII:VBJ9L90P4L,
DRUGBANK:DB11294,Coccidioides immitis spherule,UNII:ITY7G7Q744,
DRUGBANK:DB11295,Trichophyton verrucosum,UNII:JA74887EHM,
DRUGBANK:DB11321,Cod liver oil,UNII:BBL281NWFG,NCIT:C65348
DRUGBANK:DB11347,Bacillus subtilis,UNII:8CF93KW41W,NCIT:C86167
DRUGBANK:DB11360,Lactobacillus plantarum,UNII:QFC21096ON,
DRUGBANK:DB11597,Human Rho(D) immune globulin,UNII:48W7181FLP,NCIT:C80832
DRUGBANK:DB11600,Beeswax,UNII:2ZA36H0S2V,NCIT:C84241
DRUGBANK:DB11601,Tuberculin purified protein derivative,UNII:I7L8FKN87J,
DRUGBANK:DB11603,"Rabies immune globulin, human",UNII:95F619ATQ2,NCIT:C80831
DRUGBANK:DB11604,"Tetanus immune globulin, human",UNII:V4SWI4RF4J,
DRUGBANK:DB11621,Human varicella-zoster immune globulin,UNII:33T61IWL27,NCIT:C123431
DRUGBANK:DB12386,Bacillus calmette-guerin substrain danish 1331 live antigen,UNII:4CGF0IDN3W,NCIT:C180987
DRUGBANK:DB13147,Pancrelipase lipase,UNII:8MYC33932O,NCIT:C84040
DRUGBANK:DB13199,Brinase,UNII:Z3GVO2327F,NCIT:C171785
DRUGBANK:DB13299,Sulglicotide,UNII:26473073GC,NCIT:C152465
DRUGBANK:DB13761,Tilactase,UNII:37515NWH9U,NCIT:C29147
DRUGBANK:DB13881,Tisagenlecleucel,UNII:Q6C9WHR03O,NCIT:C102758
DRUGBANK:DB13883,Coral snake (micrurus fulvius) immune globulin antivenin (equine),UNII:Y605XBM2GL,NCIT:C87794
DRUGBANK:DB13886,Human cytomegalovirus immune globulin,UNII:129L90A25N,NCIT:C80826
DRUGBANK:DB13891,Crotalus scutulatus antivenin,UNII:7WZ1744G86,
