drugbank_curie,label,biolink_type,unii,ncit,signal
DRUGBANK:DB10533,Grape,biolink:Food,6X543N684K,NCIT:C71982,ncit-food
DRUGBANK:DB10534,Grapefruit,biolink:Food,O82C39RR8C,NCIT:C71974,ncit-food
DRUGBANK:DB10536,Honeydew melon,biolink:Food,RN8P45F92A,NCIT:C71979,ncit-food
DRUGBANK:DB10537,Lamb,biolink:Food,FOF26T73HA,NCIT:C71638,ncit-food
DRUGBANK:DB10538,Lemon,biolink:Food,24RS0A988O,NCIT:C72005,ncit-food
DRUGBANK:DB10539,Lettuce,biolink:Food,5PO6NN3RRJ,NCIT:C72028,ncit-food
DRUGBANK:DB10540,Lima bean,biolink:Food,112YH1ZMX2,NCIT:C71950,ncit-food
DRUGBANK:DB10542,Goat milk,biolink:Food,XE5K5I4RP7,NCIT:C72806,ncit-food
DRUGBANK:DB10543,Cow milk,biolink:Food,917J3173FT,NCIT:C66153,ncit-food
DRUGBANK:DB10545,Mustard seed,biolink:Food,58RXI817UT,NCIT:C73907,ncit-food
DRUGBANK:DB10546,Oat,biolink:Food,Z6J799EAJK,NCIT:C101357,ncit-food
DRUGBANK:DB10547,Black olive,biolink:Food,2M6QWV94OC,NCIT:C71983,ncit-food
DRUGBANK:DB10548,Onion,biolink:Food,492225Q21H,NCIT:C72035,ncit-food
DRUGBANK:DB10549,Orange,biolink:Food,5EVU04N5QU,NCIT:C65208,ncit-food
DRUGBANK:DB10550,Oyster,biolink:Food,0I77C68AWS,NCIT:C85050,ncit-food
DRUGBANK:DB10551,Pea,biolink:Food,W4X7H8GYFM,NCIT:C72056,ncit-food
DRUGBANK:DB10552,Peach,biolink:Food,3OKE88I3QG,NCIT:C72027,ncit-food
DRUGBANK:DB10553,Peanut,biolink:Food,QE1QX6B99R,NCIT:C72071,ncit-food
DRUGBANK:DB10554,Pear,biolink:Food,2ZN8DWC0YF,NCIT:C72039,ncit-food
DRUGBANK:DB10555,Pecan,biolink:Food,F14P91GB5F,NCIT:C72051,ncit-food
DRUGBANK:DB10556,Green bell pepper,biolink:Food,4J4DOU3HEK,NCIT:C71964,ncit-food
DRUGBANK:DB10558,Pineapple,biolink:Food,2A88ZO081O,NCIT:C66390,ncit-food
DRUGBANK:DB10559,Pistachio,biolink:Food,6815CPT6ZJ,NCIT:C72053,ncit-food
DRUGBANK:DB10560,Plum,biolink:Food,67M3EQ6BE1,NCIT:C72044,ncit-food
DRUGBANK:DB10561,Pork,biolink:Food,O138UB266J,NCIT:C71958,ncit-food
DRUGBANK:DB10562,Potato,biolink:Food,CFE1S8DYWD,NCIT:C72045,ncit-food
DRUGBANK:DB10563,Rice,biolink:Food,659G217HPG,NCIT:C73972,ncit-food
DRUGBANK:DB10564,Rye,biolink:Food,0R4AQI398X,NCIT:C85249,ncit-food
DRUGBANK:DB10566,Sesame seed,biolink:Food,7Y1255HVXR,NCIT:C71942,ncit-food
DRUGBANK:DB10567,Shrimp,biolink:Food,1891LE191T,NCIT:C71914,ncit-food
DRUGBANK:DB10568,Soybean,biolink:Food,L7HT8F1ZOD,NCIT:C72010,ncit-food
DRUGBANK:DB10569,Spinach,biolink:Food,6WO75C6WVB,NCIT:C72012,ncit-food
DRUGBANK:DB10570,Squash,biolink:Food,9961HBA483,NCIT:C72013,ncit-food
DRUGBANK:DB10571,Strawberry,biolink:Food,4J2TY8Y81V,NCIT:C66565,ncit-food
DRUGBANK:DB10572,Corn,biolink:Food,0N8672707O,NCIT:C72066,ncit-food
DRUGBANK:DB10573,Tomato,biolink:Food,Z4KHF2C175,NCIT:C72019,ncit-food
DRUGBANK:DB10574,Tuna,biolink:Food,V2T3IHT3E2,NCIT:C71908,ncit-food
DRUGBANK:DB10575,Turkey,biolink:Food,8E9NT44R8I,NCIT:C73855,ncit-food
DRUGBANK:DB10578,Watermelon,biolink:Food,231473QB6R,NCIT:C72022,ncit-food
DRUGBANK:DB10579,Wheat,biolink:Food,4J2I0SN84Y,NCIT:C74546,ncit-food
DRUGBANK:DB10610,Duck,biolink:Food,28ON068RWM,NCIT:C73850,ncit-food
DRUGBANK:DB10612,Veal,biolink:Food,0X5GW3050M,NCIT:C71937,ncit-food
DRUGBANK:DB10617,Herring,biolink:Food,34EX28T4C1,NCIT:C71926,ncit-food
DRUGBANK:DB10618,Mackerel,biolink:Food,CYO6K3VM7F,NCIT:C71641,ncit-food
DRUGBANK:DB10620,Red snapper,biolink:Food,WF621S7K14,NCIT:C71917,ncit-food
DRUGBANK:DB10623,Scallop,biolink:Food,D380C73WOU,NCIT:C71916,ncit-food
DRUGBANK:DB10625,Swordfish,biolink:Food,01695YPV36,NCIT:C71911,ncit-food
DRUGBANK:DB10626,Trout,biolink:Food,7TI7U5PF2U,NCIT:C71910,ncit-food
DRUGBANK:DB10627,White fish,biolink:Food,IA4C8ND0DT,NCIT:C71907,ncit-food
DRUGBANK:DB10628,Blackberry,biolink:Food,8A6OMU3I8L,NCIT:C71601,ncit-food
DRUGBANK:DB10629,Blueberry,biolink:Food,253RUG1X1A,NCIT:C71996,ncit-food
DRUGBANK:DB10631,Cranberry,biolink:Food,0MVO31Q3QS,NCIT:C28943,ncit-food
DRUGBANK:DB10632,Date,biolink:Food,H3O7QI5HY7,NCIT:C72063,ncit-food
DRUGBANK:DB10633,Fig,biolink:Food,TGD87RII2U,NCIT:C71971,ncit-food
DRUGBANK:DB10635,Lime (citrus),biolink:Food,8CZS546954,NCIT:C72002,ncit-food
DRUGBANK:DB10636,Raspberry,biolink:Food,4N14V5R27W,NCIT:C72036,ncit-food
DRUGBANK:DB10637,Tangerine,biolink:Food,KH3E3096OO,NCIT:C72017,ncit-food
DRUGBANK:DB10639,Kidney bean,biolink:Food,M98C8416QO,NCIT:C82900,ncit-food
DRUGBANK:DB10640,Beet,biolink:Food,N487KM8COK,NCIT:C72003,ncit-food
DRUGBANK:DB10641,Kiwi fruit,biolink:Food,71ES77LGJC,NCIT:C71981,ncit-food
DRUGBANK:DB10642,Brussels sprout,biolink:Food,KHX46H31F8,NCIT:C71998,ncit-food
DRUGBANK:DB10643,Cauliflower,biolink:Food,138LUT2DWV,NCIT:C72055,ncit-food
DRUGBANK:DB10644,Eggplant,biolink:Food,W5K7RAS4VK,NCIT:C71969,ncit-food
DRUGBANK:DB10646,Green olive,biolink:Food,6HD2W46UEG,NCIT:C72034,ncit-food
DRUGBANK:DB10647,Parsley,biolink:Food,58FMD0Q0EV,NCIT:C72037,ncit-food
DRUGBANK:DB10648,Sweet potato,biolink:Food,M9WGG9Z9GK,NCIT:C72015,ncit-food
DRUGBANK:DB10651,Rhubarb,biolink:Food,G280W4MW6E,NCIT:C74269,ncit-food
DRUGBANK:DB10652,Turnip,biolink:Food,Z38C7FBM49,NCIT:C72020,ncit-food
DRUGBANK:DB10653,Cashew,biolink:Food,3H5U5CX7KO,NCIT:C72049,ncit-food
DRUGBANK:DB10654,Hazelnut,biolink:Food,IW0OM96F6O,NCIT:C72050,ncit-food
DRUGBANK:DB10655,Macadamia nut,biolink:Food,Y5432RGW8N,NCIT:C71640,ncit-food
DRUGBANK:DB10656,Nectarine,biolink:Food,65KD9TD4C3,NCIT:C72032,ncit-food
DRUGBANK:DB10657,Mango,biolink:Food,I629I3NR86,NCIT:C71637,ncit-food
DRUGBANK:DB10658,Papaya,biolink:Food,KU94FIY6JB,NCIT:C72047,ncit-food
DRUGBANK:DB10659,Leek,biolink:Food,RCU76P419D,NCIT:C71973,ncit-food
DRUGBANK:DB10660,Okra,biolink:Food,51ME2L7STL,NCIT:C72033,ncit-food
DRUGBANK:DB10662,Chickpea,biolink:Food,N91637DNW9,NCIT:C71992,ncit-food
DRUGBANK:DB10663,Black-eyed pea,biolink:Food,786YV7B602,NCIT:C71995,ncit-food
DRUGBANK:DB10664,Watercress,biolink:Food,K5877MW0LE,NCIT:C75666,ncit-food
DRUGBANK:DB10681,Poppy seed,biolink:Food,60RO23IR87,NCIT:C73910,ncit-food
DRUGBANK:DB10830,Mung bean,biolink:Food,1LIB31N73G,NCIT:C28261,ncit-food
DRUGBANK:DB10864,Cumin,biolink:Food,AG9BNA51DQ,NCIT:C74527,ncit-food
DRUGBANK:DB10875,Concord grape,biolink:Food,T3PW93IB4Q,NCIT:C72007,ncit-food
DRUGBANK:DB10884,Millet seed,biolink:Food,TJR6B3R47P,NCIT:C73905,ncit-food
