pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	DOID:1614	male breast cancer	xref	GARD:9312	Carcinoma of male breast	DOID	from_other_source
disease	DOID:1660	malignant pineal area germ cell neoplasm	xref	GARD:12017	Malignant pineal area germ cell neoplasm	DOID	from_other_source
disease	DOID:1664	pineoblastoma	xref	GARD:9369	Pineoblastoma	DOID	from_other_source
disease	DOID:1700	X-linked ichthyosis	xref	GARD:7904	X-linked ichthyosis with steryl-sulfatase deficiency	DOID	from_other_source
disease	DOID:1702	ichthyosis vulgaris	xref	GARD:6752	Ichthyosis vulgaris	DOID	from_other_source
disease	DOID:1703	Richter's syndrome	xref	GARD:7578	Richter syndrome	DOID	from_other_source
disease	DOID:1752	ocular melanoma	xref	GARD:7236	Ocular melanoma	DOID	from_other_source
disease	DOID:1752	ocular melanoma	xref	GARD:8621	Uveal melanoma	DOID	from_other_source
disease	DOID:1761	Melkersson-Rosenthal syndrome	xref	GARD:7010	Melkersson-Rosenthal syndrome	DOID	from_other_source
disease	DOID:1785	pituitary cancer	xref	GARD:9371	Pituitary carcinoma	DOID	from_other_source
disease	DOID:1798	pancreatic endocrine carcinoma	xref	GARD:13034	Neuroendocrine tumor of pancreas	DOID	from_other_source
disease	DOID:1835	mononeuritis multiplex	xref	GARD:7056	Mononeuritis multiplex	DOID	from_other_source
disease	DOID:1838	Menkes disease	xref	GARD:1521	Menkes kinky-hair syndrome	DOID	from_other_source
disease	DOID:1852	intrahepatic cholestasis	xref	GARD:10214	Neonatal intrahepatic cholestasis due to citrin deficiency	DOID	from_other_source
disease	DOID:1856	cherubism 1	xref	GARD:6036	Fibrous dysplasia of jaw	DOID	from_other_source
disease	DOID:1858	McCune Albright syndrome	xref	GARD:6995	McCune-Albright syndrome	DOID	from_other_source
disease	DOID:1925	Coffin-Siris syndrome	xref	GARD:6124	Coffin-Siris syndrome	DOID	from_other_source
disease	DOID:1926	Gaucher's disease	xref	GARD:8233	Gaucher disease	DOID	from_other_source
disease	DOID:1927	sphingolipidosis	xref	GARD:7672	Sphingolipidosis	DOID	from_other_source
disease	DOID:1929	supravalvular aortic stenosis	xref	GARD:743	Supravalvar aortic stenosis	DOID	from_other_source
disease	DOID:1930	Laurence-Moon syndrome	xref	GARD:12635	Laurence-Moon syndrome	DOID	from_other_source
disease	DOID:1932	Angelman syndrome	xref	GARD:5810	Angelman syndrome	DOID	from_other_source
disease	DOID:1933	Rubinstein-Taybi syndrome	xref	GARD:7593	Rubinstein-Taybi syndrome	DOID	from_other_source
disease	DOID:1935	Bardet-Biedl syndrome	xref	GARD:6866	Bardet-Biedl syndrome	DOID	from_other_source
disease	DOID:1967	leiomyosarcoma	xref	GARD:6880	Leiomyosarcoma	DOID	from_other_source
disease	DOID:2048	autoimmune hepatitis	xref	GARD:5871	Autoimmune hepatitis	DOID	from_other_source
disease	DOID:2106	myotonia congenita	xref	GARD:12301	Thomsen and Becker disease	DOID	from_other_source
disease	DOID:2120	focal dermal hypoplasia	xref	GARD:6457	Focal dermal hypoplasia	DOID	from_other_source
disease	DOID:2121	ectodermal dysplasia	xref	GARD:6317	Ectodermal dysplasia	DOID	from_other_source
disease	DOID:2123	tularemia	xref	GARD:396	Tularemia	DOID	from_other_source
disease	DOID:2156	ovarian germ cell cancer	xref	GARD:9330	Malignant germ cell tumor of ovary	DOID	from_other_source
disease	DOID:2187	amelogenesis imperfecta	xref	GARD:5791	Amelogenesis imperfecta	DOID	from_other_source
disease	DOID:2211	factor XIII deficiency	xref	GARD:10766	Hereditary factor XIII deficiency disease	DOID	from_other_source
disease	DOID:2215	factor VII deficiency	xref	GARD:2238	Congenital factor VII deficiency	DOID	from_other_source
disease	DOID:2216	factor V deficiency	xref	GARD:2237	Congenital factor V deficiency	DOID	from_other_source
disease	DOID:2219	Glanzmann's thrombasthenia	xref	GARD:2478	Glanzmann thrombasthenia	DOID	from_other_source
disease	DOID:2222	factor X deficiency	xref	GARD:6404	Hereditary factor X deficiency disease	DOID	from_other_source
disease	DOID:2223	platelet storage pool deficiency	xref	GARD:5034	Storage pool disease of platelets	DOID	from_other_source
disease	DOID:2224	essential thrombocythemia	xref	GARD:6594	Essential thrombocythemia	DOID	from_other_source
disease	DOID:2229	factor XI deficiency	xref	GARD:9670	Hereditary factor XI deficiency disease	DOID	from_other_source
disease	DOID:2231	factor XII deficiency	xref	GARD:6558	Factor XII deficiency disease	DOID	from_other_source
disease	DOID:2236	congenital afibrinogenemia	xref	GARD:5761	Congenital afibrinogenemia	DOID	from_other_source
disease	DOID:2297	leptospirosis	xref	GARD:7881	Leptospirosis	DOID	from_other_source
disease	DOID:2312	nocardiosis	xref	GARD:7210	Nocardiosis	DOID	from_other_source
disease	DOID:2339	Crouzon syndrome	xref	GARD:6206	Crouzon syndrome	DOID	from_other_source
disease	DOID:2340	craniosynostosis	xref	GARD:6209	Craniosynostosis syndrome	DOID	from_other_source
disease	DOID:2365	West Nile encephalitis	xref	GARD:9959	West-Nile encephalitis	DOID	from_other_source
disease	DOID:2368	gangliosidosis	xref	GARD:12510	Gangliosidosis	DOID	from_other_source
disease	DOID:2373	hereditary elliptocytosis	xref	GARD:6621	Hereditary elliptocytosis	DOID	from_other_source
disease	DOID:2382	kernicterus	xref	GARD:6830	Bilirubin encephalopathy	DOID	from_other_source
disease	DOID:2411	granular cell tumor	xref	GARD:9618	Granular cell tumor	DOID	from_other_source
disease	DOID:2426	gangliocytoma	xref	GARD:10638	Gangliocytoma	DOID	from_other_source
disease	DOID:2449	acromegaly	xref	GARD:5725	Acromegaly	DOID	from_other_source
disease	DOID:2474	vernal conjunctivitis	xref	GARD:7854	Vernal keratoconjunctivitis	DOID	from_other_source
disease	DOID:2476	hereditary spastic paraplegia	xref	GARD:6637	Hereditary spastic paraplegia	DOID	from_other_source
disease	DOID:2508	Takayasu's arteritis	xref	GARD:7730	Takayasu arteritis	DOID	from_other_source
disease	DOID:2512	nevoid basal cell carcinoma syndrome	xref	GARD:7166	Gorlin syndrome	DOID	from_other_source
disease	DOID:2533	splenic infarction	xref	GARD:9973	Splenic infarction	DOID	from_other_source
disease	DOID:2538	Landau-Kleffner syndrome	xref	GARD:6855	Landau-Kleffner syndrome	DOID	from_other_source
disease	DOID:2556	relapsing polychondritis	xref	GARD:7417	Relapsing polychondritis	DOID	from_other_source
disease	DOID:2580	rhizomelic chondrodysplasia punctata	xref	GARD:13160	Rhizomelic chondrodysplasia punctata	DOID	from_other_source
