pipeline,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids,preferred_id_would_survive,needs_biolink_registration,unsupported_prefixes
disease,GARD:0000368,Laryngo-onycho-cutaneous syndrome,biolink:Disease,1,GARD:0000368,false,true,GARD
disease,GARD:0000369,Choroideremia-deafness-obesity syndrome,biolink:Disease,1,GARD:0000369,false,true,GARD
disease,GARD:0000370,"Cholestasis-edema syndrome, Norwegian type",biolink:Disease,1,GARD:0000370,false,true,GARD
disease,GARD:0000371,Qazi Markouizos syndrome,biolink:Disease,1,GARD:0000371,false,true,GARD
disease,GARD:0000372,Neurofibromatosis-Noonan syndrome,biolink:Disease,1,GARD:0000372,false,true,GARD
disease,GARD:0000373,Folliculitis decalvans,biolink:Disease,1,GARD:0000373,false,true,GARD
disease,GARD:0000374,Pectus excavatum-macrocephaly-dysplastic nails syndrome,biolink:Disease,1,GARD:0000374,false,true,GARD
disease,GARD:0000375,Cleft lip/palate-ectodermal dysplasia syndrome,biolink:Disease,1,GARD:0000375,false,true,GARD
disease,GARD:0000376,Acheiropodia,biolink:Disease,1,GARD:0000376,false,true,GARD
disease,GARD:0000377,"Adactylia, unilateral",biolink:Disease,1,GARD:0000377,false,true,GARD
disease,GARD:0000378,Johnson neuroectodermal syndrome,biolink:Disease,1,GARD:0000378,false,true,GARD
disease,GARD:0000379,Renal tubular dysgenesis,biolink:Disease,1,GARD:0000379,false,true,GARD
disease,GARD:0000380,Knobloch syndrome 1,biolink:Disease,1,GARD:0000380,false,true,GARD
disease,GARD:0000381,Arachnodactyly-abnormal ossification-intellectual disability syndrome,biolink:Disease,1,GARD:0000381,false,true,GARD
disease,GARD:0000383,Autosomal dominant osteopetrosis 2,biolink:Disease,1,GARD:0000383,false,true,GARD
disease,GARD:0000384,ADULT syndrome,biolink:Disease,1,GARD:0000384,false,true,GARD
disease,GARD:0000385,Zimmermann-Laband syndrome,biolink:Disease,1,GARD:0000385,false,true,GARD
disease,GARD:0000386,Tetraamelia-multiple malformations syndrome,biolink:Disease,1,GARD:0000386,false,true,GARD
disease,GARD:0000387,Combined immunodeficiency due to ZAP70 deficiency,biolink:Disease,1,GARD:0000387,false,true,GARD
disease,GARD:0000390,Worth disease,biolink:Disease,1,GARD:0000390,false,true,GARD
disease,GARD:0000391,Axial osteosclerosis,biolink:Disease,1,GARD:0000391,false,true,GARD
disease,GARD:0000393,Tungiasis,biolink:Disease,1,GARD:0000393,false,true,GARD
disease,GARD:0000394,Radioulnar synostosis-microcephaly-scoliosis syndrome,biolink:Disease,1,GARD:0000394,false,true,GARD
disease,GARD:0000395,Retinal degeneration-nanophthalmos-glaucoma syndrome,biolink:Disease,1,GARD:0000395,false,true,GARD
disease,GARD:0000396,Tularemia,biolink:Disease,1,GARD:0000396,false,true,GARD
disease,GARD:0000398,Bagatelle Cassidy syndrome,biolink:Disease,1,GARD:0000398,false,true,GARD
disease,GARD:0000399,"46,XX testicular disorder of sex development",biolink:Disease,1,GARD:0000399,false,true,GARD
disease,GARD:0000400,GAPO syndrome,biolink:Disease,1,GARD:0000400,false,true,GARD
disease,GARD:0000404,Osteoporosis-oculocutaneous hypopigmentation syndrome,biolink:Disease,1,GARD:0000404,false,true,GARD
disease,GARD:0000405,Subaortic stenosis-short stature syndrome,biolink:Disease,1,GARD:0000405,false,true,GARD
disease,GARD:0000406,Foveal hypoplasia-presenile cataract syndrome,biolink:Disease,1,GARD:0000406,false,true,GARD
disease,GARD:0000407,Ermine phenotype,biolink:Disease,1,GARD:0000407,false,true,GARD
disease,GARD:0000408,Short stature due to growth hormone qualitative anomaly,biolink:Disease,1,GARD:0000408,false,true,GARD
