gene_id,symbol,tax_id,dropped_synonym,shredded_from,raw_synonyms_field
840264,CYP76C5,3702,subfamily C,"cytochrome P450, family 76, subfamily C, polypeptide 5",''cytochrome P450|F14M2.14|F14M2_14|cytochrome P450|family 76|polypeptide 5|polypeptide 5''|subfamily C
840356,CYP94D1,3702,cytochrome P450,"cytochrome P450, family 94, subfamily D, polypeptide 1",''cytochrome P450|F12K21.15|F12K21_15|cytochrome P450|family 94|polypeptide 1|polypeptide 1''|subfamily D
840356,CYP94D1,3702,family 94,"cytochrome P450, family 94, subfamily D, polypeptide 1",''cytochrome P450|F12K21.15|F12K21_15|cytochrome P450|family 94|polypeptide 1|polypeptide 1''|subfamily D
840356,CYP94D1,3702,polypeptide 1,"cytochrome P450, family 94, subfamily D, polypeptide 1",''cytochrome P450|F12K21.15|F12K21_15|cytochrome P450|family 94|polypeptide 1|polypeptide 1''|subfamily D
840356,CYP94D1,3702,subfamily D,"cytochrome P450, family 94, subfamily D, polypeptide 1",''cytochrome P450|F12K21.15|F12K21_15|cytochrome P450|family 94|polypeptide 1|polypeptide 1''|subfamily D
841171,CYP96A8,3702,cytochrome P450,"cytochrome P450, family 96, subfamily A, polypeptide 8",''cytochrome P450|F16N3.8|F16N3_8|cytochrome P450|family 96|polypeptide 8|polypeptide 8''|subfamily A
841171,CYP96A8,3702,family 96,"cytochrome P450, family 96, subfamily A, polypeptide 8",''cytochrome P450|F16N3.8|F16N3_8|cytochrome P450|family 96|polypeptide 8|polypeptide 8''|subfamily A
841171,CYP96A8,3702,polypeptide 8,"cytochrome P450, family 96, subfamily A, polypeptide 8",''cytochrome P450|F16N3.8|F16N3_8|cytochrome P450|family 96|polypeptide 8|polypeptide 8''|subfamily A
841171,CYP96A8,3702,subfamily A,"cytochrome P450, family 96, subfamily A, polypeptide 8",''cytochrome P450|F16N3.8|F16N3_8|cytochrome P450|family 96|polypeptide 8|polypeptide 8''|subfamily A
841474,CYP705A27,3702,cytochrome P450,"cytochrome P450, family 705, subfamily A, polypeptide 27",''cytochrome P450|F11F12.13|F11F12_13|cytochrome P450|family 705|polypeptide 27|polypeptide 27''|subfamily A
