pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	MP:0004098	abnormal cerebellar granule cell morphology	xref	CL:0001031		MP	added
disease	MP:0004111	abnormal coronary artery morphology	xref	Fyler:3100		MP	added
disease	MP:0004113	abnormal aortic arch morphology	xref	Fyler:2700		MP	added
disease	MP:0004113	abnormal aortic arch morphology	xref	MA:0000475		MP	added
disease	MP:0004122	abnormal sinus arrhythmia	xref	Fyler:7011		MP	added
disease	MP:0004133	heterotaxia	xref	Fyler:0190		MP	added
disease	MP:0004133	heterotaxia	xref	Fyler:190		MP	added
disease	MP:0004133	heterotaxia	xref	MPATH:712		MP	added
disease	MP:0004157	interrupted aortic arch	xref	Fyler:1250		MP	added
disease	MP:0004158	right aortic arch	xref	Fyler:2720		MP	added
disease	MP:0004159	double aortic arch	xref	Fyler:2761		MP	added
disease	MP:0004195	abnormal kidney calyx morphology	xref	MA:0000369		MP	added
disease	MP:0004225	patent cardiac foramen ovale	xref	Fyler:2020		MP	added
disease	MP:0004230	abnormal embryonic erythrocyte morphology	xref	CL:0002355		MP	added
disease	MP:0004231	abnormal calcium ion homeostasis	xref	GO:0006874		MP	added
disease	MP:0004249	abnormal crista ampullaris morphology	xref	MA:0002771		MP	added
disease	MP:0004391	abnormal respiratory conducting tube morphology	xref	Fyler:4232		MP	added
disease	MP:0004409	abnormal crista ampullaris neuroepithelium morphology	xref	MA:0002870		MP	added
disease	MP:0004755	abnormal loop of Henle morphology	xref	MA:0001675		MP	added
disease	MP:0004778	increased macrophage derived foam cell number	xref	CL:0000517		MP	added
disease	MP:0004941	abnormal regulatory T cell morphology	xref	CL:0000815		MP	added
disease	MP:0004942	abnormal B cell selection	xref	GO:0002339		MP	added
disease	MP:0004943	abnormal B cell positive selection	xref	GO:0002346		MP	added
disease	MP:0004944	abnormal B cell negative selection	xref	GO:0002352		MP	added
disease	MP:0005058	abnormal lysosome morphology	xref	GO:0005764		MP	added
disease	MP:0005059	lysosomal protein accumulation	xref	GO:0007041		MP	added
disease	MP:0005068	abnormal NK cell morphology	xref	CL:0000623		MP	added
disease	MP:0005068	abnormal NK cell morphology	xref	FMA:63147		MP	added
disease	MP:0005068	abnormal NK cell morphology	xref	FMA:83601		MP	added
disease	MP:0005075	abnormal melanosome morphology	xref	GO:0042470		MP	added
disease	MP:0005076	abnormal cell differentiation	xref	GO:0030154		MP	added
disease	MP:0005112	abnormal spinal cord ventral horn morphology	xref	MA:0001134		MP	added
disease	MP:0005157	holoprosencephaly	xref	Fyler:4338		MP	added
disease	MP:0005168	abnormal female meiosis	xref	GO:0007143		MP	added
disease	MP:0005169	abnormal male meiosis	xref	GO:0007140		MP	added
disease	MP:0005170	cleft upper lip	xref	Fyler:4875		MP	added
disease	MP:0005237	abnormal olfactory tract morphology	xref	MA:0000975		MP	added
disease	MP:0005247	abnormal extraocular muscle morphology	xref	http://teachmeanatomy.info/head/organs/eye/extraocular-muscles/		MP	added
