pipeline,clique_preferred_id,clique_preferred_label,clique_biolink_type,change_kind,added_kind,added_id,added_id_label,added_id_biolink_type,would_be_added,needs_biolink_registration,biolink_registration_note,equivalent_ids
disease,DOID:10907,,,expanded,added,MP:0000433,,biolink:PhenotypicFeature,,,,DOID:10907|Fyler:4310|GARD:3603|GARD:7038|HP:0000252|ICD10:Q02|ICD10CM:Q02|ICD9:742.1|MEDDRA:10027532|MEDDRA:10027533|MEDDRA:10027534|MEDDRA:10068320|MEDGEN:1644158|MESH:D008831|MONDO:0001149|MP:0000433|NCIT:C85874|SNOMEDCT:1829003|SNOMEDCT_US_2025_09_01:156893009|UMLS:C0025958|UMLS:C4551563|http://id.who.int/icd/entity/179350437|https://icd.who.int/browse10/2019/en#/Q02
disease,DOID:11111,,,expanded,added,MP:0000519,,biolink:PhenotypicFeature,,,,DOID:11111|EFO:0005562|Fyler:4502|HP:0000126|ICD10:N13.30|ICD9:591|MEDDRA:10020524|MEDGEN:42531|MESH:D006869|MONDO:0005510|MP:0000519|NCIT:C26796|SNOMEDCT:43064006|SNOMEDCT_US_2025_09_01:155866001|UMLS:C0020295
disease,DOID:11193,,,expanded,added,MP:0000564,,biolink:PhenotypicFeature,,,,DOID:11193|Fyler:4174|GARD:13181|HP:0001159|ICD10:Q70|ICD9:755.1|MEDDRA:10042778|MEDGEN:1842957|MESH:D013576|MONDO:0019530|MP:0000564|NCIT:C87125|ORDO:295012|ORDO:90025|ORDO:93403|SNOMEDCT:373413006|SNOMEDCT_US_2025_09_01:156989004|UMLS:C0039075|UMLS:C5681365|http://id.who.int/icd/entity/1736296640|orphanet:90025
disease,DOID:11383,,,expanded,added,MP:0002286,,biolink:PhenotypicFeature,,,,DOID:11383|EFO:0004562|Fyler:4493|HP:0000028|ICD10:Q53.9|ICD9:752.51|MEDDRA:10011498|MEDDRA:10025500|MEDDRA:10025501|MEDDRA:10043294|MEDDRA:10043295|MEDDRA:10045505|MEDDRA:10045506|MEDDRA:10056600|MEDGEN:8192|MESH:D003456|MIM:219050|MONDO:0009047|MP:0002286|NCIT:C12326|OMIM:219050|SNOMEDCT:204878001|SNOMEDCT_US_2025_09_01:204879009|UMLS:C0010417|http://id.who.int/icd/entity/1134950387
disease,DOID:11482,,,expanded,added,MP:0005312,,biolink:PhenotypicFeature,,,,DOID:11482|DOID:118|Fyler:1940|HP:0001698|ICD9:423.0|MEDDRA:10014311|MEDDRA:10018934|MEDDRA:10019517|MEDDRA:10019554|MEDDRA:10019575|MEDDRA:10034474|MEDDRA:10034476|MEDDRA:10034477|MEDDRA:10055817|MEDDRA:10055834|MEDDRA:10071860|MEDGEN:10653|MESH:D010490|MONDO:0001370|MP:0005312|NCIT:C111644|NCIT:C3319|SNOMEDCT:373945007|SNOMEDCT_US_2025_09_01:155339006|SNOMEDCT_US_2025_09_01:70370001|UMLS:C0019064|UMLS:C0031039|http://id.who.int/icd/entity/2002014072
disease,DOID:11502,,,expanded,added,MP:0006045,,biolink:PhenotypicFeature,,,,DOID:11502|DOID:57|Fyler:1151|HP:0001653|ICD10:I06.1|ICD10:Q23.3|ICD10CM:Q23.3|ICD9:395.1|ICD9:396.3|ICD9:746.6|MEDDRA:10002898|MEDDRA:10002904|MEDDRA:10002915|MEDDRA:10010545|MEDDRA:10010547|MEDDRA:10027715|MEDDRA:10027716|MEDDRA:10027718|MEDDRA:10027727|MEDDRA:10039045|MEDDRA:10039046|MEDDRA:10052839|MEDDRA:10074862|MEDGEN:510600|MESH:D001022|MESH:D008944|MONDO:0001298|MP:0006045|NCIT:C197881|NCIT:C197951|NCIT:C50852|NCIT:C50861|NCIT:C50888|NCIT:C51223|SNOMEDCT:194736003|SNOMEDCT:29928006|SNOMEDCT:48724000|SNOMEDCT_US_2025_09_01:155283004|SNOMEDCT_US_2025_09_01:194736003|SNOMEDCT_US_2025_09_01:194977007|SNOMEDCT_US_2025_09_01:29928006|SNOMEDCT_US_2025_09_01:60234000|UMLS:C0003504|UMLS:C0026266|UMLS:C0155568|UMLS:C0158619|UMLS:C0264774|UMLS:C3551535|http://id.who.int/icd/entity/403917903
disease,DOID:11836,,,expanded,added,MP:0000576,,biolink:PhenotypicFeature,,,,DOID:11836|Fyler:4171|HP:0001762|ICD10:Q66.89|ICD10CM:Q66.0|ICD9:754.51|MEDDRA:10009687|MEDDRA:10009694|MEDDRA:10009695|MEDDRA:10010419|MEDDRA:10016523|MEDDRA:10016869|MEDDRA:10043105|MEDDRA:10043106|MEDDRA:10048426|MEDGEN:3130|MESH:D003025|MIM:119800|MONDO:0007342|MP:0000576|NCIT:C84641|OMIM:119800|SNOMEDCT:1156475005|SNOMEDCT:397932003|SNOMEDCT_US_2025_09_01:33163000|UMLS:C0009081|UMLS:C0858279
disease,DOID:11843,,,expanded,added,MP:0004111,,biolink:PhenotypicFeature,,,,DOID:11843|Fyler:3100|GARD:1534|HP:0006704|ICD9:746.85|MEDDRA:10010425|MEDDRA:10011072|MEDDRA:10061060|MEDGEN:1612789|MONDO:0015203|MP:0004111|SNOMEDCT:28574005|SNOMEDCT:896818001|SNOMEDCT_US_2025_09_01:28574005|UMLS:C0158623|UMLS:C4531298|http://id.who.int/icd/entity/902783759|orphanet:1081
disease,DOID:12270,,,expanded,added,MP:0005262,,biolink:PhenotypicFeature,,,,DOID:12270|Fyler:4311|GARD:1433|HP:0000589|ICD10:Q13.0|MEDDRA:10009934|MEDDRA:10009937|MEDGEN:1046|MESH:D003103|MIM:120200|MIM:120300|MIM:216820|MONDO:0001476|MP:0005262|NCIT:C98877|ORDO:194|ORDO:98945|SNOMEDCT:92828000|SNOMEDCT:93390002|SNOMEDCT_US_2025_09_01:93390002|UMLS:C0009363
disease,DOID:12639,,,expanded,added,MP:0003307,,biolink:PhenotypicFeature,,,,DOID:12639|DOID:3122|EFO:0009626|Fyler:4444|HP:0002021|ICD10:K31.1|MEDDRA:10029968|MEDDRA:10037621|MEDDRA:10037624|MEDDRA:10041994|MEDDRA:10062499|MEDGEN:18780|MESH:D011707|MESH:D017219|MONDO:0001561|MP:0003307|NCIT:C34966|SNOMEDCT:244815007|SNOMEDCT:367403001|SNOMEDCT_US_2025_09_01:196759006|SNOMEDCT_US_2025_09_01:367403001|UMLS:C0034194|UMLS:C0162651|UMLS:C1541124
