Compendium Filenames,Mapping Source,Number of Mappings
"Disease.txt
PhenotypicFeature.txt",Experimental Factor Ontology (EFO) cross-references,"9,850 cross-references involving 11,021 distinct CURIEs from Cross-references from the Experimental Factor Ontology (EFO) for the EFO IDs in babel_outputs/intermediate/disease/ids/EFO. Xref targets with these prefixes were excluded: ['MP'].
 - EFO, PMID: 6,105
 - EFO, uniprot: 2,560
 - EFO, NCIT: 266
 - EFO, SNOMEDCT: 157
 - EFO, MEDDRA: 154
 - 35 other prefix pairs: 608"
"Disease.txt
PhenotypicFeature.txt",Manual Disease/Phenotype Concords,"88 cross-references involving 105 distinct CURIEs from Manually curated Disease/Phenotype cross-references from the Babel repository
 - MONDO, UMLS: 61
 - UMLS, UMLS: 8
 - EFO, UMLS: 6
 - DOID, MONDO: 3
 - HP, MONDO: 2
 - 7 other prefix pairs: 8"
"Disease.txt
PhenotypicFeature.txt",build_disease_obo_relationships(),"78 cross-references involving 153 distinct CURIEs from ubergraph.build_sets() (xref) of MP:0000001, restricted to target prefixes ['HP', 'MGI', 'MPATH', 'UMLS']
 - MGI, MP: 70
 - MP, MPATH: 4
 - HP, MP: 2
 - MP, UMLS: 2"
Gene.txt,build_gene_ncbi_ensembl_relationships(),"13,656,908 cross-references involving 27,264,292 distinct CURIEs from Extracts gene-ensembl relationships from the NCBIGene gene2ensembl.gz file (babel_downloads/NCBIGene/gene2ensembl.gz), filtering to NCBIGene IDs in babel_outputs/intermediate/gene/ids/NCBIGene
 - ENSEMBL, NCBIGene: 13,656,908"
Gene.txt,build_gene_ncbigene_xrefs(),"566,964 cross-references involving 1,133,928 distinct CURIEs from Extracts gene-xref relationships from the NCBIGene gene_info.gz file (babel_downloads/NCBIGene/gene_info.gz), filtering to NCBIGene IDs in babel_outputs/intermediate/gene/ids/NCBIGene and extracting mappings for prefixes dict_values(['WormBase', 'FB', 'ZFIN', 'HGNC', 'MGI', 'RGD', 'dictyBase', 'SGD'])
 - NCBIGene, RGD: 352,076
 - MGI, NCBIGene: 58,200
 - NCBIGene, WormBase: 46,890
 - HGNC, NCBIGene: 44,236
 - NCBIGene, ZFIN: 27,327
 - 3 other prefix pairs: 38,235"
Gene.txt,umls.build_sets(),"44,066 cross-references involving 88,117 distinct CURIEs from umls.build_sets() using UMLS MRCONSO with prefixes: {'HGNC': 'HGNC'} with cui_prefix set to UMLS
 - HGNC, UMLS: 44,066"
Gene.txt,get_umls_gene_protein_mappings,"23,036 cross-references involving 27,608 distinct CURIEs from Download UMLS-UniProtKB gene mappings from https://raw.githubusercontent.com/cbizon/UMLS_UniProtKB/refs/heads/main/outputs/UMLS_UniProtKB.tsv
 - NCBIGene, UMLS: 23,036"
Gene.txt,build_gene_medgen_relationships(),"17,728 cross-references involving 35,443 distinct CURIEs from Extracts gene-OMIM relationships from the mim2gene_medgen file (babel_downloads/NCBIGene/mim2gene_medgen)
 - NCBIGene, OMIM: 17,728"
GeneFamily.txt,pantherfamily.pull_labels(),"Main families and subfamily labels extracted from PANTHER Sequence Classification human.
"
GeneFamily.txt,HGNC Gene Family labels,"Labels extracted from HGNC GeneFamily CSV download
"
MacromolecularComplex.txt,ComplexPortal,"Labels, synonyms, taxa, and descriptions extracted from ComplexPortal ComplexTAB downloads
"
OrganismTaxon.txt,build_relationships(),"70,106 cross-references involving 140,203 distinct CURIEs from Builds relationships between MeSH and NCBI Taxon from the MeSH registry.
 - MESH, NCBITaxon: 70,106"
OrganismTaxon.txt,umls.build_sets(),"69,246 cross-references involving 138,463 distinct CURIEs from umls.build_sets() using UMLS MRCONSO with prefixes: {'MSH': 'MESH', 'NCBITaxon': 'NCBITaxon'} with cui_prefix set to UMLS
 - MESH, UMLS: 69,246"
Protein.txt,build_protein_uniprotkb_ensemble_relationships(),"16,742,215 cross-references involving 24,834,735 distinct CURIEs from Extracts UniProtKB-to-ENSEMBL relationships from the ENSEMBL id-mapping file (babel_downloads/UniProtKB/idmapping.dat) file.
 - ENSEMBL, UniProtKB: 8,385,329
 - ENSEMBL, ENSEMBL: 8,356,886"
Protein.txt,build_pr_uniprot_relationships(),"206,356 cross-references involving 393,716 distinct CURIEs from Extracts PR xrefs from UberGraph after getting subclasses and xrefs of PR:000000001, ignoring [].
 - PR, UniProtKB: 174,043
 - PR, Reactome: 21,441
 - EcoCyc, PR: 4,039
 - IUPHARobj, PR: 2,823
 - DTO, PR: 1,829
 - 11 other prefix pairs: 2,181"
Protein.txt,umls.build_sets(),"108,131 cross-references involving 215,083 distinct CURIEs from umls.build_sets() using UMLS MRCONSO with prefixes: {'MSH': 'MESH', 'DRUGBANK': 'DRUGBANK'} with cui_prefix set to UMLS
 - MESH, UMLS: 105,639
 - DRUGBANK, UMLS: 2,492"
Protein.txt,get_umls_gene_protein_mappings,"23,036 cross-references involving 36,787 distinct CURIEs from Download UMLS-UniProtKB protein mappings from https://raw.githubusercontent.com/cbizon/UMLS_UniProtKB/refs/heads/main/outputs/UMLS_UniProtKB.tsv
 - UMLS, UniProtKB: 23,036"
Protein.txt,umls.build_sets(),"15,723 cross-references involving 28,419 distinct CURIEs from umls.build_sets() using UMLS MRCONSO with prefixes: {'NCI': 'NCIT'} with cui_prefix set to UMLS
 - NCIT, UMLS: 15,723"
Protein.txt,build_ncit_uniprot_relationships(),"6,411 cross-references involving 12,628 distinct CURIEs from Extracts NCIT-to-UniProtKB relationships from the NCIt-SwissProt_Mapping file (babel_downloads/NCIT/NCIt-SwissProt_Mapping.txt).
 - NCIT, UniProtKB: 6,411"
Publication.txt,parse_pubmed_into_tsvs(),"46,948,212 cross-references involving 75,763,689 distinct CURIEs from Parse PubMed files into TSVs and JSONL status files.
 - PMID, doi: 34,633,711
 - PMC, PMID: 12,314,501"
umls.txt,UMLS Metathesaurus,"UMLS Metathesaurus 2026AA (full subset), downloaded via the UTS download API.
"
